회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,자기자본구성비율.1,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,노동소득분배율,설비투자효율,총자본투자효율,기계투자효율,부가가치율,종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원),통계청 한국표준산업분류 10차(소분류)
(주)CMG제약,58820,11-Dec,3.53,1.98,-5.91,17.64,-1.43,-2.02,,41.83,-8.5,-8.28,2.37,3.61,-5.58,0.97,3.74,1.9,1.77,11.95,0.97,2.01,1.25,200.97,165.03,15.1,51.41,9.08,-46.08,-24.07,-172.4,66.05,13.74,46.14,56.18,602.31,80.71,42.33,33.95,66.05,17.88,35.59,28.23,71726.36,29216.43,202260.73,0,35.86,0.13,0.88,0.2,4.65,0.13,0,23703,  의약품 제조업
(주)DB하이텍,990,11-Dec,-0.75,523.71,3046.44,85.76,752.17,71,-3310.12,16.62,-17.74,-27.74,-3.34,-7.81,-7.59,1.56,5.87,6.03,0.7,20.51,1.56,0.59,1.87,35.2,25.5,5.04,289.22,59,5.87,9.47,7.39,25.69,229.64,16.9,23.33,336.28,0,257.97,74.31,25.69,27.57,0,-42.95,284943.29,596524.9,467099.29,0,29.78,0.18,0.14,0.39,5.38,11.34,13904348,60572750,  반도체 제조업
(주)ES큐브,50120,11-Dec,-245.99,-94.91,-99.3,-92.01,-89.75,-93.91,-104.58,27.92,-8.99,-12.61,-6.58,-6.84,-8.65,1.3,8.12,6.18,13.89,18.08,1.3,4.68,1.6,230.24,194.35,21.35,41.36,0.18,6.82,2.08,1107.72,70.74,0.25,51.85,61.43,461.69,0,37.71,29.26,70.74,15.59,27.56,34.75,18201.83,3525.92,234080.3,0,279.2,0.22,14.41,0.23,20.3,5.95,4790260,2481560,  생활용품 도매업
(주)HJ중공업,97230,11-Dec,0.55,1416.66,18040.46,566.11,4614.73,2421.46,,7.85,-3.35,-5.07,1.48,3.73,-1.33,1.51,8.17,10.97,0.91,10.41,1.51,0.54,1.12,96.33,81.81,34.4,276.93,48.42,-0.99,-1.77,-1.51,26.53,182.52,28.86,33.99,132.35,32.69,132.98,73.47,26.53,15.08,0,-1.29,1121928.55,179602.51,2526635.55,0,15.81,0.07,0.99,0.17,-19.81,0.06,0,1475000,  토목 건설업
(주)MH에탄올,23150,11-Dec,0.12,-94.57,-87.76,-96.49,-97.32,-82.58,-101.42,16.81,-9.73,-9.74,0.45,1.35,-3.24,1,4.15,4.83,0.6,148.03,1,0.5,0.98,58.36,45.92,5.22,214.54,8.89,2.62,5.35,20.09,31.79,27.96,26.78,34.04,81716.41,32.19,183.43,68.21,31.79,21.31,0,-24.28,1474660.69,273673.9,2631506.88,0,11.62,0.07,0.63,0.2,-3.77,0,0,0,  알코올음료 제조업
(주)SH에너지화학,2360,11-Dec,2.82,-76.81,-91.75,53.45,35.98,-17.82,,7.17,1.04,3.31,4.16,2.41,1.8,2.73,18.71,6.57,5.25,312.13,2.73,4.71,3.88,147.77,115.16,15.37,60.5,27.79,8.32,1.9,11.28,62.31,44.61,37.48,48.09,3032.99,99.37,52.23,37.69,62.31,22.07,68.27,15.55,293992.84,233753.09,960648.99,0,44.34,0.14,0.56,0.08,-1.8,0.02,0,42624,  기초 화학물질 제조업
(주)SNT에너지,100840,11-Dec,-9.21,-100,-100,-100,-100,-100,17.11,7.22,-2.13,-2.53,-2.49,-3.38,-1.57,1.19,17.37,4.49,1.59,4.55,1.19,1.93,,151.52,135.46,21.28,72.18,7.23,-14.12,-8.38,-81.86,58.08,12.45,47.03,52.61,137.93,0,59.78,41.92,58.08,10.6,31.18,17.89,666060.37,83774.27,1502781.74,0,-4.14,-0.02,-0.33,-0.03,2.22,0.45,0,871757,  일반 목적용 기계 제조업
(주)ST,11810,11-Dec,1.66,134.02,-6.05,12.94,37.2,17.84,78.59,7.57,3.73,14.56,4.14,3.93,3.93,3.37,14.81,14.25,5.26,13.95,3.37,1.53,3.21,70.06,54.61,11.42,173.19,48.6,-0.52,-0.29,-0.67,36.6,132.78,21.31,27.33,152.08,57.95,106.57,63.4,36.6,22.04,0,-11.68,2016729.59,1297910.71,13352487.24,0,66.29,0.1,1.03,0.09,-39.04,0,,0,  상품 종합 도매업
(주)TCC스틸,2710,11-Dec,1.41,-18.89,-6.47,-52.52,-32.96,300.49,,8.19,0.89,2.02,2.63,2.22,1.05,2.28,6.39,6.82,6.24,14.18,2.28,2.46,2.88,110.8,62.71,3.21,101.53,31.55,-6.46,-2.87,-10.31,49.62,63.59,22.86,40.39,220.36,81.18,73.45,50.38,49.62,43.4,445.09,3.94,264524.96,198418.03,1442315.9,0,60.97,0.11,0.81,0.1,-2.78,0,0,0,  1차 철강 제조업
(주)강스템바이오텍,217730,15-Dec,-5.41,-100,-100,-100,-100,-100,-47.35,82.97,-387.59,-27.09,-20.52,-345.23,-23.03,,,,,,,,,637.19,625.9,211.66,17.64,4.27,-101.45,-255.96,-355.89,85.01,5.03,74.3,75.64,238.87,26.95,13.96,14.99,85.01,1.77,2.1,63.77,48064.6,0,402945.58,0,-96.67,-0.12,,-1.94,0,255.88,0,3798708,  기초 의약물질 및 생물학적 제제 제조업
