회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,자기자본구성비율.1,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,노동소득분배율,설비투자효율,총자본투자효율,기계투자효율,부가가치율,종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원),통계청 한국표준산업분류 10차(소분류)
(주)CMG제약,58820,11-Dec,3.53,1.98,-5.91,17.64,-1.43,-2.02,,41.83,-8.5,-8.28,2.37,3.61,-5.58,0.97,3.74,1.9,1.77,11.95,0.97,2.01,1.25,200.97,165.03,15.1,51.41,9.08,-46.08,-24.07,-172.4,66.05,13.74,46.14,56.18,602.31,80.71,42.33,33.95,66.05,17.88,35.59,28.23,71726.36,29216.43,202260.73,0,35.86,0.13,0.88,0.2,4.65,0.13,0,23703,  의약품 제조업
(주)CMG제약,58820,12-Dec,-7.75,109.15,-4.12,207.08,7.73,75.17,,28.34,-40.97,-26.84,-9.96,-25.87,-15.78,0.66,4.09,1.45,1.71,7.83,0.66,0.93,0.52,693.49,649.98,68.81,80.77,30.58,-8.1,-12.71,-11.83,55.32,55.28,77.32,82.49,323.41,0.57,21.5,44.68,55.32,6.27,7.33,70.6,69458.82,32002.75,426179.37,0.02,2.89,0,0.06,0.02,-0.74,0.74,0,120052,  의약품 제조업
(주)CMG제약,58820,13-Dec,0.7,-2.09,16.09,-18.89,56.29,55.1,,38.7,1.45,0.74,1.4,3.88,0.52,0.51,3.3,1.61,2.03,6.2,0.51,1.26,0.48,694.71,610.74,394.63,14.11,2.53,-39.85,-13.51,-194.73,87.63,2.89,60.08,68.34,282.72,0,11.23,12.37,87.63,12.09,14.12,58.5,66012.04,33789.62,411121.79,0,77.91,0.13,1.52,0.34,1.49,0.66,5993000,134454,  의약품 제조업
(주)CMG제약,58820,14-Dec,3.6,3.86,74.3,-25.93,6.37,0.01,-46.64,37.07,0.69,0.32,0.78,1.94,0.28,0.46,3,1.48,1.54,5.27,0.46,2.85,0.68,324.58,268.23,101.24,18.5,2.66,-17.73,-7.06,-104.12,84.39,3.15,40.28,48.74,285.31,0,17.79,15.61,84.39,17.36,25.09,33.72,113899.65,48479.94,354075.16,0,37.8,0.12,0.89,0.31,20.59,0.51,3511000,116533,  의약품 제조업
(주)CMG제약,58820,15-Dec,-32.22,-2.64,-5.37,-7.17,11.04,-4.48,-2409.61,36.26,-13.5,-7.62,-4.49,-9.51,-6.37,0.56,3.32,1.66,1.48,5.66,0.56,2.88,0.99,296.85,235.21,29,20.78,0.01,16.12,5.8,24988.82,82.8,0.01,36.82,46.47,254.69,0,18.91,17.2,82.8,20.77,31.32,30.82,114246.59,53386.77,362389.88,0,24.21,0.08,0.52,0.16,-4.88,3.08,3464000,831910,  의약품 제조업
(주)CMG제약,58820,16-Dec,11111111.11,96.31,-5.14,199.84,17.2,116.01,,40.36,5.24,2.34,2.07,5.25,2.06,0.45,3.32,2.18,1.9,6.26,0.45,3.36,0.63,862.15,792.17,23.52,9.76,0,29.03,8.69,0,91.1,0,65.22,70.98,219.41,0,9.04,8.9,91.1,8.12,9.18,62.75,105508.06,53273.71,693624.17,0,62.31,0.09,1.23,0.32,2.56,1.21,1799000,397519,  의약품 제조업
(주)CMG제약,58820,17-Dec,11111111.11,-1.27,-4.28,3.12,23.63,-3.13,64.07,43.43,6.83,2.85,1.41,3.75,2.57,0.42,3.29,2.66,2.51,6.55,0.42,3.86,0.52,746.28,673.66,34.9,11.87,0,22.67,6.34,0,89.39,0,66.92,74.13,215.55,0,11.11,10.61,89.39,9.73,11.24,64.2,80771.91,45146.7,547840.76,0,84.87,0.13,1.52,0.33,25,4.32,1086000,1795891,  의약품 제조업
(주)CMG제약,58820,18-Dec,11111111.11,4.39,6.71,0.18,8.45,6.16,113.94,45.6,12.16,6.01,2.29,5.15,5.42,0.49,3.29,2.79,2.98,8.93,0.49,4.53,0.61,957.86,856.94,158.5,10,0,13.63,2.84,0,90.91,0,63.65,71.14,414.65,0,8.17,9.09,90.91,10.54,11.76,63.71,71425.41,43924.83,515224.68,0,106.25,0.15,1.73,0.34,11,1.56,962000,777797,  의약품 제조업
(주)CMG제약,58820,19-Dec,303,68.07,39.67,85.06,5.56,73.26,-49.69,49.34,5.2,2.15,1.7,4.44,1.99,0.41,3.37,2.88,2.83,13.81,0.41,5.21,0.51,1618.07,1520.84,199.55,6.71,0.15,15.35,3.16,647.74,93.71,0.16,73.62,78.33,468.79,45.27,5.17,6.29,93.71,6.01,6.41,73.49,68915.04,44414.46,797689.49,0,114.6,0.1,1.78,0.32,8.56,3.4,2985000,1993412,  의약품 제조업
(주)DB하이텍,990,11-Dec,-0.75,523.71,3046.44,85.76,752.17,71,-3310.12,16.62,-17.74,-27.74,-3.34,-7.81,-7.59,1.56,5.87,6.03,0.7,20.51,1.56,0.59,1.87,35.2,25.5,5.04,289.22,59,5.87,9.47,7.39,25.69,229.64,16.9,23.33,336.28,0,257.97,74.31,25.69,27.57,0,-42.95,284943.29,596524.9,467099.29,0,29.78,0.18,0.14,0.39,5.38,11.34,13904348,60572750,  반도체 제조업
(주)DB하이텍,990,12-Dec,-0.31,-3.44,-9.69,10.52,2.79,-5.57,,16.38,-5.31,-10.47,-1.33,-2.64,-2.66,1.97,6.32,7.96,0.82,28.86,1.97,0.67,2.01,55.66,41.39,7.19,298,58.88,7.77,11.39,9.87,25.13,234.33,19.86,26.7,384.99,68.49,190.94,74.87,25.13,25.64,0,-21.27,287622.85,631966.15,502497.84,0,37.07,0.21,0.17,0.42,-10.25,8.8,13888992,51365000,  반도체 제조업
(주)DB하이텍,990,13-Dec,-0.16,-8.58,-7.2,-27.88,-8.69,-29.61,,18.08,-16.82,-33.51,-0.87,-1.95,-7.49,1.99,5.34,7.65,0.75,20.81,1.99,0.57,1.86,46.76,31.58,7.39,416.9,62.73,5.99,10.36,7.7,19.35,324.25,14.23,21.07,199.26,58.3,232.89,80.65,19.35,32.46,0,-23.99,280084.67,682609.71,494113.83,0,31.93,0.18,0.13,0.39,-7.03,8.99,10318098,44409000,  반도체 제조업
(주)DB하이텍,990,14-Dec,0.67,-6.95,-6.96,11.04,-4.42,-41.05,,24.11,-13.56,-47.32,4.46,8.03,-7.54,3.49,6.09,7.92,0.92,17.22,3.49,0.66,2.41,65.77,47.39,10.72,715.95,66.85,4.42,6.73,5.81,12.26,545.5,18.11,25.14,225.55,40.52,311.87,87.74,12.26,27.94,0,-13.08,275045.16,738062.03,492684.66,0,34.07,0.19,0.13,0.33,-6.68,7.36,9886121,41769000,  반도체 제조업
(주)DB하이텍,990,15-Dec,2.5,-0.02,-9.91,36.42,20.64,110.48,,34.46,19.01,67.63,12.69,18.75,12.87,3.56,5.72,7.59,1.19,16.56,3.56,0.84,2.28,138.4,104.2,44.31,287.57,53.39,13.74,15.06,19.1,25.8,206.91,25.83,34.3,207.92,23.96,96.06,74.2,25.8,24.71,89.06,9.52,243664.34,773788.42,491339.18,0,79.08,0.39,0.25,0.58,0.25,7.41,6967904,49406000,  반도체 제조업
(주)DB하이텍,990,16-Dec,4.41,0.22,2.73,9.23,-8.52,34.58,-30.29,37.51,11.43,29.65,17.49,22.3,8.96,2.59,6.05,7.63,1.43,17.48,2.59,1.12,2.19,134.53,106.69,42.15,188.6,42.8,31.09,25.94,47.48,34.65,123.51,29.65,37.39,249.46,33.11,80.2,65.35,34.65,20.69,80.62,9.6,242862.21,796551.05,482065.74,0,68.6,0.35,0.21,0.44,2.15,6.95,5849704,53738000,  반도체 제조업
(주)DB하이텍,990,17-Dec,6.05,0.73,1.44,-4.14,-1.74,33.31,24.71,37.3,16.21,27.62,14.46,21.07,11.12,1.7,5.63,6.94,1.23,17.41,1.7,1.15,1.88,243.53,191.87,74.02,118.07,35.77,40.08,31.74,60.67,45.86,78.01,28.03,35.58,252.94,11.24,31.86,54.14,45.86,21.21,35.99,20.97,264545.79,868264.95,512345.73,0,64.18,0.33,0.2,0.48,-5.23,8.01,6000714,54428000,  반도체 제조업
(주)DB하이텍,990,18-Dec,6.77,7.3,7.56,8.4,-42.83,22.51,-21.19,32.17,12.97,17.12,10.97,16.88,8.43,1.32,7.7,7.25,1.16,19.03,1.32,1.28,1.82,244.51,217.15,75.96,91,28.6,35.76,27.15,59.59,52.36,54.62,31.92,35.95,271.06,9.05,28.08,47.64,52.36,11.19,18.93,21.24,254494.88,876446.29,545541.61,0,62.12,0.29,0.18,0.46,0.77,7.89,7441987,52810000,  반도체 제조업
(주)DB하이텍,990,19-Dec,13.44,2.1,3.18,11.19,20.86,15.45,20.51,36.43,12.96,17.4,16.82,22.45,9.71,1.34,10.84,8.04,1.33,24.06,1.34,1.7,1.99,194.01,170.41,38.58,68.91,23.21,38.43,21.14,67.56,59.2,39.2,34.39,39.15,332.91,25.48,34.08,40.8,59.2,12.16,25.1,18.97,280672.97,920709.95,550222.24,0,68.27,0.35,0.21,0.47,1.23,6.85,4791922,55296000,  반도체 제조업
(주)ES큐브,50120,11-Dec,-245.99,-94.91,-99.3,-92.01,-89.75,-93.91,-104.58,27.92,-8.99,-12.61,-6.58,-6.84,-8.65,1.3,8.12,6.18,13.89,18.08,1.3,4.68,1.6,230.24,194.35,21.35,41.36,0.18,6.82,2.08,1107.72,70.74,0.25,51.85,61.43,461.69,0,37.71,29.26,70.74,15.59,27.56,34.75,18201.83,3525.92,234080.3,0,279.2,0.22,14.41,0.23,20.3,5.95,4790260,2481560,  생활용품 도매업
