,회사명,거래소코드,회계년도,이자보상배율,부실기업1
2,(주)CMG제약,58820,13-Dec,0.7,1
10,(주)DB하이텍,990,12-Dec,-0.31,1
26,(주)ES큐브,50120,19-Dec,-0.68,1
27,(주)HJ중공업,97230,11-Dec,0.55,1
36,(주)MH에탄올,23150,11-Dec,0.12,1
69,(주)SNT에너지,100840,17-Dec,0,1
83,(주)ST,11810,13-Dec,-10.71,1
92,(주)TCC스틸,2710,13-Dec,-0.59,1
109,(주)강스템바이오텍,217730,16-Dec,-18.89,1
128,(주)강원에너지,114190,17-Dec,-26.56,1
137,(주)갤럭시아에스엠,11420,17-Dec,-35.52,1
194,(주)고려시멘트,198440,15-Dec,0,1
210,(주)골드앤에스,35290,13-Dec,-3.83,1
220,(주)골드퍼시픽,38530,14-Dec,-4.33,1
226,(주)골프존,215000,15-Dec,0,1
239,(주)골프존뉴딘홀딩스,121440,19-Dec,-0.36,1
244,(주)광림,14200,15-Dec,0.43,1
249,(주)광명전기,17040,11-Dec,0.38,1
259,(주)광무,29480,12-Dec,-2.69,1
267,(주)광주신세계,37710,11-Dec,0,1
294,(주)국보,1140,11-Dec,0.75,1
317,(주)국순당,43650,16-Dec,-327.25,1
321,(주)국영지앤엠,6050,11-Dec,-170.81,1
331,(주)국전약품,307750,19-Dec,0,1
332,(주)그래디언트,35080,11-Dec,-48.06,1
376,(주)금화피에스시,36190,11-Dec,0,1
388,(주)기가레인,49080,16-Dec,-4.14,1
392,(주)기산텔레콤,35460,11-Dec,-3.73,1
402,(주)까뮤이앤씨,13700,12-Dec,0.46,1
412,(주)나노,187790,15-Dec,-4.06,1
428,(주)나노엔텍,39860,12-Dec,-5.04,1
438,(주)나무가,190510,17-Dec,-18.62,1
442,(주)나스미디어,89600,14-Dec,0,1
449,(주)나이벡,138610,12-Dec,-2.68,1
462,(주)나이스디앤비,130580,16-Dec,0,1
479,(주)남선알미늄,8350,12-Dec,-0.73,1
488,(주)남성,4270,12-Dec,-0.01,1
499,(주)내츄럴엔도텍,168330,16-Dec,-34.59,1
506,(주)네오리진,94860,14-Dec,-8.5,1
513,(주)네오셈,253590,19-Dec,-7.64,1
553,(주)네오팜,92730,17-Dec,0,1
557,(주)네오펙트,290660,19-Dec,-15.37,1
558,(주)네온테크,306620,18-Dec,0,1
564,(주)네이블커뮤니케이션즈,153460,16-Dec,0,1
568,(주)네이처셀,7390,11-Dec,-1.42,1
580,(주)네패스,33640,14-Dec,0.66,1
617,(주)넥스트엔터테인먼트월드,160550,18-Dec,-6.46,1
621,(주)넥슨게임즈,225570,17-Dec,-62.24,1
624,(주)넵튠,217270,15-Dec,-3.35,1
656,(주)노블엠앤비,106520,16-Dec,-6.13,1
673,(주)녹십자엠에스,142280,17-Dec,0.26,1
688,(주)녹원씨엔아이,65560,13-Dec,-10.45,1
715,(주)누리플랜,69140,13-Dec,-3.78,1
722,(주)누리플렉스,40160,11-Dec,0.79,1
735,(주)뉴로스,126870,15-Dec,0.61,1
740,(주)뉴보텍,60260,11-Dec,-4.5,1
750,(주)뉴인텍,12340,12-Dec,-3.18,1
769,(주)뉴프렉스,85670,16-Dec,0.53,1
783,(주)다날,64260,12-Dec,-0.31,1
796,(주)다산네트웍스,39560,15-Dec,0.09,1
830,(주)다이나믹디자인,145210,17-Dec,-0.96,1
843,(주)대구백화점,6370,12-Mar,0,1
856,(주)대덕,8060,16-Dec,0,1
865,(주)대동,490,16-Dec,-1.84,1
877,(주)대동스틸,48470,19-Dec,-16.84,1
897,(주)대명소노시즌,7720,12-Dec,-12.1,1
915,(주)대성엘텍,25440,12-Dec,0.62,1
931,(주)대성파인텍,104040,19-Dec,0.32,1
932,(주)대양금속,9190,11-Dec,-1.84,1
980,(주)대유에이텍,2880,18-Dec,0.49,1
985,(주)대유플러스,300,12-Dec,-4.88,1
995,(주)대창,12800,13-Dec,0.06,1
1004,(주)대창솔루션,96350,13-Dec,-1.23,1
1016,(주)대창스틸,140520,19-Dec,0.95,1
1027,(주)대한항공,3490,12-Dec,0.55,1
1046,(주)대호에이엘,69460,13-Dec,0.34,1
1053,(주)대호특수강,21040,11-Dec,0.54,1
1066,(주)더 미동,161570,17-Dec,-171.6,1
1070,(주)더블유아이,73570,11-Dec,0.05,1
1079,(주)더블유에스아이,299170,18-Dec,-1.61,1
1099,(주)덕성,4830,19-Dec,0.54,1
1114,(주)덴티스,261200,17-Dec,-2.33,1
1161,(주)동방,4140,14-Dec,-0.03,1
1169,(주)동방선기,99410,13-Dec,-3.39,1
1205,(주)동성화인텍,33500,18-Dec,-2.75,1
1226,(주)동양,1520,12-Dec,0.34,1
1234,(주)동양고속,84670,11-Dec,0.07,1
1264,(주)동운아나텍,94170,18-Dec,-10.17,1
1287,(주)동일기연,32960,14-Dec,0,1
1314,(주)두산테스나,131970,16-Dec,-2.43,1
1326,(주)듀오백,73190,15-Dec,-123.36,1
1331,(주)드래곤플라이,30350,11-Dec,0,1
1340,(주)드림시큐리티,203650,14-Dec,-1.48,1
1347,(주)드림어스컴퍼니,60570,12-Dec,-19.73,1
1356,(주)디딤,217620,15-Dec,-1.21,1
1392,(주)디아이,3160,12-Dec,0.33,1
1438,(주)디에스앤엘,141020,14-Dec,-16.91,1
1471,(주)디엔에이링크,127120,14-Dec,-6.19,1
1479,(주)디엔에프,92070,13-Dec,-3.18,1
1496,(주)디엠에스,68790,12-Dec,-1.23,1
1507,(주)디오,39840,14-Dec,0.45,1
1514,(주)디와이디,219550,16-Dec,0,1
1518,(주)디이엔티,79810,11-Dec,-7.69,1
1527,(주)디지아이,43360,11-Dec,-4.28,1
1539,(주)디지털대성,68930,12-Dec,0,1
1548,(주)디지틀조선일보,33130,12-Dec,0,1
1577,(주)라온테크,232680,16-Dec,0,1
1595,(주)라이트론,69540,18-Dec,-0.64,1
1611,(주)랩지노믹스,84650,18-Dec,-5.37,1
1614,(주)러셀,217500,16-Dec,-0.55,1
1619,(주)레고켐바이오사이언스,141080,14-Dec,-40.52,1
1632,(주)레드로버,60300,18-Dec,-29.21,1
1649,(주)레이크머티리얼즈,281740,18-Dec,-1.32,1
1651,(주)로보로보,215100,15-Dec,0,1
1668,(주)로지시스,67730,16-Dec,0,1
1679,(주)루멘스,38060,18-Dec,-6.92,1
1681,(주)루트로닉,85370,11-Dec,-2.06,1
1690,(주)룽투코리아,60240,11-Dec,-18.61,1
1715,(주)리더스코스메틱,16100,18-Dec,-5.07,1
1720,(주)리드,197210,18-Dec,-0.21,1
