,통계청 한국표준산업분류 10차(중분류),회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,R&D투자효율,고용증가율,경상개발비율,연구개발비율
0,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,11-Dec,3.94,3.53,3.53,1.41,1.41,1.8,1.8
1,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,12-Dec,-7.45,-7.75,-7.75,0.57,0.57,1.44,1.44
2,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,13-Dec,0.73,0.7,0.7,-0.59,-0.59,1.01,1.01
3,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,14-Dec,3.63,3.6,3.6,0.02,0.02,1.31,1.31
4,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22,2.17,2.17,2.11,2.11
5,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,16-Dec,77777777.77,77777777.77,11111111.11,2.53,2.53,2.36,2.36
6,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,17-Dec,77777777.77,77777777.77,11111111.11,1.55,1.55,1.41,1.41
7,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,18-Dec,77777777.77,77777777.77,11111111.11,3.3,3.3,3.46,3.46
8,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,19-Dec,303,303,303,2.27,2.27,2.34,2.34
9,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,11-Dec,3.94,3.53,3.53,1.41,1.41,1.8,1.8
10,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,12-Dec,-7.45,-7.75,-7.75,0.57,0.57,1.44,1.44
11,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,13-Dec,0.73,0.7,0.7,-0.59,-0.59,1.01,1.01
12,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,14-Dec,3.63,3.6,3.6,0.02,0.02,1.31,1.31
13,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22,2.17,2.17,2.11,2.11
