,회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
0,(주)CMG제약,58820,11-Dec,0.13,  의약품 제조업
1,(주)CMG제약,58820,12-Dec,0.74,  의약품 제조업
2,(주)CMG제약,58820,13-Dec,0.66,  의약품 제조업
3,(주)CMG제약,58820,14-Dec,0.51,  의약품 제조업
4,(주)CMG제약,58820,15-Dec,3.08,  의약품 제조업
5,(주)CMG제약,58820,16-Dec,1.21,  의약품 제조업
6,(주)CMG제약,58820,17-Dec,4.32,  의약품 제조업
7,(주)CMG제약,58820,18-Dec,1.56,  의약품 제조업
8,(주)CMG제약,58820,19-Dec,3.4,  의약품 제조업
9,(주)DB하이텍,990,11-Dec,11.34,  반도체 제조업
10,(주)DB하이텍,990,12-Dec,8.8,  반도체 제조업
11,(주)DB하이텍,990,13-Dec,8.99,  반도체 제조업
12,(주)DB하이텍,990,14-Dec,7.36,  반도체 제조업
13,(주)DB하이텍,990,15-Dec,7.41,  반도체 제조업
14,(주)DB하이텍,990,16-Dec,6.95,  반도체 제조업
15,(주)DB하이텍,990,17-Dec,8.01,  반도체 제조업
16,(주)DB하이텍,990,18-Dec,7.89,  반도체 제조업
17,(주)DB하이텍,990,19-Dec,6.85,  반도체 제조업
18,(주)ES큐브,50120,11-Dec,5.95,  생활용품 도매업
19,(주)ES큐브,50120,12-Dec,3.07,  생활용품 도매업
20,(주)ES큐브,50120,13-Dec,5.15,  생활용품 도매업
21,(주)ES큐브,50120,14-Dec,2.36,  생활용품 도매업
22,(주)ES큐브,50120,15-Dec,0,  생활용품 도매업
23,(주)ES큐브,50120,16-Dec,0,  생활용품 도매업
24,(주)ES큐브,50120,17-Dec,0,  생활용품 도매업
25,(주)ES큐브,50120,18-Dec,0,  생활용품 도매업
26,(주)ES큐브,50120,19-Dec,0,  생활용품 도매업
27,(주)HJ중공업,97230,11-Dec,0.06,  토목 건설업
28,(주)HJ중공업,97230,12-Dec,0.12,  토목 건설업
29,(주)HJ중공업,97230,13-Dec,0.17,  토목 건설업
30,(주)HJ중공업,97230,14-Dec,0.19,  토목 건설업
31,(주)HJ중공업,97230,15-Dec,0.15,  토목 건설업
32,(주)HJ중공업,97230,16-Dec,0.11,  토목 건설업
33,(주)HJ중공업,97230,17-Dec,0.11,  토목 건설업
34,(주)HJ중공업,97230,18-Dec,0.13,  토목 건설업
35,(주)HJ중공업,97230,19-Dec,0.11,  토목 건설업
36,(주)MH에탄올,23150,11-Dec,0,  알코올음료 제조업
37,(주)MH에탄올,23150,12-Dec,0,  알코올음료 제조업
38,(주)MH에탄올,23150,13-Dec,0,  알코올음료 제조업
39,(주)MH에탄올,23150,14-Dec,0,  알코올음료 제조업
40,(주)MH에탄올,23150,15-Dec,0,  알코올음료 제조업
41,(주)MH에탄올,23150,16-Dec,0,  알코올음료 제조업
42,(주)MH에탄올,23150,17-Dec,0,  알코올음료 제조업
43,(주)MH에탄올,23150,18-Dec,0,  알코올음료 제조업
44,(주)MH에탄올,23150,19-Dec,0,  알코올음료 제조업
45,(주)SH에너지화학,2360,11-Dec,0.02,  기초 화학물질 제조업
46,(주)SH에너지화학,2360,12-Dec,0.03,  기초 화학물질 제조업
47,(주)SH에너지화학,2360,13-Dec,0.03,  기초 화학물질 제조업
48,(주)SH에너지화학,2360,14-Dec,0.05,  기초 화학물질 제조업
49,(주)SH에너지화학,2360,15-Dec,0,  기초 화학물질 제조업
50,(주)SH에너지화학,2360,16-Dec,0.08,  기초 화학물질 제조업
51,(주)SH에너지화학,2360,17-Dec,0.04,  기초 화학물질 제조업
52,(주)SH에너지화학,2360,18-Dec,0.05,  기초 화학물질 제조업
53,(주)SH에너지화학,2360,19-Dec,0.07,  기초 화학물질 제조업
54,(주)SNT에너지,100840,11-Dec,0.45,  일반 목적용 기계 제조업
55,(주)SNT에너지,100840,12-Dec,0.34,  일반 목적용 기계 제조업
56,(주)SNT에너지,100840,13-Dec,0.4,  일반 목적용 기계 제조업
57,(주)SNT에너지,100840,14-Dec,0.43,  일반 목적용 기계 제조업
58,(주)SNT에너지,100840,15-Dec,0.35,  일반 목적용 기계 제조업
59,(주)SNT에너지,100840,16-Dec,0.34,  일반 목적용 기계 제조업
60,(주)SNT에너지,100840,17-Dec,0.41,  일반 목적용 기계 제조업
61,(주)SNT에너지,100840,18-Dec,0.49,  일반 목적용 기계 제조업
62,(주)SNT에너지,100840,19-Dec,0.36,  일반 목적용 기계 제조업
63,(주)STX,11810,11-Dec,0,  상품 종합 도매업
64,(주)STX,11810,12-Dec,0,  상품 종합 도매업
65,(주)STX,11810,13-Dec,0,  상품 종합 도매업
66,(주)STX,11810,14-Dec,0,  상품 종합 도매업
67,(주)STX,11810,15-Dec,0,  상품 종합 도매업
68,(주)STX,11810,16-Dec,0,  상품 종합 도매업
69,(주)STX,11810,17-Dec,0,  상품 종합 도매업
70,(주)STX,11810,18-Dec,0,  상품 종합 도매업
71,(주)STX,11810,19-Dec,0,  상품 종합 도매업
72,(주)TCC스틸,2710,11-Dec,0,  1차 철강 제조업
73,(주)TCC스틸,2710,12-Dec,0,  1차 철강 제조업
74,(주)TCC스틸,2710,13-Dec,0,  1차 철강 제조업
75,(주)TCC스틸,2710,14-Dec,0,  1차 철강 제조업
76,(주)TCC스틸,2710,15-Dec,0,  1차 철강 제조업
77,(주)TCC스틸,2710,16-Dec,0,  1차 철강 제조업
78,(주)TCC스틸,2710,17-Dec,0,  1차 철강 제조업
79,(주)TCC스틸,2710,18-Dec,0,  1차 철강 제조업
80,(주)TCC스틸,2710,19-Dec,0,  1차 철강 제조업
81,(주)강스템바이오텍,217730,15-Dec,255.88,  기초 의약물질 및 생물학적 제제 제조업
82,(주)강스템바이오텍,217730,16-Dec,656.04,  기초 의약물질 및 생물학적 제제 제조업
83,(주)강스템바이오텍,217730,17-Dec,123.43,  기초 의약물질 및 생물학적 제제 제조업
84,(주)강스템바이오텍,217730,18-Dec,687.27,  기초 의약물질 및 생물학적 제제 제조업
85,(주)강스템바이오텍,217730,19-Dec,4440.03,  기초 의약물질 및 생물학적 제제 제조업
86,(주)강원에너지,114190,12-Dec,1.86,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
87,(주)강원에너지,114190,13-Dec,3.64,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
88,(주)강원에너지,114190,14-Dec,3.71,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
89,(주)강원에너지,114190,15-Dec,3.58,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
90,(주)강원에너지,114190,16-Dec,4.56,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
91,(주)강원에너지,114190,17-Dec,0,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
92,(주)강원에너지,114190,18-Dec,0,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
93,(주)강원에너지,114190,19-Dec,0,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
94,(주)갤럭시아에스엠,11420,11-Dec,0,  스포츠 서비스업
95,(주)갤럭시아에스엠,11420,12-Dec,0,  스포츠 서비스업
96,(주)갤럭시아에스엠,11420,13-Dec,0,  스포츠 서비스업
97,(주)갤럭시아에스엠,11420,14-Dec,0,  스포츠 서비스업
98,(주)갤럭시아에스엠,11420,15-Dec,0,  스포츠 서비스업
99,(주)갤럭시아에스엠,11420,16-Dec,0,  스포츠 서비스업
100,(주)갤럭시아에스엠,11420,17-Dec,0,  스포츠 서비스업
101,(주)갤럭시아에스엠,11420,18-Dec,0,  스포츠 서비스업
102,(주)갤럭시아에스엠,11420,19-Dec,0,  스포츠 서비스업
103,(주)경동인베스트,12320,11-Dec,0,  기타 금융업
104,(주)경동인베스트,12320,12-Dec,0,  기타 금융업
105,(주)경동인베스트,12320,13-Dec,0,  기타 금융업
106,(주)경동인베스트,12320,14-Dec,0,  기타 금융업
107,(주)경동인베스트,12320,15-Dec,0,  기타 금융업
108,(주)경동인베스트,12320,16-Dec,0,  기타 금융업
109,(주)경동인베스트,12320,17-Dec,0,  기타 금융업
110,(주)경동인베스트,12320,18-Dec,0,  기타 금융업
111,(주)경동인베스트,12320,19-Dec,0,  기타 금융업
112,(주)경방,50,11-Dec,0,  종합 소매업
113,(주)경방,50,12-Dec,0,  종합 소매업
114,(주)경방,50,13-Dec,0,  종합 소매업
115,(주)경방,50,14-Dec,0,  종합 소매업
116,(주)경방,50,15-Dec,0,  종합 소매업
117,(주)경방,50,16-Dec,0,  종합 소매업
118,(주)경방,50,17-Dec,0,  종합 소매업
119,(주)경방,50,18-Dec,0.01,  종합 소매업
120,(주)경방,50,19-Dec,0.01,  종합 소매업
121,(주)골드앤에스,35290,11-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
122,(주)골드앤에스,35290,12-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
123,(주)골드앤에스,35290,13-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
124,(주)골드앤에스,35290,14-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
125,(주)골드앤에스,35290,15-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
126,(주)골드앤에스,35290,16-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
127,(주)골드앤에스,35290,17-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
128,(주)골드앤에스,35290,18-Dec,6.58,"  서적, 잡지 및 기타 인쇄물 출판업"
129,(주)골드앤에스,35290,19-Dec,3.93,"  서적, 잡지 및 기타 인쇄물 출판업"
130,(주)골드퍼시픽,38530,11-Dec,0.99,  생활용품 도매업
131,(주)골드퍼시픽,38530,12-Dec,1.04,  생활용품 도매업
132,(주)골드퍼시픽,38530,13-Dec,1.55,  생활용품 도매업
