,Unnamed: 0,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명,기업수명(연결)
0,0,(주)CMG제약,58820,11-Dec,-2488268,-1845332,3038758,-2560438,-1773162,3038758,-,-,+,-,-,+,도입기,도입기
1,1,(주)CMG제약,58820,12-Dec,-1453276,-30286514,35260511,-1572581,-30265984,35360511,-,-,+,-,-,+,도입기,도입기
2,2,(주)CMG제약,58820,13-Dec,-3891420,20988786,-56948,-3939013,21135376,-156948,-,+,-,-,+,-,도입기,도입기
3,3,(주)CMG제약,58820,14-Dec,730447,-13611109,0,724893,-13611109,5451,+,-,+,+,-,+,성장기,성장기
4,4,(주)CMG제약,58820,15-Dec,2411254,-8670890,0,2410205,-8670780,822,+,-,+,+,-,+,성장기,성장기
5,5,(주)CMG제약,58820,16-Dec,3321352,-56094458,52359861,3321352,-56094458,52359861,+,-,+,+,-,+,성장기,성장기
6,6,(주)CMG제약,58820,17-Dec,1948086,-467123,171180,1948086,-467123,171180,+,-,+,+,-,+,성장기,성장기
7,7,(주)CMG제약,58820,18-Dec,886779,8779219,0,886779,8779219,0,+,+,+,+,+,+,쇄신기,쇄신기
8,8,(주)CMG제약,58820,19-Dec,2823387,-70595614,72877952,2823387,-70595614,72877952,+,-,+,+,-,+,성장기,성장기
9,9,(주)DB하이텍,990,11-Dec,61642286,-26649125,-88776492,60749180,-23347990,-88776492,+,-,-,+,-,-,성숙기,성숙기
10,10,(주)DB하이텍,990,12-Dec,68047966,-40437367,-22718301,73876619,-49272120,-22718301,+,-,-,+,-,-,성숙기,성숙기
11,11,(주)DB하이텍,990,13-Dec,28528798,-13799557,-18089531,28380938,-14425742,-18089531,+,-,-,+,-,-,성숙기,성숙기
12,12,(주)DB하이텍,990,14-Dec,47362460,-43422794,1205904,48078139,-43635104,1205904,+,-,+,+,-,+,성장기,성장기
13,13,(주)DB하이텍,990,15-Dec,150510354,-12201261,-71767078,152722221,-12209258,-71767078,+,-,-,+,-,-,성숙기,성숙기
14,14,(주)DB하이텍,990,16-Dec,247018873,-121028468,-118529941,248312191,-121031883,-118529941,+,-,-,+,-,-,성숙기,성숙기
15,15,(주)DB하이텍,990,17-Dec,182244045,-101907140,-85790774,183124083,-101904145,-85790774,+,-,-,+,-,-,성숙기,성숙기
16,16,(주)DB하이텍,990,18-Dec,182780278,-114336834,-50894632,180343534,-117302225,-50894632,+,-,-,+,-,-,성숙기,성숙기
17,17,(주)DB하이텍,990,19-Dec,160796839,-123827487,-70941329,161078351,-123954602,-70941329,+,-,-,+,-,-,성숙기,성숙기
18,18,(주)ES큐브,50120,11-Dec,1625293,-2631208,0,1107724,-2460979,100000,+,-,+,+,-,+,성장기,성장기
19,19,(주)ES큐브,50120,12-Dec,4618957,-4021693,249337,5224759,-4486091,302892,+,-,+,+,-,+,성장기,성장기
20,20,(주)ES큐브,50120,13-Dec,4508559,-15525675,18283521,2590980,-14873142,18283521,+,-,+,+,-,+,성장기,성장기
21,21,(주)ES큐브,50120,14-Dec,2934159,-6727853,0,2889415,7970827,109920,+,-,+,+,+,+,성장기,쇄신기
22,22,(주)ES큐브,50120,15-Dec,3265832,5644794,0,-2778236,399044,2949998,+,+,0,-,+,+,쇄신기,쇠퇴기
23,23,(주)ES큐브,50120,16-Dec,3735385,-27691503,37786301,1240854,-23005177,37786301,+,-,+,+,-,+,성장기,성장기
24,24,(주)ES큐브,50120,17-Dec,3989913,-9285270,-1313460,2310978,-6850093,-1313460,+,-,-,+,-,-,성숙기,성숙기
25,25,(주)ES큐브,50120,18-Dec,116879,-9930672,6704278,-1347532,-1328332,4892298,+,-,+,-,-,+,성장기,도입기
26,26,(주)ES큐브,50120,19-Dec,1886276,-42892183,35797321,75624795,-18643079,27275835,+,-,+,+,-,+,성장기,성장기
27,27,(주)HJ중공업,97230,11-Dec,-297988000,51907000,-71169000,-401788000,41457000,94035000,-,+,-,-,+,+,쇠퇴기,쇠퇴기
