,회사명,거래소코드,회계년도,기업수명,기업수명(연결)
0,(주)CMG제약,58820,11-Dec,도입기,도입기
1,(주)CMG제약,58820,12-Dec,도입기,도입기
2,(주)CMG제약,58820,13-Dec,도입기,도입기
3,(주)CMG제약,58820,14-Dec,성장기,성장기
4,(주)CMG제약,58820,15-Dec,성장기,성장기
5,(주)CMG제약,58820,16-Dec,성장기,성장기
6,(주)CMG제약,58820,17-Dec,성장기,성장기
7,(주)CMG제약,58820,18-Dec,쇄신기,쇄신기
8,(주)CMG제약,58820,19-Dec,성장기,성장기
9,(주)DB하이텍,990,11-Dec,성숙기,성숙기
10,(주)DB하이텍,990,12-Dec,성숙기,성숙기
11,(주)DB하이텍,990,13-Dec,성숙기,성숙기
12,(주)DB하이텍,990,14-Dec,성장기,성장기
13,(주)DB하이텍,990,15-Dec,성숙기,성숙기
14,(주)DB하이텍,990,16-Dec,성숙기,성숙기
15,(주)DB하이텍,990,17-Dec,성숙기,성숙기
16,(주)DB하이텍,990,18-Dec,성숙기,성숙기
17,(주)DB하이텍,990,19-Dec,성숙기,성숙기
18,(주)ES큐브,50120,11-Dec,성장기,성장기
19,(주)ES큐브,50120,12-Dec,성장기,성장기
20,(주)ES큐브,50120,13-Dec,성장기,성장기
21,(주)ES큐브,50120,14-Dec,성장기,쇄신기
22,(주)ES큐브,50120,15-Dec,쇄신기,쇠퇴기
23,(주)ES큐브,50120,16-Dec,성장기,성장기
24,(주)ES큐브,50120,17-Dec,성숙기,성숙기
25,(주)ES큐브,50120,18-Dec,성장기,도입기
26,(주)ES큐브,50120,19-Dec,성장기,성장기
27,(주)HJ중공업,97230,11-Dec,쇠퇴기,쇠퇴기
28,(주)HJ중공업,97230,12-Dec,쇠퇴기,쇠퇴기
29,(주)HJ중공업,97230,13-Dec,도입기,도입기
30,(주)HJ중공업,97230,14-Dec,쇠퇴기,쇠퇴기
31,(주)HJ중공업,97230,15-Dec,쇄신기,성숙기
32,(주)HJ중공업,97230,16-Dec,성숙기,도입기
33,(주)HJ중공업,97230,17-Dec,성숙기,
34,(주)HJ중공업,97230,18-Dec,쇄신기,성숙기
35,(주)HJ중공업,97230,19-Dec,쇄신기,쇄신기
36,(주)MH에탄올,23150,11-Dec,성장기,쇄신기
37,(주)MH에탄올,23150,12-Dec,성장기,쇠퇴기
38,(주)MH에탄올,23150,13-Dec,성숙기,성숙기
39,(주)MH에탄올,23150,14-Dec,쇄신기,성숙기
40,(주)MH에탄올,23150,15-Dec,쇄신기,쇄신기
41,(주)MH에탄올,23150,16-Dec,쇄신기,쇄신기
42,(주)MH에탄올,23150,17-Dec,성장기,성장기
43,(주)MH에탄올,23150,18-Dec,성숙기,쇠퇴기
44,(주)MH에탄올,23150,19-Dec,성숙기,성숙기
45,(주)SH에너지화학,2360,11-Dec,성숙기,성숙기
46,(주)SH에너지화학,2360,12-Dec,성숙기,쇄신기
47,(주)SH에너지화학,2360,13-Dec,성숙기,성숙기
48,(주)SH에너지화학,2360,14-Dec,성숙기,성숙기
49,(주)SH에너지화학,2360,15-Dec,성숙기,성숙기
50,(주)SH에너지화학,2360,16-Dec,쇄신기,쇄신기
51,(주)SH에너지화학,2360,17-Dec,성숙기,성숙기
52,(주)SH에너지화학,2360,18-Dec,성숙기,성숙기
53,(주)SH에너지화학,2360,19-Dec,성장기,성장기
54,(주)SIMPAC,9160,11-Dec,성장기,성장기
55,(주)SIMPAC,9160,12-Dec,성숙기,성숙기
56,(주)SIMPAC,9160,13-Dec,성장기,성장기
57,(주)SIMPAC,9160,14-Dec,쇄신기,쇄신기
58,(주)SIMPAC,9160,15-Dec,성장기,성장기
59,(주)SIMPAC,9160,16-Dec,쇄신기,성숙기
60,(주)SIMPAC,9160,17-Dec,쇄신기,쇄신기
61,(주)SIMPAC,9160,18-Dec,쇄신기,쇄신기
62,(주)SIMPAC,9160,19-Dec,성숙기,성장기
63,(주)SNT에너지,100840,11-Dec,쇠퇴기,쇠퇴기
64,(주)SNT에너지,100840,12-Dec,성숙기,성숙기
65,(주)SNT에너지,100840,13-Dec,쇄신기,쇄신기
66,(주)SNT에너지,100840,14-Dec,쇄신기,쇄신기
67,(주)SNT에너지,100840,15-Dec,성숙기,성숙기
68,(주)SNT에너지,100840,16-Dec,성숙기,성숙기
69,(주)SNT에너지,100840,17-Dec,9,9
70,(주)SNT에너지,100840,18-Dec,성숙기,성숙기
71,(주)SNT에너지,100840,19-Dec,쇠퇴기,쇠퇴기
72,(주)SNT홀딩스,36530,11-Dec,쇄신기,성숙기
73,(주)SNT홀딩스,36530,12-Dec,성숙기,성숙기
74,(주)SNT홀딩스,36530,13-Dec,성장기,성장기
75,(주)SNT홀딩스,36530,14-Dec,성숙기,성숙기
76,(주)SNT홀딩스,36530,15-Dec,쇄신기,성장기
77,(주)SNT홀딩스,36530,16-Dec,성숙기,성숙기
78,(주)SNT홀딩스,36530,17-Dec,성숙기,성숙기
79,(주)SNT홀딩스,36530,18-Dec,성숙기,성숙기
80,(주)SNT홀딩스,36530,19-Dec,쇄신기,쇄신기
81,(주)STX,11810,11-Dec,도입기,성장기
82,(주)STX,11810,12-Dec,성숙기,성장기
83,(주)STX,11810,13-Dec,쇄신기,성숙기
84,(주)STX,11810,14-Dec,쇠퇴기,쇠퇴기
85,(주)STX,11810,15-Dec,쇄신기,쇠퇴기
86,(주)STX,11810,16-Dec,쇄신기,쇄신기
87,(주)STX,11810,17-Dec,쇄신기,쇄신기
88,(주)STX,11810,18-Dec,쇠퇴기,쇠퇴기
89,(주)STX,11810,19-Dec,성장기,성장기
90,(주)TCC스틸,2710,11-Dec,도입기,도입기
91,(주)TCC스틸,2710,12-Dec,성장기,도입기
92,(주)TCC스틸,2710,13-Dec,성장기,쇠퇴기
93,(주)TCC스틸,2710,14-Dec,성장기,쇠퇴기
94,(주)TCC스틸,2710,15-Dec,성숙기,쇄신기
95,(주)TCC스틸,2710,16-Dec,쇠퇴기,쇠퇴기
96,(주)TCC스틸,2710,17-Dec,쇠퇴기,쇠퇴기
97,(주)TCC스틸,2710,18-Dec,성숙기,성숙기
98,(주)TCC스틸,2710,19-Dec,도입기,도입기
99,(주)가비아,79940,11-Dec,성숙기,성장기
100,(주)가비아,79940,12-Dec,성장기,성장기
101,(주)가비아,79940,13-Dec,성숙기,성숙기
102,(주)가비아,79940,14-Dec,성숙기,성숙기
103,(주)가비아,79940,15-Dec,성숙기,성숙기
104,(주)가비아,79940,16-Dec,성숙기,성장기
105,(주)가비아,79940,17-Dec,성숙기,성숙기
106,(주)가비아,79940,18-Dec,성장기,성장기
107,(주)가비아,79940,19-Dec,성숙기,성숙기
108,(주)강스템바이오텍,217730,15-Dec,도입기,도입기
109,(주)강스템바이오텍,217730,16-Dec,도입기,도입기
110,(주)강스템바이오텍,217730,17-Dec,쇠퇴기,쇠퇴기
111,(주)강스템바이오텍,217730,18-Dec,도입기,도입기
112,(주)강스템바이오텍,217730,19-Dec,도입기,도입기
113,(주)강원랜드,35250,11-Dec,성숙기,성숙기
114,(주)강원랜드,35250,12-Dec,성숙기,성숙기
115,(주)강원랜드,35250,13-Dec,성숙기,성숙기
116,(주)강원랜드,35250,14-Dec,성숙기,성숙기
117,(주)강원랜드,35250,15-Dec,성숙기,성숙기
118,(주)강원랜드,35250,16-Dec,성숙기,성숙기
119,(주)강원랜드,35250,17-Dec,성숙기,성숙기
120,(주)강원랜드,35250,18-Dec,성숙기,성숙기
121,(주)강원랜드,35250,19-Dec,성숙기,성숙기
122,(주)강원에너지,114190,11-Nov,성숙기,성숙기
123,(주)강원에너지,114190,12-Dec,도입기,도입기
124,(주)강원에너지,114190,13-Dec,쇄신기,쇄신기
125,(주)강원에너지,114190,14-Dec,쇄신기,쇄신기
126,(주)강원에너지,114190,15-Dec,성장기,성장기
127,(주)강원에너지,114190,16-Dec,쇠퇴기,쇄신기
128,(주)강원에너지,114190,17-Dec,쇠퇴기,도입기
129,(주)강원에너지,114190,18-Dec,도입기,도입기
130,(주)강원에너지,114190,19-Dec,성숙기,성숙기
131,(주)갤럭시아에스엠,11420,11-Dec,성장기,쇄신기
132,(주)갤럭시아에스엠,11420,12-Dec,성숙기,성장기
133,(주)갤럭시아에스엠,11420,13-Dec,9,성장기
134,(주)갤럭시아에스엠,11420,14-Dec,9,쇄신기
135,(주)갤럭시아에스엠,11420,15-Dec,성장기,성장기
136,(주)갤럭시아에스엠,11420,16-Dec,9,쇄신기
137,(주)갤럭시아에스엠,11420,17-Dec,9,9
138,(주)갤럭시아에스엠,11420,18-Dec,9,9
139,(주)갤럭시아에스엠,11420,19-Dec,쇄신기,쇄신기
140,(주)경농,2100,11-Dec,성숙기,성숙기
141,(주)경농,2100,12-Dec,성장기,성장기
142,(주)경농,2100,13-Dec,성숙기,성숙기
143,(주)경농,2100,14-Dec,성장기,성장기
144,(주)경농,2100,15-Dec,도입기,도입기
145,(주)경농,2100,16-Dec,성숙기,성숙기
146,(주)경농,2100,17-Dec,성숙기,성장기
147,(주)경농,2100,18-Dec,성장기,성장기
148,(주)경농,2100,19-Dec,성숙기,쇠퇴기
149,(주)경동나비엔,9450,11-Dec,성숙기,성장기
150,(주)경동나비엔,9450,12-Dec,성장기,성장기
151,(주)경동나비엔,9450,13-Dec,성장기,성장기
152,(주)경동나비엔,9450,14-Dec,도입기,도입기
153,(주)경동나비엔,9450,15-Dec,쇄신기,성숙기
154,(주)경동나비엔,9450,16-Dec,성숙기,성숙기
155,(주)경동나비엔,9450,17-Dec,성장기,성장기
156,(주)경동나비엔,9450,18-Dec,도입기,도입기
157,(주)경동나비엔,9450,19-Dec,성숙기,성숙기
158,(주)경동도시가스,267290,17-Dec,성숙기,성숙기
159,(주)경동도시가스,267290,18-Dec,성숙기,성숙기
160,(주)경동도시가스,267290,19-Dec,성숙기,성숙기
161,(주)경동인베스트,12320,11-Dec,성숙기,성숙기
162,(주)경동인베스트,12320,12-Dec,성숙기,성숙기
163,(주)경동인베스트,12320,13-Dec,성숙기,성숙기
164,(주)경동인베스트,12320,14-Dec,성숙기,성장기
165,(주)경동인베스트,12320,15-Dec,쇄신기,도입기
166,(주)경동인베스트,12320,16-Dec,성숙기,성숙기
167,(주)경동인베스트,12320,17-Dec,성숙기,성숙기
168,(주)경동인베스트,12320,18-Dec,쇄신기,쇄신기
169,(주)경동인베스트,12320,19-Dec,성숙기,성숙기
