회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동 변화율,투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),투자활동변화율(연결)
(주)CMG제약,58820,11-Dec,-1845332,,-1773162,
(주)CMG제약,58820,12-Dec,-30286514,,-30265984,
(주)CMG제약,58820,13-Dec,20988786,,21135376,
(주)CMG제약,58820,14-Dec,-13611109,,-13611109,
(주)CMG제약,58820,15-Dec,-8670890,,-8670780,
(주)CMG제약,58820,16-Dec,-56094458,,-56094458,
(주)CMG제약,58820,17-Dec,-467123,,-467123,
(주)CMG제약,58820,18-Dec,8779219,,8779219,
(주)CMG제약,58820,19-Dec,-70595614,,-70595614,
(주)DB하이텍,990,11-Dec,-26649125,,-23347990,
(주)DB하이텍,990,12-Dec,-40437367,,-49272120,
(주)DB하이텍,990,13-Dec,-13799557,,-14425742,
(주)DB하이텍,990,14-Dec,-43422794,,-43635104,
(주)DB하이텍,990,15-Dec,-12201261,,-12209258,
(주)DB하이텍,990,16-Dec,-121028468,,-121031883,
(주)DB하이텍,990,17-Dec,-101907140,,-101904145,
(주)DB하이텍,990,18-Dec,-114336834,,-117302225,
(주)DB하이텍,990,19-Dec,-123827487,,-123954602,
(주)ES큐브,50120,11-Dec,-2631208,,-2460979,
(주)ES큐브,50120,12-Dec,-4021693,,-4486091,
(주)ES큐브,50120,13-Dec,-15525675,,-14873142,
(주)ES큐브,50120,14-Dec,-6727853,,7970827,
(주)ES큐브,50120,15-Dec,5644794,,399044,
(주)ES큐브,50120,16-Dec,-27691503,,-23005177,
(주)ES큐브,50120,17-Dec,-9285270,,-6850093,
(주)ES큐브,50120,18-Dec,-9930672,,-1328332,
(주)ES큐브,50120,19-Dec,-42892183,,-18643079,
(주)HJ중공업,97230,11-Dec,51907000,,41457000,
(주)HJ중공업,97230,12-Dec,97508000,,39701000,
(주)HJ중공업,97230,13-Dec,-32693000,,-52839000,
(주)HJ중공업,97230,14-Dec,249783000,,204078000,
(주)HJ중공업,97230,15-Dec,409000,,-32960000,
(주)HJ중공업,97230,16-Dec,-43927000,,-85380000,
(주)HJ중공업,97230,17-Dec,-36512000,,198422000,
(주)HJ중공업,97230,18-Dec,15886000,,-2020000,
(주)HJ중공업,97230,19-Dec,51752000,,36099000,
(주)MH에탄올,23150,11-Dec,-8074198,,12547367,
(주)MH에탄올,23150,12-Dec,-4116270,,1115316,
(주)MH에탄올,23150,13-Dec,-4646566,,-4783523,
(주)MH에탄올,23150,14-Dec,35174665,,-4570335,
(주)MH에탄올,23150,15-Dec,2921164,,2896164,
(주)MH에탄올,23150,16-Dec,1476767,,1461767,
(주)MH에탄올,23150,17-Dec,-38163673,,-25459599,
(주)MH에탄올,23150,18-Dec,-2930214,,40276387,
(주)MH에탄올,23150,19-Dec,-2940840,,-3854102,
(주)SH에너지화학,2360,11-Dec,-3161428,,-5936614,
(주)SH에너지화학,2360,12-Dec,-2397506,,-1232512,
(주)SH에너지화학,2360,13-Dec,-2465754,,-1945785,
(주)SH에너지화학,2360,14-Dec,-2027268,,-2050449,
(주)SH에너지화학,2360,15-Dec,-4907393,,-4985240,
(주)SH에너지화학,2360,16-Dec,2952558,,3930942,
(주)SH에너지화학,2360,17-Dec,-4392721,,-1347063,
(주)SH에너지화학,2360,18-Dec,-3473611,,-4046569,
(주)SH에너지화학,2360,19-Dec,-5156722,,-6337450,
(주)SIMPAC,9160,11-Dec,-9139505,,-8704426,
(주)SIMPAC,9160,12-Dec,-50742985,,-50742985,
(주)SIMPAC,9160,13-Dec,-49065961,,-49795709,
(주)SIMPAC,9160,14-Dec,18185471,,10539189,
(주)SIMPAC,9160,15-Dec,-24960399,,-15982486,
(주)SIMPAC,9160,16-Dec,1868196,,-4526973,
