회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동 현금흐름 감소율(개별),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),투자활동 현금흐름 감소율(연결)
(주)CMG제약,58820,Dec-11,-1845332,,-1773162,
(주)CMG제약,58820,Dec-12,-30286514,,-30265984,
(주)CMG제약,58820,Dec-13,20988786,,21135376,
(주)CMG제약,58820,Dec-14,-13611109,,-13611109,
(주)CMG제약,58820,Dec-15,-8670890,,-8670780,
(주)CMG제약,58820,Dec-16,-56094458,,-56094458,
(주)CMG제약,58820,Dec-17,-467123,,-467123,
(주)CMG제약,58820,Dec-18,8779219,,8779219,
(주)CMG제약,58820,Dec-19,-70595614,,-70595614,
(주)DB하이텍,990,Dec-11,-26649125,,-23347990,
(주)DB하이텍,990,Dec-12,-40437367,,-49272120,
(주)DB하이텍,990,Dec-13,-13799557,,-14425742,
(주)DB하이텍,990,Dec-14,-43422794,,-43635104,
(주)DB하이텍,990,Dec-15,-12201261,,-12209258,
(주)DB하이텍,990,Dec-16,-121028468,,-121031883,
(주)DB하이텍,990,Dec-17,-101907140,,-101904145,
(주)DB하이텍,990,Dec-18,-114336834,,-117302225,
(주)DB하이텍,990,Dec-19,-123827487,,-123954602,
(주)ES큐브,50120,Dec-11,-2631208,,-2460979,
(주)ES큐브,50120,Dec-12,-4021693,,-4486091,
(주)ES큐브,50120,Dec-13,-15525675,,-14873142,
(주)ES큐브,50120,Dec-14,-6727853,,7970827,
(주)ES큐브,50120,Dec-15,5644794,,399044,
(주)ES큐브,50120,Dec-16,-27691503,,-23005177,
(주)ES큐브,50120,Dec-17,-9285270,,-6850093,
(주)ES큐브,50120,Dec-18,-9930672,,-1328332,
(주)ES큐브,50120,Dec-19,-42892183,,-18643079,
(주)HJ중공업,97230,Dec-11,51907000,,41457000,
(주)HJ중공업,97230,Dec-12,97508000,,39701000,
(주)HJ중공업,97230,Dec-13,-32693000,,-52839000,
(주)HJ중공업,97230,Dec-14,249783000,,204078000,
(주)HJ중공업,97230,Dec-15,409000,,-32960000,
(주)HJ중공업,97230,Dec-16,-43927000,,-85380000,
(주)HJ중공업,97230,Dec-17,-36512000,,198422000,
(주)HJ중공업,97230,Dec-18,15886000,,-2020000,
(주)HJ중공업,97230,Dec-19,51752000,,36099000,
(주)MH에탄올,23150,Dec-11,-8074198,,12547367,
(주)MH에탄올,23150,Dec-12,-4116270,,1115316,
(주)MH에탄올,23150,Dec-13,-4646566,,-4783523,
(주)MH에탄올,23150,Dec-14,35174665,,-4570335,
(주)MH에탄올,23150,Dec-15,2921164,,2896164,
(주)MH에탄올,23150,Dec-16,1476767,,1461767,
(주)MH에탄올,23150,Dec-17,-38163673,,-25459599,
(주)MH에탄올,23150,Dec-18,-2930214,,40276387,
(주)MH에탄올,23150,Dec-19,-2940840,,-3854102,
(주)SH에너지화학,2360,Dec-11,-3161428,,-5936614,
(주)SH에너지화학,2360,Dec-12,-2397506,,-1232512,
(주)SH에너지화학,2360,Dec-13,-2465754,,-1945785,
(주)SH에너지화학,2360,Dec-14,-2027268,,-2050449,
(주)SH에너지화학,2360,Dec-15,-4907393,,-4985240,
(주)SH에너지화학,2360,Dec-16,2952558,,3930942,
(주)SH에너지화학,2360,Dec-17,-4392721,,-1347063,
(주)SH에너지화학,2360,Dec-18,-3473611,,-4046569,
(주)SH에너지화학,2360,Dec-19,-5156722,,-6337450,
(주)SIMPAC,9160,Dec-11,-9139505,,-8704426,
(주)SIMPAC,9160,Dec-12,-50742985,,-50742985,
(주)SIMPAC,9160,Dec-13,-49065961,,-49795709,
(주)SIMPAC,9160,Dec-14,18185471,,10539189,
(주)SIMPAC,9160,Dec-15,-24960399,,-15982486,
(주)SIMPAC,9160,Dec-16,1868196,,-4526973,
(주)SIMPAC,9160,Dec-17,-1221063,,-377362,
(주)SIMPAC,9160,Dec-18,34121439,,34396141,
(주)SIMPAC,9160,Dec-19,-33505559,,-30908323,
(주)SNT에너지,100840,Dec-11,874182,,,
(주)SNT에너지,100840,Dec-12,-382322,,,
(주)SNT에너지,100840,Dec-13,1754576,,,
(주)SNT에너지,100840,Dec-14,-126524,,,
(주)SNT에너지,100840,Dec-15,-388071,,,
(주)SNT에너지,100840,Dec-16,-6276169,,,
(주)SNT에너지,100840,Dec-17,6227623,,,
(주)SNT에너지,100840,Dec-18,-6856584,,,
(주)SNT에너지,100840,Dec-19,1138349,,4716326,
(주)SNT홀딩스,36530,Dec-11,38205174,,-23825834,
(주)SNT홀딩스,36530,Dec-12,-21698925,,-42613065,
(주)SNT홀딩스,36530,Dec-13,-5576358,,-22586456,
(주)SNT홀딩스,36530,Dec-14,-10037839,,-53040189,
(주)SNT홀딩스,36530,Dec-15,25411785,,-47887660,
(주)SNT홀딩스,36530,Dec-16,-5487797,,-50764586,
(주)SNT홀딩스,36530,Dec-17,-18991272,,-87582797,
(주)SNT홀딩스,36530,Dec-18,-6658574,,-181259322,
(주)SNT홀딩스,36530,Dec-19,3067340,,27442503,
(주)STX,11810,Dec-11,-311014000,,-738589000,
(주)STX,11810,Dec-12,-170700000,,-546582000,
(주)STX,11810,Dec-13,256801000,,-28285000,
(주)STX,11810,Dec-14,25152000,,44980000,
(주)STX,11810,Dec-15,41271000,,42142000,
(주)STX,11810,Dec-16,48420000,,53174000,
(주)STX,11810,Dec-17,45598000,,47311000,
(주)STX,11810,Dec-18,22829000,,24797000,
(주)STX,11810,Dec-19,-35804000,,-26727000,
(주)TCC스틸,2710,Dec-11,-34958575,,-33632208,
(주)TCC스틸,2710,Dec-12,-32640959,,-43256998,
(주)TCC스틸,2710,Dec-13,-35681571,,12243850,
(주)TCC스틸,2710,Dec-14,-28226203,,4309765,
(주)TCC스틸,2710,Dec-15,-15629867,,21985692,
(주)TCC스틸,2710,Dec-16,87807785,,87996322,
(주)TCC스틸,2710,Dec-17,671217,,272218,
(주)TCC스틸,2710,Dec-18,-2184262,,-637436,
(주)TCC스틸,2710,Dec-19,-11360066,,-11936714,
(주)가비아,79940,Dec-11,-5828440,,-10140435,
(주)가비아,79940,Dec-12,-16004942,,-20717005,
(주)가비아,79940,Dec-13,-1682086,,-9998158,
(주)가비아,79940,Dec-14,-7744206,,-10913796,
(주)가비아,79940,Dec-15,-1800461,,-8773166,
(주)가비아,79940,Dec-16,-10755258,,-18247920,
(주)가비아,79940,Dec-17,-6515005,,-8859280,
(주)가비아,79940,Dec-18,-8098967,,-22923889,
(주)가비아,79940,Dec-19,-13094318,,-29988807,
(주)가온칩스,399720,Dec-18,,,,
(주)가온칩스,399720,Dec-19,,,,
(주)강스템바이오텍,217730,Dec-13,,,,
(주)강스템바이오텍,217730,Dec-14,,,,
(주)강스템바이오텍,217730,Dec-15,-12058913,,,
