회사명,거래소코드,회계년도,장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),유동성장기차입금(IFRS)(천원),자산(*)(IFRS)(천원),장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),유동성장기차입금(IFRS연결)(천원),자산(*)(IFRS연결)(천원)
(주)CMG제약,058820,2010/12,2000000,1537477,46200,26775627,2000000,0,46200,26775627
(주)CMG제약,058820,2011/12,0,2134049,2000000,27548539,0,0,2000000,27305198
(주)CMG제약,058820,2012/12,0,2132612,0,56988604,0,100000,0,57108035
(주)CMG제약,058820,2013/12,0,0,0,55961620,0,0,0,55912563
(주)CMG제약,058820,2014/12,0,0,0,58127098,0,5451,0,58068326
(주)CMG제약,058820,2015/12,0,0,0,56591972,0,6273,0,56532821
(주)CMG제약,058820,2016/12,0,0,0,110979867,0,0,0,110979867
(주)CMG제약,058820,2017/12,0,0,0,109568153,0,0,0,109568153
(주)CMG제약,058820,2018/12,0,0,0,114379880,0,0,0,114379880
(주)CMG제약,058820,2019/12,0,0,0,192243166,0,0,0,192243166
(주)DB하이텍,000990,2010/12,760366029,5000152,0,1363686317,760366029,5000152,0,1381251114
(주)DB하이텍,000990,2011/12,0,5398045,685879000,1183957429,0,5398046,685879000,1199043869
(주)DB하이텍,000990,2012/12,214817416,5141640,447982000,1149069244,214817416,5141640,447982000,1157755031
(주)DB하이텍,000990,2013/12,276846544,6452198,378887000,1049494642,276846544,6452198,378887000,1058391832
(주)DB하이텍,000990,2014/12,391619824,7547468,259262000,1001959816,391619824,7547468,259262000,984876636
(주)DB하이텍,000990,2015/12,399748737,5218929,120707000,1005673854,399748737,5218930,120707000,984643712
(주)DB하이텍,000990,2016/12,282487037,15253525,124561870,1006370876,282487037,15253525,124561870,986788572
(주)DB하이텍,000990,2017/12,315595985,11286143,28689829,977575054,315595985,11286143,28689829,993950720
(주)DB하이텍,000990,2018/12,277380073,15890934,11717019,1050696487,277380073,15890934,11717019,1066533840
(주)DB하이텍,000990,2019/12,179746294,30550406,29739094,1089400761,179746294,30550406,29739094,1088889810
(주)ES큐브,050120,2010/12,0,0,0,47829486,0,0,0,49189060
(주)ES큐브,050120,2011/12,0,0,0,45233434,0,100000,0,55477032
(주)ES큐브,050120,2012/12,0,0,0,44676182,0,153555,0,46281660
(주)ES큐브,050120,2013/12,0,0,0,47509654,0,152765,0,47137573
(주)ES큐브,050120,2014/12,0,0,0,44914173,0,568302,0,56611836
(주)ES큐브,050120,2015/12,0,0,0,47123684,0,0,0,55620280
(주)ES큐브,050120,2016/12,28600000,0,1200000,104459992,28600000,0,1200000,105164626
(주)ES큐브,050120,2017/12,27400000,0,1200000,104850192,27400000,0,1200000,105892131
(주)ES큐브,050120,2018/12,2100000,0,25200000,108481764,2100000,0,25200000,112430896
(주)ES큐브,050120,2019/12,24900000,0,1200000,136065488,24900000,2726000,1200000,463958680
(주)HJ중공업,097230,2010/12,135512000,293579000,397081000,6323071000,690964000,339135000,500695000,7525363000
(주)HJ중공업,097230,2011/12,178967000,364466000,368942000,5857119000,677057000,410598000,703312000,7036680000
(주)HJ중공업,097230,2012/12,315044000,311804000,381596000,5938108000,777978000,354648000,531785000,6585093000
(주)HJ중공업,097230,2013/12,588662000,291859000,564807000,5839633000,793546000,534025000,954566000,6683379000
(주)HJ중공업,097230,2014/12,904138000,318982000,441851000,5469810000,1458914000,489339000,738776000,6470284000
(주)HJ중공업,097230,2015/12,224253000,529090000,1083163000,4638381000,628609000,660354000,1420587000,5914637000
(주)HJ중공업,097230,2016/12,970466000,167724000,751837000,3921561000,1269833000,514563000,1134704000,5256464000
(주)HJ중공업,097230,2017/12,5497000,105621000,1469673000,3312303000,82638000,243789000,1931463000,4206655000
(주)HJ중공업,097230,2018/12,1140192000,104816000,446546000,2388369000,1140191000,104816000,446546000,2733620000
(주)HJ중공업,097230,2019/12,3927000,0,908876000,2465650000,3927000,0,908876000,2470222000
(주)MH에탄올,023150,2010/12,4292060,62411403,875160,127603795,6895260,0,2664860,134869380
(주)MH에탄올,023150,2011/12,8088960,63015867,1203100,135927085,8088960,0,3839214,134206851
(주)MH에탄올,023150,2012/12,7613360,64484158,475600,139200817,7613360,68371514,475600,134385813
(주)MH에탄올,023150,2013/12,7181760,62912838,431600,122520742,8166707,64376121,1187898,129697936
(주)MH에탄올,023150,2014/12,732160,28450064,225600,85253876,732160,28450064,225600,85534839
(주)MH에탄올,023150,2015/12,484060,18000000,135600,78691328,484060,18000000,135600,78996052
(주)MH에탄올,023150,2016/12,348460,5000000,135600,72025138,348460,5000000,135600,72339673
(주)MH에탄올,023150,2017/12,25212860,11203421,135600,107437079,169747422,41603421,12287891,500180086
(주)MH에탄올,023150,2018/12,25077260,10482447,0,109656889,163785632,45739383,9680073,440177523
(주)MH에탄올,023150,2019/12,25000000,10692858,0,101058662,31219687,46242628,141398140,451474451
(주)SH에너지화학,002360,2010/12,0,25265589,0,94473095,0,25265589,0,95617808
(주)SH에너지화학,002360,2011/12,181920,28921046,0,102383199,181920,28921046,0,104710740
(주)SH에너지화학,002360,2012/12,4000000,24066914,500000,102492810,4000000,24066914,500000,103690070
(주)SH에너지화학,002360,2013/12,500000,26982012,500000,109984767,500000,26982012,500000,110488951
(주)SH에너지화학,002360,2014/12,0,9568698,0,109098264,0,9568698,0,110741407
