회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원)
CMG제약,11-Dec,58820,17751704
CMG제약,12-Dec,58820,16255389
CMG제약,13-Dec,58820,20402140
CMG제약,14-Dec,58820,22752584
CMG제약,15-Dec,58820,27041894
CMG제약,16-Dec,58820,32969825
CMG제약,17-Dec,58820,41535588
CMG제약,18-Dec,58820,49864782
CMG제약,19-Dec,58820,58622681
DB하이텍,11-Dec,990,552216245
DB하이텍,12-Dec,990,590786488
DB하이텍,13-Dec,990,493752028
DB하이텍,14-Dec,990,567718224
DB하이텍,15-Dec,990,666594987
DB하이텍,16-Dec,990,773140180
DB하이텍,17-Dec,990,679737744
DB하이텍,18-Dec,990,669279136
DB하이텍,19-Dec,990,807416423
ES큐브,11-Dec,50120,53379952
ES큐브,12-Dec,50120,55971147
ES큐브,13-Dec,50120,58597361
ES큐브,14-Dec,50120,44459581
ES큐브,15-Dec,50120,42152967
ES큐브,16-Dec,50120,34289385
ES큐브,17-Dec,50120,35745794
ES큐브,18-Dec,50120,33763508
ES큐브,19-Dec,50120,43708239
HJ중공업,11-Dec,97230,2891499000
HJ중공업,12-Dec,97230,2549319000
HJ중공업,13-Dec,97230,2529341000
HJ중공업,14-Dec,97230,2520325000
HJ중공업,15-Dec,97230,3115473000
HJ중공업,16-Dec,97230,2813271000
HJ중공업,17-Dec,97230,2452314000
HJ중공업,18-Dec,97230,1697869000
HJ중공업,19-Dec,97230,1628751000
MH에탄올,11-Dec,23150,44785159
MH에탄올,12-Dec,23150,59768175
MH에탄올,13-Dec,23150,62199887
MH에탄올,14-Dec,23150,48983781
MH에탄올,15-Dec,23150,50386203
MH에탄올,16-Dec,23150,48897025
MH에탄올,17-Dec,23150,51977132
MH에탄올,18-Dec,23150,72795863
MH에탄올,19-Dec,23150,80879342
SH에너지화학,11-Dec,2360,173209351
SH에너지화학,12-Dec,2360,193950102
SH에너지화학,13-Dec,2360,231912218
SH에너지화학,14-Dec,2360,230912587
SH에너지화학,15-Dec,2360,216441364
SH에너지화학,16-Dec,2360,218397677
SH에너지화학,17-Dec,2360,188114822
SH에너지화학,18-Dec,2360,183598766
SH에너지화학,19-Dec,2360,140852575
SNT에너지,11-Dec,100840,195318747
SNT에너지,12-Dec,100840,230707564
SNT에너지,13-Dec,100840,200750984
SNT에너지,14-Dec,100840,242746888
SNT에너지,15-Dec,100840,260094045
SNT에너지,16-Dec,100840,254089906
SNT에너지,17-Dec,100840,184091945
SNT에너지,18-Dec,100840,139516396
SNT에너지,19-Dec,100840,213326726
STX,11-Dec,11810,5967701000
STX,12-Dec,11810,6159850000
STX,13-Dec,11810,2449401000
STX,14-Dec,11810,1313192000
STX,15-Dec,11810,1362127000
STX,16-Dec,11810,1720153000
STX,17-Dec,11810,1595494
STX,18-Dec,11810,1329890
STX,19-Dec,11810,1237876
TCC스틸,11-Dec,2710,514424043
TCC스틸,12-Dec,2710,501337475
TCC스틸,13-Dec,2710,500832754
TCC스틸,14-Dec,2710,518995240
TCC스틸,15-Dec,2710,495795871
TCC스틸,16-Dec,2710,444453635
TCC스틸,17-Dec,2710,391370092
TCC스틸,18-Dec,2710,413176279
TCC스틸,19-Dec,2710,437173902
강스템바이오텍,15-Dec,217730,1484593
강스템바이오텍,16-Dec,217730,842805
강스템바이오텍,17-Dec,217730,9132939
강스템바이오텍,18-Dec,217730,9165454
강스템바이오텍,19-Dec,217730,6004584
강원에너지,12-Dec,114190,106471214
강원에너지,13-Dec,114190,50660659
강원에너지,14-Dec,114190,51481321
강원에너지,15-Dec,114190,46188664
강원에너지,16-Dec,114190,42287473
강원에너지,17-Dec,114190,82034829
강원에너지,18-Dec,114190,85905365
강원에너지,19-Dec,114190,42549622
갤럭시아에스엠,11-Dec,11420,47331427
갤럭시아에스엠,12-Dec,11420,55049732
갤럭시아에스엠,13-Dec,11420,46437304
갤럭시아에스엠,14-Dec,11420,43885894
갤럭시아에스엠,15-Dec,11420,62472754
갤럭시아에스엠,16-Dec,11420,52626331
갤럭시아에스엠,17-Dec,11420,37281280
갤럭시아에스엠,18-Dec,11420,22060413
갤럭시아에스엠,19-Dec,11420,28732679
경동인베스트,11-Dec,12320,1847666903
경동인베스트,12-Dec,12320,2502642394
경동인베스트,13-Dec,12320,2788264380
경동인베스트,14-Dec,12320,2603059058
경동인베스트,15-Dec,12320,1604168482
경동인베스트,16-Dec,12320,1181902637
경동인베스트,17-Dec,12320,195069859
경동인베스트,18-Dec,12320,228644016
경동인베스트,19-Dec,12320,271765025
경방,11-Dec,50,348136369
경방,12-Dec,50,333620804
경방,13-Dec,50,347189559
경방,14-Dec,50,329036023
경방,15-Dec,50,357628146
경방,16-Dec,50,377445013
경방,17-Dec,50,360788750
경방,18-Dec,50,351438926
경방,19-Dec,50,343892085
골드앤에스,11-Dec,35290,47522791
골드앤에스,12-Dec,35290,43889087
골드앤에스,13-Dec,35290,39548810
골드앤에스,14-Dec,35290,31287203
골드앤에스,15-Dec,35290,22197935
골드앤에스,16-Dec,35290,15893494
골드앤에스,17-Dec,35290,12802035
골드앤에스,18-Dec,35290,8680452
골드앤에스,19-Dec,35290,7642733
골드퍼시픽,11-Dec,38530,11236925
골드퍼시픽,12-Dec,38530,10491048
골드퍼시픽,13-Dec,38530,7167832
골드퍼시픽,14-Dec,38530,16486257
골드퍼시픽,15-Dec,38530,18635305
골드퍼시픽,16-Dec,38530,9588100
골드퍼시픽,17-Dec,38530,5031439
골드퍼시픽,18-Dec,38530,5708281
골드퍼시픽,19-Dec,38530,11323125
골프존뉴딘홀딩스,11-Dec,121440,215793737
골프존뉴딘홀딩스,12-Dec,121440,289629366
골프존뉴딘홀딩스,13-Dec,121440,365126358
골프존뉴딘홀딩스,14-Dec,121440,429589619
골프존뉴딘홀딩스,15-Dec,121440,164536448
골프존뉴딘홀딩스,16-Dec,121440,243275475
골프존뉴딘홀딩스,17-Dec,121440,213756902
골프존뉴딘홀딩스,18-Dec,121440,223036801
골프존뉴딘홀딩스,19-Dec,121440,228935651
광림,11-Dec,14200,106495363
광림,12-Dec,14200,85322569
광림,13-Dec,14200,103442134
광림,14-Dec,14200,231446314
광림,15-Dec,14200,237222890
광림,16-Dec,14200,87302967
광림,17-Dec,14200,135191558
광림,18-Dec,14200,136595300
광림,19-Dec,14200,145864184
광명전기,11-Dec,17040,92382628
광명전기,12-Dec,17040,117216514
광명전기,13-Dec,17040,117852824
광명전기,14-Dec,17040,134778387
광명전기,15-Dec,17040,116316957
광명전기,16-Dec,17040,96942911
광명전기,17-Dec,17040,101561159
광명전기,18-Dec,17040,114110654
광명전기,19-Dec,17040,131864294
광무,11-Dec,29480,51755052
광무,12-Dec,29480,41178683
광무,13-Dec,29480,20534276
광무,14-Dec,29480,38409667
광무,15-Dec,29480,17648493
광무,16-Dec,29480,26429957
광무,17-Dec,29480,21540953
광무,18-Dec,29480,23074941
광무,19-Dec,29480,36483979
구영테크,11-Dec,53270,147832315
구영테크,12-Dec,53270,155788988
구영테크,13-Dec,53270,172747316
구영테크,14-Dec,53270,170528694
구영테크,15-Dec,53270,172083049
구영테크,16-Dec,53270,148301597
