회사명,거래소코드,회계년도,총자본증가율(IFRS),총자본증가율(IFRS연결),유동자산증가율(IFRS),유동자산증가율(IFRS연결),매출액증가율(IFRS),매출액증가율(IFRS연결),유형자산증가율(IFRS),유형자산증가율(IFRS연결),재고자산증가율(IFRS),재고자산증가율(IFRS연결),자기자본증가율(IFRS),자기자본증가율(IFRS연결),순이익증가율(IFRS),순이익증가율(IFRS연결),정상영업이익증가율(IFRS),정상영업이익증가율(IFRS연결)
(주)CMG제약,58820,Dec-11,2.89,1.98,17.05,17.64,56.4,56.4,-6.44,-5.9,-1.43,-1.43,-0.62,-2.02,0,0,0,0
(주)CMG제약,58820,Dec-12,106.87,109.15,208.38,207.08,-8.43,-8.43,-4.02,-4.12,7.73,7.73,72.78,75.17,0,0,0,0
(주)CMG제약,58820,Dec-13,-1.8,-2.09,-18.73,-18.89,25.02,25.51,16.63,16.09,56.29,56.29,55.2,55.1,0,0,0,0
(주)CMG제약,58820,Dec-14,3.87,3.86,-25.87,-25.93,11.96,11.52,74.3,74.3,6.37,6.37,0.04,0.01,-48.84,-46.64,-45.78,-44.1
(주)CMG제약,58820,Dec-15,-2.64,-2.64,-7.15,-7.17,18.85,18.85,-5.37,-5.37,11.04,11.04,-4.47,-4.48,0,0,0,0
(주)CMG제약,58820,Dec-16,96.11,96.31,199.16,199.84,21.92,21.92,-5.14,-5.14,17.2,17.2,115.71,116.01,0,0,0,0
(주)CMG제약,58820,Dec-17,-1.27,-1.27,3.12,3.12,25.98,25.98,-4.28,-4.28,23.63,23.63,-3.13,-3.13,67.4,64.07,-9.95,-9.95
(주)CMG제약,58820,Dec-18,4.39,4.39,0.18,0.18,20.05,20.05,6.71,6.71,8.45,8.45,6.16,6.16,113.94,113.94,64.75,64.75
(주)CMG제약,58820,Dec-19,68.07,68.07,85.06,85.06,17.56,17.56,39.67,39.67,5.56,5.56,73.26,73.26,-49.69,-49.69,1.4,1.4
(주)DB하이텍,990,Dec-11,-13.18,-13.19,-10.98,-10.08,-9.96,-10.94,-7.91,-7.89,-3.28,-3.28,-22.61,-22.6,0,0,0,0
(주)DB하이텍,990,Dec-12,-2.95,-3.44,14.03,10.52,9.28,6.98,-9.66,-9.69,2.79,2.79,-5.88,-5.57,0,0,0,0
