,회사명,거래소코드,회계년도,영업이익(개별),영업이익(연결)
0,(주)CMG제약,58820,2011,714950,640282
1,(주)CMG제약,58820,2012,-4045140,-4205504
2,(주)CMG제약,58820,2013,822547,791250
3,(주)CMG제약,58820,2014,446017,442322
4,(주)CMG제약,58820,2015,-2570878,-2572169
5,(주)CMG제약,58820,2016,1730753,1730753
6,(주)CMG제약,58820,2017,1558607,1558607
7,(주)CMG제약,58820,2018,2567820,2567820
8,(주)CMG제약,58820,2019,2603774,2603774
9,(주)DB하이텍,990,2011,-39983672,-43150444
10,(주)DB하이텍,990,2012,-14429658,-15621631
11,(주)DB하이텍,990,2013,-9392980,-9610612
12,(주)DB하이텍,990,2014,45310506,45560248
13,(주)DB하이텍,990,2015,124372823,124968815
14,(주)DB하이텍,990,2016,171787648,172427930
15,(주)DB하이텍,990,2017,142353689,143195167
16,(주)DB하이텍,990,2018,112884303,112993143
17,(주)DB하이텍,990,2019,181155872,181292188
18,(주)ES큐브,50120,2011,-2080143,-3650245
19,(주)ES큐브,50120,2012,645839,89337
20,(주)ES큐브,50120,2013,217137,-1164610
21,(주)ES큐브,50120,2014,325908,171090
22,(주)ES큐브,50120,2015,2370570,-4060427
23,(주)ES큐브,50120,2016,2359528,2161042
24,(주)ES큐브,50120,2017,2170102,2248520
25,(주)ES큐브,50120,2018,691469,-1211129
26,(주)ES큐브,50120,2019,587700,-2617071
27,(주)HJ중공업,97230,2011,59453000,107974000
28,(주)HJ중공업,97230,2012,28591000,52914000
29,(주)HJ중공업,97230,2013,-109107000,-69574000
30,(주)HJ중공업,97230,2014,-106249000,-144988000
31,(주)HJ중공업,97230,2015,-97810000,-79370000
32,(주)HJ중공업,97230,2016,49319000,-79319000
33,(주)HJ중공업,97230,2017,86683000,-116693000
34,(주)HJ중공업,97230,2018,-66005000,61676000
35,(주)HJ중공업,97230,2019,77055000,83839000
36,(주)MH에탄올,23150,2011,6908187,603259
37,(주)MH에탄올,23150,2012,6518758,5451733
38,(주)MH에탄올,23150,2013,9650240,3009741
39,(주)MH에탄올,23150,2014,8746818,8744851
40,(주)MH에탄올,23150,2015,11094172,11092013
41,(주)MH에탄올,23150,2016,11876872,11874476
42,(주)MH에탄올,23150,2017,10452914,8116710
43,(주)MH에탄올,23150,2018,9028515,1228204
44,(주)MH에탄올,23150,2019,7828586,7829103
45,(주)SH에너지화학,2360,2011,4987642,4165988
46,(주)SH에너지화학,2360,2012,2874584,2183184
47,(주)SH에너지화학,2360,2013,7203175,6424227
48,(주)SH에너지화학,2360,2014,20274503,21271908
49,(주)SH에너지화학,2360,2015,22899623,22950176
50,(주)SH에너지화학,2360,2016,23600206,24101160
51,(주)SH에너지화학,2360,2017,13189274,14181937
52,(주)SH에너지화학,2360,2018,2811557,2100670
53,(주)SH에너지화학,2360,2019,-2363194,-3131129
54,(주)SIMPAC,9160,2011,27382839,27346333
55,(주)SIMPAC,9160,2012,25309897,25191277
56,(주)SIMPAC,9160,2013,23741361,23599350
57,(주)SIMPAC,9160,2014,18736806,17341900
58,(주)SIMPAC,9160,2015,23630500,21241031
59,(주)SIMPAC,9160,2016,21406076,23566192
60,(주)SIMPAC,9160,2017,13971088,11697915
61,(주)SIMPAC,9160,2018,7215889,10190572
62,(주)SIMPAC,9160,2019,8438306,11141319
63,(주)SNT에너지,100840,2011,-6597215,0
64,(주)SNT에너지,100840,2012,15132784,0
65,(주)SNT에너지,100840,2013,16804410,0
66,(주)SNT에너지,100840,2014,13777651,0
67,(주)SNT에너지,100840,2015,33918034,0
68,(주)SNT에너지,100840,2016,1195145,0
69,(주)SNT에너지,100840,2017,19201911,0
70,(주)SNT에너지,100840,2018,-1892191,0
71,(주)SNT에너지,100840,2019,14679703,17473547
72,(주)SNT홀딩스,36530,2011,-4240084,120504644
73,(주)SNT홀딩스,36530,2012,6695560,85693573
74,(주)SNT홀딩스,36530,2013,6923357,84798090
75,(주)SNT홀딩스,36530,2014,5966121,65504975
76,(주)SNT홀딩스,36530,2015,6719534,161533664
77,(주)SNT홀딩스,36530,2016,7999927,72283066
78,(주)SNT홀딩스,36530,2017,5401909,60637139
79,(주)SNT홀딩스,36530,2018,5392032,72650119
80,(주)SNT홀딩스,36530,2019,8991504,126277061
81,(주)STX,11810,2011,61711000,234608000
82,(주)STX,11810,2012,17733000,-410811000
83,(주)STX,11810,2013,-67233000,-961776000
84,(주)STX,11810,2014,23414000,35691000
85,(주)STX,11810,2015,-16336000,-34170000
86,(주)STX,11810,2016,-105780000,-34169000
87,(주)STX,11810,2017,30170000,44053000
88,(주)STX,11810,2018,-6902000,-14778000
89,(주)STX,11810,2019,-13697000,1748000
90,(주)TCC스틸,2710,2011,12575855,11421366
91,(주)TCC스틸,2710,2012,11675644,5933944
92,(주)TCC스틸,2710,2013,8348275,-7745722
93,(주)TCC스틸,2710,2014,10868550,344471
94,(주)TCC스틸,2710,2015,14570434,15855157
95,(주)TCC스틸,2710,2016,13291419,15351135
96,(주)TCC스틸,2710,2017,6759804,8106456
97,(주)TCC스틸,2710,2018,16306122,17080602
98,(주)TCC스틸,2710,2019,12657106,12856170
99,(주)가비아,79940,2011,3932157,8180882
100,(주)가비아,79940,2012,2949228,7619962
101,(주)가비아,79940,2013,3035052,7033503
102,(주)가비아,79940,2014,3451259,8382688
103,(주)가비아,79940,2015,4531993,11349095
104,(주)가비아,79940,2016,3981746,12549258
105,(주)가비아,79940,2017,3176328,12712156
106,(주)가비아,79940,2018,4106091,18188449
107,(주)가비아,79940,2019,4889113,23736596
108,(주)강스템바이오텍,217730,2015,-5125200,0
109,(주)강스템바이오텍,217730,2016,-9117541,0
110,(주)강스템바이오텍,217730,2017,-11132505,-11737865
111,(주)강스템바이오텍,217730,2018,-10525345,-11693968
112,(주)강스템바이오텍,217730,2019,-19411147,-23153709
113,(주)강원랜드,35250,2011,501039826,488541474
114,(주)강원랜드,35250,2012,416789419,404867665
115,(주)강원랜드,35250,2013,398563590,388041305
116,(주)강원랜드,35250,2014,526317689,513172052
117,(주)강원랜드,35250,2015,603884505,595400403
118,(주)강원랜드,35250,2016,624885356,618616289
119,(주)강원랜드,35250,2017,535824585,530897334
120,(주)강원랜드,35250,2018,434851736,430699990
121,(주)강원랜드,35250,2019,502725264,501153152
122,(주)강원에너지,114190,2011,6590007,0
123,(주)강원에너지,114190,2012,11611165,0
124,(주)강원에너지,114190,2013,3234230,0
125,(주)강원에너지,114190,2014,1626296,0
126,(주)강원에너지,114190,2015,878120,447206
127,(주)강원에너지,114190,2016,-901973,-1311190
128,(주)강원에너지,114190,2017,-5421114,-5588512
129,(주)강원에너지,114190,2018,532248,341329
130,(주)강원에너지,114190,2019,-17150531,-17175963
131,(주)갤럭시아에스엠,11420,2011,5151678,5164839
132,(주)갤럭시아에스엠,11420,2012,1598883,2074371
