회사명,거래소코드,회계년도,매출액총이익률(IFRS),매출액총이익률(IFRS연결),매출액순이익률(IFRS),매출액순이익률(IFRS연결),자기자본순이익률(IFRS),자기자본순이익률(IFRS연결),총자본정상영업이익률(IFRS),총자본정상영업이익률(IFRS연결),매출액정상영업이익률(IFRS),매출액정상영업이익률(IFRS연결),총자본순이익률(IFRS),총자본순이익률(IFRS연결)
(주)CMG제약,58820,Dec-11,41.83,41.83,-7.12,-8.5,-6.89,-8.28,2.63,2.37,4.03,3.61,-4.66,-5.58
(주)CMG제약,58820,Dec-12,28.34,28.34,-42.4,-40.97,-27.63,-26.84,-9.57,-9.96,-24.88,-25.87,-16.31,-15.78
(주)CMG제약,58820,Dec-13,38.46,38.7,1.65,1.45,0.83,0.74,1.46,1.4,4.05,3.88,0.59,0.52
(주)CMG제약,58820,Dec-14,37.07,37.07,0.75,0.69,0.35,0.32,0.78,0.78,1.96,1.94,0.3,0.28
(주)CMG제약,58820,Dec-15,36.26,36.26,-13.49,-13.5,-7.61,-7.62,-4.48,-4.49,-9.51,-9.51,-6.36,-6.37
(주)CMG제약,58820,Dec-16,40.36,40.36,5.14,5.24,2.29,2.34,2.07,2.07,5.25,5.25,2.02,2.06
(주)CMG제약,58820,Dec-17,43.43,43.43,6.83,6.83,2.85,2.85,1.41,1.41,3.75,3.75,2.57,2.57
(주)CMG제약,58820,Dec-18,45.6,45.6,12.16,12.16,6.01,6.01,2.29,2.29,5.15,5.15,5.42,5.42
(주)CMG제약,58820,Dec-19,49.34,49.34,5.2,5.2,2.15,2.15,1.7,1.7,4.44,4.44,1.99,1.99
(주)DB하이텍,990,Dec-11,17.06,16.62,-17.42,-17.74,-27.84,-27.74,-3.14,-3.34,-7.48,-7.81,-7.31,-7.59
(주)DB하이텍,990,Dec-12,16.6,16.38,-5.5,-5.31,-11.35,-10.47,-1.24,-1.33,-2.47,-2.64,-2.75,-2.66
(주)DB하이텍,990,Dec-13,18.08,18.08,-14.83,-16.82,-31.05,-33.51,-0.85,-0.87,-1.9,-1.95,-6.66,-7.49
(주)DB하이텍,990,Dec-14,24.11,24.11,-10.27,-13.56,-34.99,-47.32,4.42,4.46,7.98,8.03,-5.69,-7.54
(주)DB하이텍,990,Dec-15,34.46,34.46,19.12,19.01,61.61,67.63,12.39,12.69,18.66,18.75,12.7,12.87
(주)DB하이텍,990,Dec-16,37.51,37.51,11.38,11.43,27.41,29.65,17.08,17.49,22.22,22.3,8.75,8.96
(주)DB하이텍,990,Dec-17,37.3,37.3,10.95,16.21,18.46,27.62,14.35,14.46,20.94,21.07,7.5,11.12
(주)DB하이텍,990,Dec-18,32.17,32.17,14.21,12.97,19.32,17.12,11.13,10.97,16.87,16.88,9.38,8.43
(주)DB하이텍,990,Dec-19,36.43,36.43,15.01,12.96,20.4,17.4,16.93,16.82,22.44,22.45,11.32,9.71
(주)ES큐브,50120,Dec-11,30.21,27.92,-7.03,-8.99,-7.22,-12.61,-4.47,-6.58,-4.99,-6.84,-6.3,-8.65
(주)ES큐브,50120,Dec-12,28.36,28.02,1.17,-0.64,1.31,0.29,1.44,0.19,1.46,0.16,1.15,-0.78
(주)ES큐브,50120,Dec-13,25.75,24.76,-32.19,-28.08,-35.29,-40.47,0.47,-2.49,0.47,-1.99,-32,-35.23
(주)ES큐브,50120,Dec-14,17.79,21.42,-6.49,-1.38,-5.68,1.15,0.71,0.33,0.88,0.38,-5.22,-1.19
(주)ES큐브,50120,Dec-15,16.68,27.8,9.79,-5.47,8.39,1.56,5.15,-7.24,6.43,-9.63,7.85,-4.11
(주)ES큐브,50120,Dec-16,18.24,28.68,50.17,62.82,30.46,38.07,3.11,2.69,6.78,6.3,23.05,26.79
(주)ES큐브,50120,Dec-17,17.81,27.1,3.29,4.86,1.73,2.41,2.07,2.13,5.85,6.29,1.16,1.65
(주)ES큐브,50120,Dec-18,17.93,22.89,-12.25,-18.13,-5.56,-5.54,0.65,-1.11,2.21,-3.59,-3.6,-5.61
(주)ES큐브,50120,Dec-19,20.4,18.75,-44.65,-31.5,-21.14,-21.76,0.48,-0.91,2.06,-5.99,-10.42,-4.78
(주)HJ중공업,97230,Dec-11,6.87,7.85,-5.02,-3.35,-6,-5.07,0.98,1.48,2.57,3.73,-1.91,-1.33
(주)HJ중공업,97230,Dec-12,7.44,7.49,0.66,-2.09,0.7,-2.95,0.48,0.78,1.44,2.08,0.22,-0.78
(주)HJ중공업,97230,Dec-13,1.37,2.57,-11.04,-7.52,-11.6,-11.28,-1.85,-1.05,-5.66,-2.75,-3.61,-2.87
(주)HJ중공업,97230,Dec-14,0.04,-0.67,-12.55,-11.9,-12.66,-18.64,-1.88,-2.2,-5.91,-5.75,-3.99,-4.56
(주)HJ중공업,97230,Dec-15,3.38,3.56,-12.74,-8.38,-16.57,-17.73,-1.94,-1.28,-4.79,-2.55,-5.15,-4.21
(주)HJ중공업,97230,Dec-16,7.89,2.12,-17.34,-11.89,-29.31,-29.53,1.15,-1.42,2.56,-2.82,-7.81,-5.99
(주)HJ중공업,97230,Dec-17,11.07,0.87,-17.21,-11.34,-40.75,-37.73,2.4,-2.47,4.99,-4.76,-8.27,-5.87
(주)HJ중공업,97230,Dec-18,11.41,8.29,-55.03,-75.6,0,0,-2.32,1.78,-3.77,3.63,-33.8,-36.99
(주)HJ중공업,97230,Dec-19,10.59,10.9,-4.58,18.8,0,0,3.17,3.22,4.79,5.15,-3.03,11.77
(주)MH에탄올,23150,Dec-11,24.28,16.81,7.76,-9.73,6.14,-9.74,5.24,0.45,15.99,1.35,2.54,-3.24
(주)MH에탄올,23150,Dec-12,22.01,17.97,5.65,0.48,4.48,1.01,4.74,4.06,14.33,9.12,1.87,0.21
(주)MH에탄올,23150,Dec-13,28.19,12.67,-25.11,11.3,-21.97,16.85,7.37,2.28,20.84,4.84,-8.89,5.32
(주)MH에탄올,23150,Dec-14,24.24,24.24,9.43,-0.41,9.27,-0.38,8.42,8.13,17.86,17.85,4.45,-0.19
(주)MH에탄올,23150,Dec-15,27.71,27.71,15.37,15.44,14.07,14.06,13.53,13.48,22.02,22.01,9.45,9.46
(주)MH에탄올,23150,Dec-16,30.54,30.54,16.64,16.66,13.47,13.41,15.76,15.69,24.29,24.28,10.79,10.76
(주)MH에탄올,23150,Dec-17,28.37,28.38,12.23,8.29,9.23,10.42,11.65,2.84,21.65,15.62,6.58,1.5
(주)MH에탄올,23150,Dec-18,26.87,26.47,13.96,-16.53,9.84,-0.93,8.32,0.26,19.23,1.69,6.04,-2.56
(주)MH에탄올,23150,Dec-19,24.64,32.96,-10.65,-9.34,-7.82,-0.88,7.43,1.76,16.66,9.68,-4.75,-1.69
(주)SH에너지화학,2360,Dec-11,7.05,7.17,1.83,1.04,5.02,3.31,5.07,4.16,2.89,2.41,3.21,1.8
(주)SH에너지화학,2360,Dec-12,6.98,7.8,0.56,0.11,1.67,0.61,2.81,2.1,1.5,1.13,1.05,0.2
(주)SH에너지화학,2360,Dec-13,7.13,7.74,2.11,1.99,7.19,7.35,6.78,6,3.13,2.77,4.56,4.3
(주)SH에너지화학,2360,Dec-14,13.28,14.4,6.86,7.25,20.33,21.7,18.51,19.23,8.93,9.21,14.21,15.13
(주)SH에너지화학,2360,Dec-15,16.27,17.24,5.91,5.82,14.52,14.62,20.52,20.29,10.71,10.6,11.33,11.13
(주)SH에너지화학,2360,Dec-16,16.16,17.69,8.2,8.26,18.13,18.66,19.92,20.08,11.01,11.04,14.83,15.02
(주)SH에너지화학,2360,Dec-17,12.43,13.98,4.82,5.25,8.53,9.21,10.71,11.35,7.14,7.54,7.23,7.91
(주)SH에너지화학,2360,Dec-18,6.47,6.68,1.53,1.11,2.64,2.21,2.3,1.7,1.56,1.14,2.27,1.64
(주)SH에너지화학,2360,Dec-19,4.56,4.73,-2.28,-2.19,-3.13,-2.84,-1.95,-2.55,-1.71,-2.22,-2.6,-2.51
(주)SIMPAC,9160,Dec-11,20.65,20.87,9.91,11.6,14.52,15.9,9.83,9.42,12.8,12.7,7.61,8.61
(주)SIMPAC,9160,Dec-12,18.65,18.86,10.06,8.56,13.5,10.81,8.38,8,11.31,11.18,7.45,6.13
(주)SIMPAC,9160,Dec-13,19.88,20.1,9.39,9.74,10.22,10.11,7.22,6.93,11.61,11.47,5.84,5.89
(주)SIMPAC,9160,Dec-14,17.21,16.37,4.49,5.44,5.09,6.7,5.52,4.66,8.24,6.59,3.01,3.85
(주)SIMPAC,9160,Dec-15,19.62,17.85,9.12,6.1,9.17,7.29,6.76,5.28,11.09,7.88,5.57,4.09
(주)SIMPAC,9160,Dec-16,18.47,18.48,7.62,6.06,7.32,6.85,5.82,5.61,9.92,8.82,4.47,3.85
(주)SIMPAC,9160,Dec-17,17.06,16.31,3.51,5.59,3.15,5.36,3.94,2.93,6.88,5.07,2.01,3.23
(주)SIMPAC,9160,Dec-18,9.41,11.16,23.2,22.6,19.65,20.48,1.49,1.92,2.68,3.33,12.84,13.02
(주)SIMPAC,9160,Dec-19,8.89,10.41,2.94,2.21,2.77,2.17,1.36,1.64,2.15,2.59,1.86,1.39
(주)SNT에너지,100840,Dec-11,7.22,,-2.13,,-2.53,,-2.49,,-3.38,,-1.57,
(주)SNT에너지,100840,Dec-12,16.85,,3.94,,5.29,,5.32,,6.56,,3.19,
(주)SNT에너지,100840,Dec-13,19.4,,8.06,,8.49,,5.56,,8.37,,5.36,
(주)SNT에너지,100840,Dec-14,16.12,,4.64,,5.55,,4.47,,5.68,,3.66,
(주)SNT에너지,100840,Dec-15,22.22,,10.39,,12.31,,10.93,,13.04,,8.71,
(주)SNT에너지,100840,Dec-16,19.33,,0.65,,0.72,,0.36,,0.47,,0.5,
(주)SNT에너지,100840,Dec-17,20.66,,2.49,,1.98,,5.92,,10.43,,1.41,
(주)SNT에너지,100840,Dec-18,14.88,,1.31,,0.78,,-0.65,,-1.36,,0.63,
(주)SNT에너지,100840,Dec-19,16.04,16.73,7.19,7.24,6.12,6.31,4.79,5.23,7.24,8.19,4.76,4.63
(주)SNT홀딩스,36530,Dec-11,100,12.89,255.39,5.24,1.47,6.88,-1.08,5.79,-187.79,7.24,1.47,4.19
(주)SNT홀딩스,36530,Dec-12,0,12.2,103.36,3.79,2.32,5.6,1.72,4.08,76.8,5.14,2.32,3.01
(주)SNT홀딩스,36530,Dec-13,0,12.51,90.84,3.41,2.04,4.41,1.76,4.01,78.44,5.38,2.04,2.55
(주)SNT홀딩스,36530,Dec-14,0,11.1,89.48,4.32,1.73,5.51,1.5,3.13,77.46,4.22,1.73,3.2
(주)SNT홀딩스,36530,Dec-15,0,17.45,327.62,7.22,6.77,5.75,1.62,7.68,79.29,10.02,6.69,5.53
(주)SNT홀딩스,36530,Dec-16,0,13.08,70.51,0.66,1.63,0.47,1.87,3.3,81.48,4.7,1.61,0.46
(주)SNT홀딩스,36530,Dec-17,0,13.58,56.25,1.71,0.98,1.14,1.27,2.78,72.82,4.02,0.98,1.19
(주)SNT홀딩스,36530,Dec-18,0,12.86,85.27,5.26,1.47,4.36,1.27,3.41,73.94,5.18,1.47,3.46
(주)SNT홀딩스,36530,Dec-19,0,15.07,83.92,8.23,2.2,8.78,2.14,5.81,81.62,8.35,2.2,5.72
(주)STX,11810,Dec-11,4.42,7.57,2.03,3.73,8.07,14.56,2.02,4.14,1.48,3.93,2.76,3.93
(주)STX,11810,Dec-12,2.89,-3.15,-0.58,-7.97,-2.09,-35.59,0.54,-7.98,0.43,-6.67,-0.73,-9.53
(주)STX,11810,Dec-13,4.27,-28.23,-86.86,-65.14,0,-521.17,-3.12,-30.01,-3.55,-39.27,-76.32,-49.79
(주)STX,11810,Dec-14,4.49,7.42,25.9,23.28,0,0,2.17,2.75,1.81,2.18,31.01,29.3
(주)STX,11810,Dec-15,0.73,2.74,-3.92,-3,-84.03,-59.01,-1.54,-2.71,-1.2,-2.1,-5.02,-3.88
(주)STX,11810,Dec-16,-1.95,4.93,-31.12,-26.59,0,0,-12.55,-3.46,-7.22,-1.99,-54.14,-46.33
(주)STX,11810,Dec-17,3.36,4.73,21.07,18.54,0,0,5.26,6.6,1.89,2.44,58.56,50.09
(주)STX,11810,Dec-18,0.76,1.33,0.38,0.61,9.4,17.12,-1.43,-2.5,-0.52,-0.98,1.04,1.54
(주)STX,11810,Dec-19,1,3.16,-3,-2.26,-65.84,-54.53,-3.01,0.31,-1.11,0.12,-8.17,-5.96
(주)TCC스틸,2710,Dec-11,8.29,8.19,1.49,0.89,3.34,2.02,3.25,2.63,2.75,2.22,1.76,1.05
(주)TCC스틸,2710,Dec-12,9.36,8.66,0.95,0.02,2.03,0.07,2.76,1.19,2.65,1.18,0.99,0.02
(주)TCC스틸,2710,Dec-13,8.14,5.34,0.09,-3.98,0.19,-8.85,1.89,-1.42,1.99,-1.55,0.09,-3.66
(주)TCC스틸,2710,Dec-14,9.05,6.82,0.25,-3.05,0.49,-7.71,2.4,0.06,2.71,0.07,0.23,-2.89
(주)TCC스틸,2710,Dec-15,10.96,8.85,-40.02,-22.23,-97.74,-80.07,3.68,3.42,4.16,3.2,-35.38,-23.77
(주)TCC스틸,2710,Dec-16,11.25,9.35,4.88,3.81,18.29,17.99,4.57,4.66,4.19,3.45,5.32,5.14
(주)TCC스틸,2710,Dec-17,8.78,8.79,-0.7,0.38,-2.56,1.5,2.71,2.89,2.03,2.07,-0.93,0.54
(주)TCC스틸,2710,Dec-18,8.68,8.54,2.15,2.36,8.05,9.19,6.31,5.85,4.64,4.13,2.93,3.34
