회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),장기차입금(IFRS)(천원),단기차입금(IFRS)(천원),회사채(IFRS)(천원),이자비용(IFRS연결)(천원),이자비용(IFRS)(천원)
(주)CMG제약,058820,2011/12,17751704,17751704,10325799,10325799,18290915,18034249,6727421,6802089,-1264488,-1508282,27548539,27305198,0,0,0,0,181404
(주)CMG제약,058820,2012/12,16255389,16255389,11648690,11648690,31602540,31590685,8651838,8812202,-6892739,-6660149,56988604,57108035,0,0,0,0,542880
(주)CMG제약,058820,2013/12,20322140,20402140,12506817,12506817,49048213,48997281,6992776,7104073,335258,296181,55961620,55912563,0,0,0,0,1133753
(주)CMG제약,058820,2014/12,22752584,22752584,14318048,14318048,49067039,49002644,7988518,7992213,171502,158039,58127098,58068326,0,0,0,0,122840
(주)CMG제약,058820,2015/12,27041894,27041894,17237814,17237814,46872705,46806888,12374958,12376249,-3648668,-3650091,56591972,56532821,0,0,0,0,79830
(주)CMG제약,058820,2016/12,32969825,32969825,19663389,19663389,101107635,101107635,11575683,11575683,1693463,1727895,110979867,110979867,0,0,0,0,0
(주)CMG제약,058820,2017/12,41535588,41535588,23497552,23497552,97944019,97944019,16479429,16479429,2834901,2834901,109568153,109568153,0,0,0,0,0
(주)CMG제약,058820,2018/12,49864782,49864782,27124841,27124841,103981846,103981846,20172121,20172121,6065026,6065026,114379880,114379880,0,0,0,0,0
(주)CMG제약,058820,2019/12,58622681,58622681,29700050,29700050,180158283,180158283,26318857,26318857,3051177,3051177,192243166,192243166,0,0,0,0,8593
(주)DB하이텍,000990,2011/12,534317238,552216245,443140034,460440945,291709498,308061688,126664477,127163621,-93084414,-97946584,1183957429,1199043869,0,0,0,0,57547000
(주)DB하이텍,000990,2012/12,583901597,590786488,486953432,494003057,274553219,290893335,111377822,112405062,-32121504,-31341318,1149069244,1157755031,0,0,0,0,50196743
(주)DB하이텍,000990,2013/12,493752028,493752028,404500718,404500718,197287466,204756748,98644291,98861923,-73243309,-83046768,1049494642,1058391832,0,0,0,0,59545366
(주)DB하이텍,000990,2014/12,567718224,567718224,430813375,430813375,136104062,120702734,91594343,91344601,-58319918,-77008844,1001959816,984876636,0,0,0,0,67651856
(주)DB하이텍,000990,2015/12,666594987,666594987,436915515,436915515,277662952,254057491,105306648,104710656,127469869,126733352,1005673854,984643712,0,0,0,0,50040000
(주)DB하이텍,000990,2016/12,773140180,773140180,483129939,483129939,364450453,341917315,118222593,117582311,88002359,88344018,1006370876,986788572,0,0,0,0,39113564
(주)DB하이텍,000990,2017/12,679737744,679737744,426170592,426170592,441546809,455797946,111213462,110371984,74401732,110175089,977575054,993950720,0,0,0,0,23682439
(주)DB하이텍,000990,2018/12,669279136,669279136,453942755,453942755,542557222,558391531,102452079,102343239,95087399,86828768,1050696487,1066533840,0,0,0,0,16701486
(주)DB하이텍,000990,2019/12,807416423,807416423,513292637,513292637,645305205,644650730,112967914,112831598,121159865,104637012,1089400761,1088889810,0,0,0,0,13490314
(주)ES큐브,050120,2011/12,41700477,53379952,29104839,38476771,39144414,39245830,14675781,18553426,-2933429,-4796438,45233434,55477032,0,0,0,0,14570
(주)ES큐브,050120,2012/12,44178050,55971147,31651298,40290541,39881477,39859681,11880913,15591269,516857,-359216,44676182,46281660,0,0,0,0,32239
(주)ES큐브,050120,2013/12,45823196,58597361,34023346,44088670,43712820,42372440,11582714,15673302,-14749080,-16455910,47509654,47137573,0,0,0,0,22822
(주)ES큐브,050120,2014/12,37188072,44459581,30573957,34936541,41226335,49628091,6288207,9351950,-2412385,-615409,44914173,56611836,0,0,0,0,0
(주)ES큐브,050120,2015/12,36887119,42152967,30735643,30433006,44872641,49654460,3780907,15780388,3610344,-2307159,47123684,55620280,0,0,0,0,0
(주)ES큐브,050120,2016/12,34818205,34289385,28468888,24454448,69832373,71696122,3989789,7673895,17469014,21541047,104459992,105164626,0,0,0,0,203736
(주)ES큐브,050120,2017/12,37104908,35745794,30497256,26057940,71398467,72816880,4437550,7439335,1218923,1737925,104850192,105892131,0,0,0,0,785009
(주)ES큐브,050120,2018/12,31308873,33763508,25693835,26036057,66518631,70748607,4923569,8938580,-3836071,-6121462,108481764,112430896,0,0,0,0,1482191
(주)ES큐브,050120,2019/12,28527284,43708239,22708418,35510791,53986331,74038512,5231167,10814519,-12738710,-13767748,136065488,463958680,0,0,0,0,3540387
(주)HJ중공업,097230,2011/12,2316017000,2891499000,2156842000,2664558000,1874877000,1866848000,120739000,139646000,-116272000,-96920000,5857119000,7036680000,0,0,0,0,172549000
(주)HJ중공업,097230,2012/12,1980761000,2549319000,1833445000,2358260000,1863529000,1715516000,118725000,138145000,13082000,-53214000,5938108000,6585093000,0,0,0,0,168022000
(주)HJ중공업,097230,2013/12,1927307000,2529341000,1900927000,2464368000,1804609000,1638998000,135487000,134547000,-212716000,-190193000,5839633000,6683379000,0,0,0,0,151803000
(주)HJ중공업,097230,2014/12,1799016000,2520325000,1798250000,2537259000,1761886000,1573076000,107015000,128054000,-225739000,-299811000,5469810000,6470284000,0,0,0,0,136071000
(주)HJ중공업,097230,2015/12,2041347000,3115473000,1972358000,3004437000,1377529000,1368589000,166799000,190406000,-260118000,-260925000,4638381000,5914637000,0,0,0,0,130127000
