회사명,거래소코드,회계년도,매입채무(IFRS)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),장기매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),장기매출채권(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,1481481,1481481,11050219,0,11050219,0
(주)CMG제약,058820,2012/12,2670886,2670886,11362566,0,11362566,0
(주)CMG제약,058820,2013/12,3911851,3911851,13999415,0,13999415,0
(주)CMG제약,058820,2014/12,4719504,4719504,16787073,0,16787073,0
(주)CMG제약,058820,2015/12,4844096,4844096,15838056,0,15838057,0
(주)CMG제약,058820,2016/12,5688806,5688806,14435808,0,14435808,0
(주)CMG제약,058820,2017/12,7002289,7002289,16768648,0,16768648,0
(주)CMG제약,058820,2018/12,4162722,4162722,19030822,0,19030822,0
(주)CMG제약,058820,2019/12,4328437,4328437,21676515,0,21676515,0
(주)DB하이텍,000990,2011/12,22998829,23196334,71061975,0,79301000,0
(주)DB하이텍,000990,2012/12,23484407,17740927,74994000,0,69176000,0
(주)DB하이텍,000990,2013/12,29426433,29717748,59836026,0,59941499,0
(주)DB하이텍,000990,2014/12,35936430,36235325,83154227,0,83353090,0
(주)DB하이텍,000990,2015/12,42409042,44271640,91970866,0,92342122,0
(주)DB하이텍,000990,2016/12,41718640,44199479,110311839,0,110311838,0
(주)DB하이텍,000990,2017/12,31644708,33883223,85713072,0,85709910,0
(주)DB하이텍,000990,2018/12,36347680,36469258,98855130,0,98855166,0
(주)DB하이텍,000990,2019/12,30336721,30645243,102020672,0,102020672,0
(주)ES큐브,050120,2011/12,2385776,2706831,2102205,0,12624603,0
(주)ES큐브,050120,2012/12,1624298,1540985,3047374,0,4718926,0
(주)ES큐브,050120,2013/12,1329946,934211,2846445,0,4935099,0
(주)ES큐브,050120,2014/12,2309135,1218077,3093857,0,10542241,0
(주)ES큐브,050120,2015/12,1126410,1154116,2055434,0,7805190,0
(주)ES큐브,050120,2016/12,2932249,1029926,2820018,0,4142905,0
(주)ES큐브,050120,2017/12,2416818,1232866,2573314,0,3886201,0
(주)ES큐브,050120,2018/12,2520376,907478,3016721,0,4655667,0
(주)ES큐브,050120,2019/12,4247225,1002412,2610301,0,212246240,0
(주)HJ중공업,097230,2011/12,196118000,214421000,831799000,0,283789000,0
(주)HJ중공업,097230,2012/12,218263000,247973000,955409000,0,268734000,0
(주)HJ중공업,097230,2013/12,229429000,228311000,285995000,374583000,245971000,0
(주)HJ중공업,097230,2014/12,385389000,292809000,384263000,264349000,294422000,0
(주)HJ중공업,097230,2015/12,343319000,352916000,234552000,202344000,203499000,11385000
(주)HJ중공업,097230,2016/12,186629000,291798000,242278000,211349000,134921000,13466000
(주)HJ중공업,097230,2017/12,208153000,279484000,148699000,106840000,130629000,8142000
(주)HJ중공업,097230,2018/12,197641000,197744000,102682000,7348000,109666000,7351000
(주)HJ중공업,097230,2019/12,166779000,166881000,175735000,2646000,186684000,1828000
(주)MH에탄올,023150,2011/12,0,10717,8748707,0,8757548,0
(주)MH에탄올,023150,2012/12,0,15202,10109892,0,10118103,0
(주)MH에탄올,023150,2013/12,0,3722,10664555,0,10691393,0
(주)MH에탄올,023150,2014/12,0,0,10379733,0,10379733,0
(주)MH에탄올,023150,2015/12,0,0,11080407,0,11080407,0
(주)MH에탄올,023150,2016/12,0,0,9965259,0,9965259,0
(주)MH에탄올,023150,2017/12,0,457631,10589508,0,10887252,0
(주)MH에탄올,023150,2018/12,0,627047,10266287,0,10529867,0
(주)MH에탄올,023150,2019/12,0,528575,9124637,0,9499084,0
(주)SH에너지화학,002360,2011/12,940479,955253,28469011,0,29083550,0
(주)SH에너지화학,002360,2012/12,2206403,2215544,29170923,0,30307562,0
(주)SH에너지화학,002360,2013/12,2593275,2599202,33105701,0,33797271,0
(주)SH에너지화학,002360,2014/12,2190170,2223255,32478430,0,33429222,0
(주)SH에너지화학,002360,2015/12,1087816,1103755,31405845,0,32536497,0
(주)SH에너지화학,002360,2016/12,1483508,1504713,44371296,0,44363775,0
(주)SH에너지화학,002360,2017/12,1657856,1775928,29569635,0,32135522,0
(주)SH에너지화학,002360,2018/12,956145,969166,26954657,0,28065346,0
(주)SH에너지화학,002360,2019/12,1003854,1033114,18332571,0,19343406,0
(주)SIMPAC,009160,2011/12,37851191,37822973,61101857,536000,61396431,536000
(주)SIMPAC,009160,2012/12,37650525,37650525,63906443,536000,64410349,536000
(주)SIMPAC,009160,2013/12,38556438,38556438,70594150,536000,70776019,536000
(주)SIMPAC,009160,2014/12,39369978,46030344,65389652,536000,85807726,536000
(주)SIMPAC,009160,2015/12,44285429,53845716,63243462,0,92407160,0
(주)SIMPAC,009160,2016/12,41037295,46855264,49480584,0,82187792,0
(주)SIMPAC,009160,2017/12,25003174,29467361,69293781,0,92525495,0
(주)SIMPAC,009160,2018/12,37013249,43116640,58586618,0,83584396,7480
(주)SIMPAC,009160,2019/12,25346947,32704191,47263174,7480,70072876,7480
(주)SNT에너지,100840,2011/12,44474696,,61985605,0,,
(주)SNT에너지,100840,2012/12,39641985,,55907590,0,,
(주)SNT에너지,100840,2013/12,37857624,,41261252,0,,
(주)SNT에너지,100840,2014/12,31040007,,49187725,0,,
(주)SNT에너지,100840,2015/12,29685849,,64863275,0,,
(주)SNT에너지,100840,2016/12,23920463,,48869506,0,,
(주)SNT에너지,100840,2017/12,16893340,,51310402,0,,
(주)SNT에너지,100840,2018/12,13110417,,29295256,0,,
(주)SNT에너지,100840,2019/12,21255312,23420417,98456397,0,83894725,0
(주)SNT홀딩스,036530,2011/12,0,371854324,677865,0,404578388,0
(주)SNT홀딩스,036530,2012/12,0,318705541,659958,0,404874970,0
(주)SNT홀딩스,036530,2013/12,0,317382506,624553,0,364300144,0
(주)SNT홀딩스,036530,2014/12,0,257490442,608494,0,318803347,1000000
(주)SNT홀딩스,036530,2015/12,0,216310412,647243,0,317287946,0
(주)SNT홀딩스,036530,2016/12,0,235495857,647920,0,331347025,0
(주)SNT홀딩스,036530,2017/12,53817,244821803,558857,0,317573551,0
(주)SNT홀딩스,036530,2018/12,0,225133544,595784,0,282698019,0
(주)SNT홀딩스,036530,2019/12,0,199204201,570175,0,323871429,0
(주)STX,011810,2011/12,263754000,357994000,433389000,36353000,549558000,36613000
(주)STX,011810,2012/12,211303000,335789000,407542000,21769000,585650000,23485000
(주)STX,011810,2013/12,117155000,199238000,264240000,13514000,318920000,13514000
(주)STX,011810,2014/12,78622000,128067000,240745000,3936000,231173000,4040000
(주)STX,011810,2015/12,92719000,168094000,192082000,64532000,196846000,53720000
(주)STX,011810,2016/12,161565000,93777000,225461000,18039000,151385000,18072000
(주)STX,011810,2017/12,113876000,116542000,148268000,17283000,150002000,17283000
(주)STX,011810,2018/12,57955000,76685000,124416000,17549000,168448000,17549000
(주)STX,011810,2019/12,85456000,102262000,149459000,20389000,184444000,20389000
(주)TCC스틸,002710,2011/12,30601132,36286014,67618018,279424,80665225,279424
(주)TCC스틸,002710,2012/12,31578824,41180366,65092634,0,71112902,0
(주)TCC스틸,002710,2013/12,26136889,38783690,56753518,0,68316114,0
(주)TCC스틸,002710,2014/12,25941466,37920178,60593854,0,86970515,0
(주)TCC스틸,002710,2015/12,19400602,38223007,42872200,0,67719623,0
(주)TCC스틸,002710,2016/12,22801657,25582561,48126701,0,57654611,0
(주)TCC스틸,002710,2017/12,19063388,20150484,43217757,0,48408783,0
(주)TCC스틸,002710,2018/12,28341813,33048342,41140973,0,42246665,0
(주)TCC스틸,002710,2019/12,21237292,29636313,33268239,0,45242999,0
(주)가비아,079940,2011/12,393317,434923,1964346,0,4866865,0
(주)가비아,079940,2012/12,2569817,2521761,2041083,0,6524566,0
(주)가비아,079940,2013/12,1268027,1861578,1986939,0,6448247,0
(주)가비아,079940,2014/12,2370341,2865111,2648057,0,0,0
(주)가비아,079940,2015/12,1496985,2028679,2327391,0,8120801,0
(주)가비아,079940,2016/12,1575303,5050880,2458491,0,14103577,0
(주)가비아,079940,2017/12,2413820,7351096,2897556,0,19164658,0
(주)가비아,079940,2018/12,1771040,3929911,2873894,0,20324111,0
