회사명,거래소코드,회계년도,자본(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),,재고자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),유형자산(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),회사채(IFRS)(천원),,장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS연결)(천원),,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)CMG제약,58820,Dec-11,18290915,15264885,7620349,,2743103,9652599,18034249,15341167,7633673,2743103,0,1152489,1152489,9257624,9270949,0,2134049,0,,0,0,0,,27548539,27305198,17751704,17751704
(주)CMG제약,58820,Dec-12,31602540,47073443,6665126,,2955172,9264142,31590685,47109213,6793095,2955172,0,4673134,4674359,25386064,25517350,0,2132612,0,,0,100000,0,,56988604,57108035,16255389,16255389
(주)CMG제약,58820,Dec-13,49048213,38258866,5498201,,4618718,10805092,48997281,38209699,5500075,4618718,0,21704962,21705184,6913407,6915281,0,0,0,,0,0,0,,55961620,55912563,20322140,20402140
(주)CMG제약,58820,Dec-14,49067039,28359823,8713579,,4913103,18833775,49002644,28300941,8719202,4913103,0,8826926,8827046,9060059,9065682,0,0,0,,0,5451,0,,58127098,58068326,22752584,22752584
(주)CMG제약,58820,Dec-15,46872705,26330765,8843328,,5455617,17822468,46806888,26271614,8849994,5455617,0,2566164,2566167,9719267,9725933,0,0,0,,0,6273,0,,56591972,56532821,27041894,27041894
(주)CMG제약,58820,Dec-16,101107635,78772201,9136755,,6393756,16905814,101107635,78772201,9136755,6393756,0,2148521,2148521,9872232,9872232,0,0,0,,0,0,0,,110979867,110979867,32969825,32969825
(주)CMG제약,58820,Dec-17,97944019,81227330,10884321,,7904518,16182518,97944019,81227330,10884321,7904518,0,3799004,3799004,11624134,11624134,0,0,0,,0,0,0,,109568153,109568153,41535588,41535588
(주)CMG제약,58820,Dec-18,103981846,81370415,8495060,,8572582,17268535,103981846,81370415,8495060,8572582,0,13464430,13464430,10398033,10398033,0,0,0,,0,0,0,,114379880,114379880,49864782,49864782
(주)CMG제약,58820,Dec-19,180158283,150584066,9306387,,9048933,24119403,180158283,150584066,9306387,9048933,0,18579821,18579821,12084883,12084883,0,0,0,,0,0,0,,192243166,192243166,58622681,58622681
(주)DB하이텍,990,Dec-11,291709498,265976810,796794129,,77112663,758179817,308061688,279725559,794704783,77112663,0,34534009,40025028,892247931,890982181,0,5398045,0,,0,5398046,0,,1183957429,1199043869,534317238,552216245
(주)DB하이텍,990,Dec-12,274553219,303296307,563352691,,79262392,684941380,290893335,309144147,555433290,79262392,0,38557398,39917597,874516025,866861695,214817416,5141640,0,,214817416,5141640,0,,1149069244,1157755031,583901597,590786488
(주)DB하이텍,990,Dec-13,197287466,222316934,476710357,,72377687,635765049,204756748,222960700,476867874,72377687,0,34683939,35222233,852207175,853635085,276846544,6452198,0,,276846544,6452198,0,,1049494642,1058391832,493752028,493752028
(주)DB하이텍,990,Dec-14,136104062,246306720,376149526,,69179569,591653498,120702734,247582371,376436760,69179569,0,39292223,40369011,865855755,864173902,391619824,7547468,0,,391619824,7547468,0,,1001959816,984876636,567718224,567718224
(주)DB하이텍,990,Dec-15,277662952,334045125,242109386,,83459568,533113708,254057491,337757266,244044785,83459568,0,104789976,108132861,728010902,730586221,399748737,5218929,0,,399748737,5218930,0,,1005673854,984643712,666594987,666594987
(주)DB하이텍,990,Dec-16,364450453,364126852,271946015,,76344778,547687840,341917315,368924211,274231115,76344778,0,110782463,115579823,641920423,644871257,282487037,15253525,0,,282487037,15253525,0,,1006370876,986788572,773140180,773140180
(주)DB하이텍,990,Dec-17,441546809,348507961,143100665,,75018890,555556192,455797946,353662841,145225195,75018890,0,102087610,107494652,536028245,538152775,315595985,11286143,0,,315595985,11286143,0,,977575054,993950720,679737744,679737744
(주)DB하이텍,990,Dec-18,542557222,380098326,156793407,,42891649,597563521,558391531,383378937,156796450,42891649,0,118765482,119106293,508139265,508142309,277380073,15890934,0,,277380073,15890934,0,,1050696487,1066533840,669279136,669279136
(주)DB하이텍,990,Dec-19,645305205,422531166,219572033,,51837841,616562743,644650730,426263421,219715556,51837841,0,84227309,84776807,444095557,444239080,179746294,30550406,0,,179746294,30550406,0,,1089400761,1088889810,807416423,807416423
(주)ES큐브,50120,Dec-11,39144414,18786276,4839823,,383848,1407274,39245830,34078195,14801430,5312339,0,1507599,3160449,6089019,16231202,0,0,0,,0,100000,0,,45233434,55477032,41700477,53379952
(주)ES큐브,50120,Dec-12,39881477,15631243,3228112,,410944,1395951,39859681,22707006,4802996,4844206,0,2224088,4071828,4794705,6421979,0,0,0,,0,153555,0,,44676182,46281660,44178050,55971147
(주)ES큐브,50120,Dec-13,43712820,32518902,2690545,,426328,914811,42372440,38357211,3630549,6264936,0,9130501,10119258,3796835,4765132,0,0,0,,0,152765,0,,47509654,47137573,45823196,58597361
