회사명,거래소코드,회계년도,차입금비율(IFRS),차입금비율(IFRS연결),당좌자산구성비율(IFRS),당좌자산구성비율(IFRS연결),유동자산구성비율(IFRS),유동자산구성비율(IFRS연결),매출채권 대 매입채무비율(IFRS),매출채권 대 매입채무비율(IFRS연결),단기차입금 대 총차입금비율(IFRS),단기차입금 대 총차입금비율(IFRS연결),유동부채비율(IFRS),유동부채비율(IFRS연결),타인자본구성비율(IFRS),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS),재고자산 대 유동자산비율(IFRS연결),재고자산 대 순운전자본비율(IFRS),재고자산 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS),순운전자본비율(IFRS연결)
(주)CMG제약,58820,Dec-11,25.22,13.74,45.45,46.14,55.41,56.18,602.31,602.31,89.64,80.71,41.66,42.33,33.6,33.95,66.4,66.05,17.97,17.88,35.88,35.59,27.75,28.23
(주)CMG제약,58820,Dec-12,61.69,55.28,77.42,77.32,82.6,82.49,323.41,323.41,10.94,0.57,21.09,21.5,44.55,44.68,55.45,55.32,6.28,6.27,7.31,7.33,70.91,70.6
(주)CMG제약,58820,Dec-13,2.89,2.89,60.11,60.08,68.37,68.34,282.72,282.72,0,0,11.21,11.23,12.35,12.37,87.65,87.63,12.07,12.09,14.1,14.12,58.54,58.5
(주)CMG제약,58820,Dec-14,3.13,3.15,40.34,40.28,48.79,48.74,285.31,285.31,0,0,17.76,17.79,15.59,15.61,84.41,84.39,17.32,17.36,25.01,25.09,33.8,33.72
(주)CMG제약,58820,Dec-15,0,0.01,36.89,36.82,46.53,46.47,254.69,254.69,0,0,18.87,18.91,17.17,17.2,82.83,82.8,20.72,20.77,31.2,31.32,30.9,30.82
(주)CMG제약,58820,Dec-16,0,0,65.22,65.22,70.98,70.98,219.41,219.41,0,0,9.04,9.04,8.9,8.9,91.1,91.1,8.12,8.12,9.18,9.18,62.75,62.75
(주)CMG제약,58820,Dec-17,0,0,66.92,66.92,74.13,74.13,215.55,215.55,0,0,11.11,11.11,10.61,10.61,89.39,89.39,9.73,9.73,11.24,11.24,64.2,64.2
(주)CMG제약,58820,Dec-18,0,0,63.65,63.65,71.14,71.14,414.65,414.65,0,0,8.17,8.17,9.09,9.09,90.91,90.91,10.54,10.54,11.76,11.76,63.71,63.71
(주)CMG제약,58820,Dec-19,0.16,0.16,73.62,73.62,78.33,78.33,468.79,468.79,45.27,45.27,5.17,5.17,6.29,6.29,93.71,93.71,6.01,6.01,6.41,6.41,73.49,73.49
(주)DB하이텍,990,Dec-11,242.51,229.64,15.95,16.9,22.47,23.33,303.34,336.28,0,0,273.15,257.97,75.36,74.31,24.64,25.69,28.99,27.57,0,0,-44.83,-42.95
(주)DB하이텍,990,Dec-12,248.28,234.33,19.5,19.86,26.39,26.7,315.6,384.99,68.49,68.49,205.19,190.94,76.11,74.87,23.89,25.13,26.13,25.64,0,0,-22.63,-21.27
(주)DB하이텍,990,Dec-13,336.53,324.25,14.29,14.23,21.18,21.07,200.88,199.26,58.3,58.3,241.63,232.89,81.2,80.65,18.8,19.35,32.56,32.46,0,0,-24.24,-23.99
(주)DB하이텍,990,Dec-14,483.77,545.5,17.68,18.11,24.58,25.14,226.88,225.55,40.52,40.52,276.37,311.87,86.42,87.74,13.58,12.26,28.09,27.94,0,0,-12.96,-13.08
(주)DB하이텍,990,Dec-15,189.32,206.91,24.92,25.83,33.22,34.3,216.17,207.92,23.96,23.96,87.2,96.06,72.39,74.2,27.61,25.8,24.98,24.71,90.78,89.06,9.14,9.52
(주)DB하이텍,990,Dec-16,115.87,123.51,28.6,29.65,36.18,37.39,264.29,249.46,33.11,33.11,74.62,80.2,63.79,65.35,36.21,34.65,20.97,20.69,82.82,80.62,9.16,9.6
