회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),자산(*)(IFRS)(천원),재고자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS)(천원),유동성장기부채(*)(IFRS)(천원),사채(*)(IFRS)(천원),매출채권(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),단기차입금(IFRS연결)(천원),장기차입금(IFRS연결)(천원),유동성장기부채(*)(IFRS연결)(천원),사채(IFRS연결)(천원),매출채권(IFRS연결)(천원)
(주)CMG제약,58820,11-Dec,15264885,7620349,27548539,2743103,18290915,9257624,2134049,0,2000000,478017,11050219,15341167,7633673,27305198,2743103,18034249,9270949,0,0,2000000,0,11050219
(주)CMG제약,58820,12-Dec,47073443,6665126,56988604,2955172,31602540,25386064,2132612,0,0,17362365,11362566,47109213,6793095,57108035,2955172,31590685,25517350,0,0,0,0,11362566
(주)CMG제약,58820,13-Dec,38258866,5498201,55961620,4618718,49048213,6913407,0,0,0,1415206,13999415,38209699,5500075,55912563,4618718,48997281,6915281,0,0,0,0,13999415
(주)CMG제약,58820,14-Dec,28359823,8713579,58127098,4913103,49067039,9060059,0,0,1538046,0,16787073,28300941,8719202,58068326,4913103,49002644,9065682,0,0,1538046,0,16787073
(주)CMG제약,58820,15-Dec,26330765,8843328,56591972,5455617,46872705,9719267,0,0,0,0,15838056,26271614,8849994,56532821,5455617,46806888,9725933,0,0,0,0,15838057
(주)CMG제약,58820,16-Dec,78772201,9136755,110979867,6393756,101107635,9872232,0,0,0,0,14435808,78772201,9136755,110979867,6393756,101107635,9872232,0,0,0,0,14435808
(주)CMG제약,58820,17-Dec,81227330,10884321,109568153,7904518,97944019,11624134,0,0,0,0,16768648,81227330,10884321,109568153,7904518,97944019,11624134,0,0,0,0,16768648
(주)CMG제약,58820,18-Dec,81370415,8495060,114379880,8572582,103981846,10398033,0,0,0,0,19030822,81370415,8495060,114379880,8572582,103981846,10398033,0,0,0,0,19030822
(주)CMG제약,58820,19-Dec,150584066,9306387,192243166,9048933,180158283,12084883,0,0,0,0,21676515,150584066,9306387,192243166,9048933,180158283,12084883,0,0,0,0,21676515
(주)DB하이텍,990,11-Dec,265976810,796794129,1183957429,77112663,291709498,892247931,5398045,0,702034716,0,71061975,279725559,794704783,1199043869,77112663,308061688,890982181,0,0,702034812,0,79301000
(주)DB하이텍,990,12-Dec,303296307,563352691,1149069244,79262392,274553219,874516025,5141640,214817416,461691000,0,74994000,309144147,555433290,1157755031,79262392,290893335,866861695,0,0,461691000,0,69176000
(주)DB하이텍,990,13-Dec,222316934,476710357,1049494642,72377687,197287466,852207175,6452198,276846544,380627000,0,59836026,222960700,476867874,1058391832,72377687,204756748,853635085,0,0,380628000,0,59941499
(주)DB하이텍,990,14-Dec,246306720,376149526,1001959816,69179569,136104062,865855755,7547468,391619824,259262000,0,83154227,247582371,376436760,984876636,69179569,120702734,864173902,0,0,259262000,0,83353090
(주)DB하이텍,990,15-Dec,334045125,242109386,1005673854,83459568,277662952,728010902,5218929,399748737,120707000,0,91970866,337757266,244044785,984643712,83459568,254057491,730586221,0,0,120707000,0,92342122
(주)DB하이텍,990,16-Dec,364126852,271946015,1006370876,76344778,364450453,641920423,15253525,282487037,124561870,0,110311839,368924211,274231115,986788572,76344778,341917315,644871257,0,0,124561870,0,110311838
(주)DB하이텍,990,17-Dec,348507961,143100665,977575054,75018890,441546809,536028245,11286143,315595985,28689829,0,85713072,353662841,145225195,993950720,75018890,455797946,538152775,0,0,28689829,0,85709910
(주)DB하이텍,990,18-Dec,380098326,156793407,1050696487,42891649,542557222,508139265,15890934,277380073,11717019,0,98855130,383378937,156796450,1066533840,42891649,558391531,508142309,0,0,11717019,0,98855166
(주)DB하이텍,990,19-Dec,422531166,219572033,1089400761,51837841,645305205,444095557,30550406,179746294,29739094,0,102020672,426263421,219715556,1088889810,51837841,644650730,444239080,0,0,29739094,0,102020672
(주)ES큐브,50120,11-Dec,18786276,4839823,45233434,383848,39144414,6089019,0,0,0,0,2102205,34078195,14801430,55477032,5312339,39245830,16231202,0,0,0,0,12624603
(주)ES큐브,50120,12-Dec,15631243,3228112,44676182,410944,39881477,4794705,0,0,0,0,3047374,22707006,4802996,46281660,4844206,39859681,6421979,0,0,0,0,4718926
