회사명,거래소코드,회계년도,유동비율(IFRS),유동비율(IFRS연결),당좌비율(IFRS),당좌비율(IFRS연결),현금비율(IFRS),현금비율(IFRS연결),부채비율(IFRS),부채비율(IFRS연결),차입금의존도(IFRS),차입금의존도(IFRS연결),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 차입금비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결)
(주)CMG제약,58820,11-Dec,200.32,200.97,164.32,165.03,15.12,15.1,50.61,51.41,16.74,9.08,-45.76,-46.08,-23.86,-24.07,-91.85,-172.4,66.4,66.05
(주)CMG제약,58820,12-Dec,706.26,693.49,661.93,649.98,70.11,68.81,80.33,80.77,34.21,30.58,-7.76,-8.1,-12.12,-12.71,-10.11,-11.83,55.45,55.32
(주)CMG제약,58820,13-Dec,695.84,694.71,611.84,610.74,394.76,394.63,14.1,14.11,2.53,2.53,-38.65,-39.85,-13.15,-13.51,-188.83,-194.73,87.65,87.63
(주)CMG제약,58820,14-Dec,325.47,324.58,269.08,268.23,101.3,101.24,18.46,18.5,2.65,2.66,-17.44,-17.73,-6.95,-7.06,-102.76,-104.12,84.41,84.39
(주)CMG제약,58820,15-Dec,297.75,296.85,236.06,235.21,29.02,29,20.74,20.78,0,0.01,16.16,16.12,5.81,5.8,0,24988.82,82.83,82.8
(주)CMG제약,58820,16-Dec,862.15,862.15,792.17,792.17,23.52,23.52,9.76,9.76,0,0,29.03,29.03,8.69,8.69,0,0,91.1,91.1
(주)CMG제약,58820,17-Dec,746.28,746.28,673.66,673.66,34.9,34.9,11.87,11.87,0,0,22.67,22.67,6.34,6.34,0,0,89.39,89.39
(주)CMG제약,58820,18-Dec,957.86,957.86,856.94,856.94,158.5,158.5,10,10,0,0,13.63,13.63,2.84,2.84,0,0,90.91,90.91
(주)CMG제약,58820,19-Dec,1618.07,1618.07,1520.84,1520.84,199.55,199.55,6.71,6.71,0.15,0.15,15.35,15.35,3.16,3.16,647.74,647.74,93.71,93.71
(주)DB하이텍,990,11-Dec,33.38,35.2,23.7,25.5,4.33,5.04,305.87,289.22,59.75,59,6.84,5.87,11.42,9.47,8.63,7.39,24.64,25.69
(주)DB하이텍,990,12-Dec,53.84,55.66,39.77,41.39,6.84,7.19,318.52,298,59.32,58.88,7.41,7.77,11.11,11.39,9.51,9.87,23.89,25.13
(주)DB하이텍,990,13-Dec,46.64,46.76,31.45,31.58,7.28,7.39,431.96,416.9,63.26,62.73,5.67,5.99,9.78,10.36,7.27,7.7,18.8,19.35
(주)DB하이텍,990,14-Dec,65.48,65.77,47.09,47.39,10.45,10.72,636.17,715.95,65.71,66.85,4.38,4.42,6.68,6.73,5.76,5.81,13.58,12.26
(주)DB하이텍,990,15-Dec,137.97,138.4,103.5,104.2,43.28,44.31,262.19,287.57,52.27,53.39,13.59,13.74,14.84,15.06,18.82,19.1,27.61,25.8
(주)DB하이텍,990,16-Dec,133.9,134.53,105.82,106.69,40.74,42.15,176.13,188.6,41.96,42.8,30.96,31.09,25.71,25.94,47.07,47.48,36.21,34.65
(주)DB하이텍,990,17-Dec,243.54,243.53,191.12,191.87,71.34,74.02,121.4,118.07,36.37,35.77,40.04,40.08,31.58,31.74,60.36,60.67,45.17,45.86
(주)DB하이텍,990,18-Dec,242.42,244.51,215.06,217.15,75.75,75.96,93.66,91,29.03,28.6,35.92,35.76,27.27,27.15,59.84,59.59,51.64,52.36
(주)DB하이텍,990,19-Dec,192.43,194.01,168.83,170.41,38.36,38.58,68.82,68.91,23.2,23.21,38.68,38.43,21.28,21.14,67.98,67.56,59.23,59.2
(주)ES큐브,50120,11-Dec,388.16,230.24,380.23,194.35,31.15,21.35,15.56,41.36,0,0.18,49.77,6.82,7.27,2.08,0,1107.72,86.54,70.74
