회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),
(주)CMG제약,58820,Dec-11,3.94 ,3.53 ,
(주)CMG제약,58820,Dec-12,-7.45 ,-7.75 ,
(주)CMG제약,58820,Dec-13,0.73,0.7,
(주)CMG제약,58820,Dec-14,3.63 ,3.60 ,
(주)CMG제약,58820,Dec-15,-32.20 ,-32.22 ,
(주)CMG제약,58820,Dec-16,X,X,
(주)CMG제약,58820,Dec-17,X,X,
(주)CMG제약,58820,Dec-18,X,X,
(주)CMG제약,58820,Dec-19,303,303,
(주)DB하이텍,990,Dec-11,-0.69,-0.75,
(주)DB하이텍,990,Dec-12,-0.29,-0.31,
(주)DB하이텍,990,Dec-13,-0.16,-0.16,
(주)DB하이텍,990,Dec-14,0.67,0.67,
(주)DB하이텍,990,Dec-15,2.49 ,2.50 ,
(주)DB하이텍,990,Dec-16,4.39 ,4.41 ,
(주)DB하이텍,990,Dec-17,6.01,6.05,
(주)DB하이텍,990,Dec-18,6.76 ,6.77 ,
(주)DB하이텍,990,Dec-19,13.43 ,13.44 ,
(주)ES큐브,50120,Dec-11,-142.77 ,-245.99 ,
(주)ES큐브,50120,Dec-12,20.03,1.72,
(주)ES큐브,50120,Dec-13,9.51 ,-37.44 ,
(주)ES큐브,50120,Dec-14,4.00 ,22.20 ,
(주)ES큐브,50120,Dec-15,-160.57,-11.86,
(주)ES큐브,50120,Dec-16,11.58 ,8.98 ,
(주)ES큐브,50120,Dec-17,2.76 ,2.86 ,
(주)ES큐브,50120,Dec-18,0.47,-0.82,
(주)ES큐브,50120,Dec-19,0.17,-0.68,
(주)HJ중공업,97230,Dec-11,0.34,0.55,
(주)HJ중공업,97230,Dec-12,0.17,0.27,
(주)HJ중공업,97230,Dec-13,-0.72,-0.4,
(주)HJ중공업,97230,Dec-14,-0.78,-0.88,
(주)HJ중공업,97230,Dec-15,-0.75,-0.5,
(주)HJ중공업,97230,Dec-16,0.4,-0.58,
(주)HJ중공업,97230,Dec-17,0.89,-1.08,
(주)HJ중공업,97230,Dec-18,-0.66,0.62,
(주)HJ중공업,97230,Dec-19,0.64,0.69,
(주)MH에탄올,23150,Dec-11,1.50 ,0.12 ,
(주)MH에탄올,23150,Dec-12,1.64 ,1.08 ,
(주)MH에탄올,23150,Dec-13,3.44 ,0.87 ,
(주)MH에탄올,23150,Dec-14,5.62 ,5.62 ,
(주)MH에탄올,23150,Dec-15,12.70 ,12.69 ,
(주)MH에탄올,23150,Dec-16,29.42 ,29.41 ,
(주)MH에탄올,23150,Dec-17,33.29 ,3.46 ,
(주)MH에탄올,23150,Dec-18,8.73 ,0.10 ,
(주)MH에탄올,23150,Dec-19,7.59 ,0.73 ,
(주)SH에너지화학,2360,Dec-11,3.50 ,2.82 ,
(주)SH에너지화학,2360,Dec-12,2.26 ,1.72 ,
(주)SH에너지화학,2360,Dec-13,5.95 ,5.30 ,
(주)SH에너지화학,2360,Dec-14,25.43 ,26.68 ,
(주)SH에너지화학,2360,Dec-15,85.00 ,84.87 ,
(주)SH에너지화학,2360,Dec-16,209.47,210.93,
(주)SH에너지화학,2360,Dec-17,155.23 ,162.17 ,
(주)SH에너지화학,2360,Dec-18,30.8,22.72,
(주)SH에너지화학,2360,Dec-19,-18.20 ,-24.12 ,
(주)SIMPAC,9160,Dec-11,20.95,20.93,
(주)SIMPAC,9160,Dec-12,15.59 ,15.51 ,
(주)SIMPAC,9160,Dec-13,16.68 ,16.58 ,
(주)SIMPAC,9160,Dec-14,9.26 ,8.48 ,
(주)SIMPAC,9160,Dec-15,23.49 ,14.66 ,
(주)SIMPAC,9160,Dec-16,20.91,16.75,
(주)SIMPAC,9160,Dec-17,15.27 ,10.10 ,
(주)SIMPAC,9160,Dec-18,3.25 ,4.07 ,
(주)SIMPAC,9160,Dec-19,2.86 ,3.47 ,
(주)SNT에너지,100840,Dec-11,-9.21 ,,
(주)SNT에너지,100840,Dec-12,77.44 ,,
(주)SNT에너지,100840,Dec-13,50.81,,
(주)SNT에너지,100840,Dec-14,41.09,,
(주)SNT에너지,100840,Dec-15,359.10 ,,
(주)SNT에너지,100840,Dec-16,X,,
(주)SNT에너지,100840,Dec-17,X,,
(주)SNT에너지,100840,Dec-18,X,,
(주)SNT에너지,100840,Dec-19,2833.92 ,1771.27 ,
(주)SNT홀딩스,36530,Dec-11,X,16.87 ,
(주)SNT홀딩스,36530,Dec-12,X,20.28 ,
(주)SNT홀딩스,36530,Dec-13,X,30.38 ,
(주)SNT홀딩스,36530,Dec-14,X,34.38 ,
(주)SNT홀딩스,36530,Dec-15,X,218.55 ,
(주)SNT홀딩스,36530,Dec-16,X,286.46 ,
(주)SNT홀딩스,36530,Dec-17,X,178.66 ,
(주)SNT홀딩스,36530,Dec-18,X,59.79 ,
(주)SNT홀딩스,36530,Dec-19,X,184.05 ,
(주)STX,11810,Dec-11,0.67,1.66,
(주)STX,11810,Dec-12,0.19,-3.12,
(주)STX,11810,Dec-13,-0.8,-10.71,
(주)STX,11810,Dec-14,0.53,0.76,
(주)STX,11810,Dec-15,-0.42,-0.84,
(주)STX,11810,Dec-16,-2.95 ,-0.91 ,
(주)STX,11810,Dec-17,1.56 ,2.02 ,
(주)STX,11810,Dec-18,-0.58,-1.12,
(주)STX,11810,Dec-19,-1.05,0.11,
(주)TCC스틸,2710,Dec-11,1.80 ,1.41 ,
(주)TCC스틸,2710,Dec-12,1.44 ,0.57 ,
(주)TCC스틸,2710,Dec-13,1.01,-0.59,
(주)TCC스틸,2710,Dec-14,1.31 ,0.02 ,
(주)TCC스틸,2710,Dec-15,2.11 ,2.17 ,
(주)TCC스틸,2710,Dec-16,2.36 ,2.53 ,
(주)TCC스틸,2710,Dec-17,1.41 ,1.55 ,
(주)TCC스틸,2710,Dec-18,3.46 ,3.30 ,
(주)TCC스틸,2710,Dec-19,2.34 ,2.27 ,
(주)가비아,79940,Dec-11,10.88,22.28,
(주)가비아,79940,Dec-12,6.25 ,15.43 ,
(주)가비아,79940,Dec-13,7.48 ,15.81 ,
(주)가비아,79940,Dec-14,11.16 ,24.59 ,
(주)가비아,79940,Dec-15,28.34 ,64.83 ,
(주)가비아,79940,Dec-16,33.33 ,83.64 ,
(주)가비아,79940,Dec-17,27.12 ,53.72 ,
(주)가비아,79940,Dec-18,25.87 ,62.30 ,
(주)가비아,79940,Dec-19,19.48 ,34.25 ,
(주)강스템바이오텍,217730,Dec-15,-5.41 ,,
(주)강스템바이오텍,217730,Dec-16,-18.89 ,,
(주)강스템바이오텍,217730,Dec-17,-7.93 ,-8.15 ,
(주)강스템바이오텍,217730,Dec-18,-11.95 ,-12.31 ,
(주)강스템바이오텍,217730,Dec-19,-23.34 ,-21.50 ,
(주)강원랜드,35250,Dec-11,1171.84 ,1142.61 ,
(주)강원랜드,35250,Dec-12,643.60 ,565.68 ,
(주)강원랜드,35250,Dec-13,1460.36,1421.81,
(주)강원랜드,35250,Dec-14,2126.84 ,2073.72 ,
(주)강원랜드,35250,Dec-15,2661.20 ,2623.81 ,
(주)강원랜드,35250,Dec-16,2743.01,836.02,
(주)강원랜드,35250,Dec-17,2717.07,2241.82,
(주)강원랜드,35250,Dec-18,2008.39,1834.66,
(주)강원랜드,35250,Dec-19,276.34 ,255.56 ,
(주)강원에너지,114190,Nov-11,393.90 ,,
(주)강원에너지,114190,Dec-12,58.37 ,,
(주)강원에너지,114190,Dec-13,18.11 ,,
(주)강원에너지,114190,Dec-14,39.01,,
(주)강원에너지,114190,Dec-15,762.19 ,187.51 ,
(주)강원에너지,114190,Dec-16,-166.16 ,-241.54 ,
(주)강원에너지,114190,Dec-17,-89.84 ,-26.56 ,
(주)강원에너지,114190,Dec-18,0.35,0.2,
(주)강원에너지,114190,Dec-19,-9.33 ,-8.38 ,
(주)갤럭시아에스엠,11420,Dec-11,6.14 ,6.31 ,
(주)갤럭시아에스엠,11420,Dec-12,3.15 ,3.79 ,
(주)갤럭시아에스엠,11420,Dec-13,2.26 ,1.90 ,
