회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
CMG제약,11-Dec,58820,17751704,10325799,0.581679314
CMG제약,12-Dec,58820,16255389,11648690,0.716604813
CMG제약,13-Dec,58820,20402140,12506817,0.613014958
CMG제약,14-Dec,58820,22752584,14318048,0.629293271
CMG제약,15-Dec,58820,27041894,17237814,0.637448472
CMG제약,16-Dec,58820,32969825,19663389,0.596405622
CMG제약,17-Dec,58820,41535588,23497552,0.565720943
CMG제약,18-Dec,58820,49864782,27124841,0.543967905
CMG제약,19-Dec,58820,58622681,29700050,0.506630702
DB하이텍,11-Dec,990,552216245,460440945,0.833805505
DB하이텍,12-Dec,990,590786488,494003057,0.836178665
DB하이텍,13-Dec,990,493752028,404500718,0.819238596
DB하이텍,14-Dec,990,567718224,430813375,0.758850706
DB하이텍,15-Dec,990,666594987,436915515,0.655443745
DB하이텍,16-Dec,990,773140180,483129939,0.624893068
DB하이텍,17-Dec,990,679737744,426170592,0.62696326
DB하이텍,18-Dec,990,669279136,453942755,0.678256247
DB하이텍,19-Dec,990,807416423,513292637,0.635722314
ES큐브,11-Dec,50120,53379952,38476771,0.720809397
ES큐브,12-Dec,50120,55971147,40290541,0.719844834
ES큐브,13-Dec,50120,58597361,44088670,0.752400266
ES큐브,14-Dec,50120,44459581,34936541,0.785804549
ES큐브,15-Dec,50120,42152967,30433006,0.721965929
ES큐브,16-Dec,50120,34289385,24454448,0.713178379
ES큐브,17-Dec,50120,35745794,26057940,0.728979191
ES큐브,18-Dec,50120,33763508,26036057,0.771130091
ES큐브,19-Dec,50120,43708239,35510791,0.812450737
HJ중공업,11-Dec,97230,2891499000,2664558000,0.921514412
HJ중공업,12-Dec,97230,2549319000,2358260000,0.925054887
HJ중공업,13-Dec,97230,2529341000,2464368000,0.974312281
HJ중공업,14-Dec,97230,2520325000,2537259000,1.006718975
HJ중공업,15-Dec,97230,3115473000,3004437000,0.964359826
HJ중공업,16-Dec,97230,2813271000,2753545000,0.978769909
HJ중공업,17-Dec,97230,2452314000,2431066000,0.99133553
HJ중공업,18-Dec,97230,1697869000,1557089000,0.917084298
HJ중공업,19-Dec,97230,1628751000,1451267000,0.891030612
MH에탄올,11-Dec,23150,44785159,37258514,0.831938857
MH에탄올,12-Dec,23150,59768175,49030452,0.820343803
MH에탄올,13-Dec,23150,62199887,54316861,0.873263017
MH에탄올,14-Dec,23150,48983781,37109977,0.757597234
MH에탄올,15-Dec,23150,50386203,36425005,0.722916251
MH에탄올,16-Dec,23150,48897025,33962392,0.6945697
MH에탄올,17-Dec,23150,51977132,37225576,0.71619142
MH에탄올,18-Dec,23150,72795863,53524709,0.735271302
MH에탄올,19-Dec,23150,80879342,54219181,0.670371193
SH에너지화학,11-Dec,2360,173209351,160789710,0.928296937
SH에너지화학,12-Dec,2360,193950102,178829327,0.922037808
SH에너지화학,13-Dec,2360,231912218,213952261,0.92255709
SH에너지화학,14-Dec,2360,230912587,197661842,0.856002891
SH에너지화학,15-Dec,2360,216441364,179135051,0.827637785
SH에너지화학,16-Dec,2360,218397677,179759098,0.823081548
SH에너지화학,17-Dec,2360,188114822,161824273,0.860242012
SH에너지화학,18-Dec,2360,183598766,171330094,0.933176719
SH에너지화학,19-Dec,2360,140852575,134184400,0.95265848
SNT에너지,11-Dec,100840,195318747,195318747,1
SNT에너지,12-Dec,100840,230707564,230707564,1
SNT에너지,13-Dec,100840,200750984,200750984,1
SNT에너지,14-Dec,100840,242746888,242746888,1
SNT에너지,15-Dec,100840,260094045,260094045,1
SNT에너지,16-Dec,100840,254089906,254089906,1
SNT에너지,17-Dec,100840,184091945,184091945,1
SNT에너지,18-Dec,100840,139516396,139516396,1
SNT에너지,19-Dec,100840,213326726,177635077,0.832690213
STX,11-Dec,11810,5967701000,5733093000,0.960687038
STX,12-Dec,11810,6159850000,6353608000,1.031454987
STX,13-Dec,11810,2449401000,3140865000,1.282299223
STX,14-Dec,11810,1313192000,1252249000,0.953591706
STX,15-Dec,11810,1362127000,1352181000,0.992698185
STX,16-Dec,11810,1720153000,1635394000,0.950725895
STX,17-Dec,11810,1595494,1541890,0.966402882
STX,18-Dec,11810,1329890,1319737,0.992365534
STX,19-Dec,11810,1237876,1225459,0.989969108
TCC스틸,11-Dec,2710,514424043,472273637,0.918062916
TCC스틸,12-Dec,2710,501337475,457927934,0.913412535
TCC스틸,13-Dec,2710,500832754,474104834,0.946633043
TCC스틸,14-Dec,2710,518995240,483588495,0.931778286
TCC스틸,15-Dec,2710,495795871,451936886,0.911538221
TCC스틸,16-Dec,2710,444453635,402898839,0.906503642
TCC스틸,17-Dec,2710,391370092,356978389,0.912124856
TCC스틸,18-Dec,2710,413176279,377890304,0.914598256
TCC스틸,19-Dec,2710,437173902,405618477,0.927819513
강스템바이오텍,15-Dec,217730,1484593,1484593,1
강스템바이오텍,16-Dec,217730,842805,842805,1
강스템바이오텍,17-Dec,217730,9132939,5874047,0.643171601
강스템바이오텍,18-Dec,217730,9165454,7988195,0.871554753
강스템바이오텍,19-Dec,217730,6004584,6428945,1.070672839
강원에너지,12-Dec,114190,106471214,106471214,1
강원에너지,13-Dec,114190,50660659,50660659,1
강원에너지,14-Dec,114190,51481321,51481321,1
강원에너지,15-Dec,114190,46188664,38265188,0.828454099
강원에너지,16-Dec,114190,42287473,35270278,0.834059723
강원에너지,17-Dec,114190,82034829,81169717,0.989454333
강원에너지,18-Dec,114190,85905365,80012233,0.931399721
강원에너지,19-Dec,114190,42549622,48688856,1.144284102
갤럭시아에스엠,11-Dec,11420,47331427,38695073,0.817534468
갤럭시아에스엠,12-Dec,11420,55049732,47555420,0.863862879
갤럭시아에스엠,13-Dec,11420,46437304,41764586,0.899375769
갤럭시아에스엠,14-Dec,11420,43885894,40216941,0.916397898
갤럭시아에스엠,15-Dec,11420,62472754,56009656,0.896545332
갤럭시아에스엠,16-Dec,11420,52626331,51678856,0.98199618
갤럭시아에스엠,17-Dec,11420,37281280,37435336,1.004132262
갤럭시아에스엠,18-Dec,11420,22060413,27428110,1.243318065
갤럭시아에스엠,19-Dec,11420,28732679,26937800,0.937531791
경동인베스트,11-Dec,12320,1847666903,1739469751,0.941441203
경동인베스트,12-Dec,12320,2502642394,2381579037,0.951625787
경동인베스트,13-Dec,12320,2788264380,2659198011,0.953710857
경동인베스트,14-Dec,12320,2603059058,2470957525,0.949251427
경동인베스트,15-Dec,12320,1604168482,1520436435,0.947803458
경동인베스트,16-Dec,12320,1181902637,1064804018,0.900923633
경동인베스트,17-Dec,12320,195069859,140724518,0.72140575
경동인베스트,18-Dec,12320,228644016,171130400,0.748457812
경동인베스트,19-Dec,12320,271765025,223338232,0.821806382
경방,11-Dec,50,348136369,258814443,0.74342834
경방,12-Dec,50,333620804,260837041,0.781836858
경방,13-Dec,50,347189559,251468225,0.724296623
경방,14-Dec,50,329036023,238357806,0.724412494
경방,15-Dec,50,357628146,255868653,0.715460055
경방,16-Dec,50,377445013,268352680,0.710971587
경방,17-Dec,50,360788750,253442168,0.702466937
경방,18-Dec,50,351438926,244043108,0.694411148
경방,19-Dec,50,343892085,244396020,0.71067649
골드앤에스,11-Dec,35290,47522791,32544786,0.684824803
골드앤에스,12-Dec,35290,43889087,31012456,0.706609732
골드앤에스,13-Dec,35290,39548810,28127986,0.711222057
골드앤에스,14-Dec,35290,31287203,23453716,0.749626485
골드앤에스,15-Dec,35290,22197935,15199451,0.684723647
골드앤에스,16-Dec,35290,15893494,9347753,0.588149654
골드앤에스,17-Dec,35290,12802035,8002687,0.625110539
골드앤에스,18-Dec,35290,8680452,4405757,0.507549261
골드앤에스,19-Dec,35290,7642733,6293120,0.823412253
골드퍼시픽,11-Dec,38530,11236925,11236925,1
골드퍼시픽,12-Dec,38530,10491048,10491048,1
골드퍼시픽,13-Dec,38530,7167832,8242393,1.149914367
골드퍼시픽,14-Dec,38530,16486257,17957521,1.089241845
골드퍼시픽,15-Dec,38530,18635305,19680341,1.056078288
골드퍼시픽,16-Dec,38530,9588100,9588100,1
골드퍼시픽,17-Dec,38530,5031439,5031439,1
골드퍼시픽,18-Dec,38530,5708281,1408824,0.246803547
골드퍼시픽,19-Dec,38530,11323125,11323125,1
골프존뉴딘홀딩스,11-Dec,121440,215793737,100364106,0.465092766
골프존뉴딘홀딩스,12-Dec,121440,289629366,131624220,0.454457439
골프존뉴딘홀딩스,13-Dec,121440,365126358,186981066,0.512099611
골프존뉴딘홀딩스,14-Dec,121440,429589619,219364035,0.510636257
골프존뉴딘홀딩스,15-Dec,121440,164536448,109081059,0.662959851
골프존뉴딘홀딩스,16-Dec,121440,243275475,126201483,0.518759579
골프존뉴딘홀딩스,17-Dec,121440,213756902,112978779,0.528538625
골프존뉴딘홀딩스,18-Dec,121440,223036801,129202466,0.579287658
골프존뉴딘홀딩스,19-Dec,121440,228935651,140609926,0.614189731
광림,11-Dec,14200,106495363,106495363,1
광림,12-Dec,14200,85322569,85322569,1
광림,13-Dec,14200,103442134,103442134,1
광림,14-Dec,14200,231446314,175450887,0.758062999
광림,15-Dec,14200,237222890,237222890,1
광림,16-Dec,14200,87302967,75002299,0.859103666
광림,17-Dec,14200,135191558,131160374,0.970181688
광림,18-Dec,14200,136595300,122536264,0.897075258
광림,19-Dec,14200,145864184,134964602,0.925275817
광명전기,11-Dec,17040,92382628,81102005,0.877892378
광명전기,12-Dec,17040,117216514,102591227,0.875228443
광명전기,13-Dec,17040,117852824,98728241,0.837724864
광명전기,14-Dec,17040,134778387,114780200,0.851621707
광명전기,15-Dec,17040,116316957,98659704,0.848197086
광명전기,16-Dec,17040,96942911,87732377,0.904990124
광명전기,17-Dec,17040,101561159,92454439,0.91033265
광명전기,18-Dec,17040,114110654,103304003,0.905296739
광명전기,19-Dec,17040,131864294,117038701,0.887569314
광무,11-Dec,29480,51755052,42251012,0.81636498
광무,12-Dec,29480,41178683,33757502,0.819781002
광무,13-Dec,29480,20534276,22621739,1.101657492
광무,14-Dec,29480,38409667,38409667,1
광무,15-Dec,29480,17648493,17648493,1
