,구분,코드,산업명,2011년.mid,2012년.mid,2013년.mid,2014년.mid,2015년.mid,2016년.mid,2017년.mid,2018년.mid,2019년.mid
0,(주)CMG제약,58820,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
1,(주)경보제약,214390,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
2,(주)나이벡,138610,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
3,(주)녹십자,6280,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
4,(주)녹십자엠에스,142280,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
5,(주)녹십자웰빙,234690,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
6,(주)대성미생물연구소,36480,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
7,(주)대웅제약,69620,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
8,(주)동구바이오제약,6620,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
9,(주)레고켐바이오사이언스,141080,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
10,(주)메디톡스,86900,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
11,(주)메타바이오메드,59210,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
12,(주)바이넥스,53030,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
13,(주)바이오니아,64550,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
14,(주)바이오솔루션,86820,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
15,(주)보령,3850,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
16,(주)비씨월드제약,200780,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
17,(주)서울제약,18680,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
18,(주)세운메디칼,100700,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
19,(주)셀루메드,49180,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
20,(주)셀리드,299660,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
21,(주)셀트리온,68270,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
22,(주)셀트리온제약,68760,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
23,(주)수젠텍,253840,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
24,(주)쎌바이오텍,49960,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
25,(주)아스타,246720,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
26,(주)안트로젠,65660,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
27,(주)애드바이오텍,179530,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
28,(주)에스텍파마,41910,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
29,(주)엑세스바이오인코퍼레이션,950130,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
30,(주)엔지켐생명과학,183490,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
31,(주)엔케이맥스,182400,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
32,(주)엘앤씨바이오,290650,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
33,(주)오리엔트바이오,2630,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
34,(주)오스코텍,39200,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
35,(주)옵티팜,153710,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
36,(주)유유제약,220,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
37,(주)유틸렉스,263050,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
38,(주)유한양행,100,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
39,(주)이글벳,44960,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
40,(주)이수앱지스,86890,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
41,(주)인트론바이오테크놀로지,48530,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
42,(주)제노포커스,187420,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
43,(주)제일바이오,52670,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
44,(주)제테마,216080,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
45,(주)종근당,185750,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
46,(주)종근당바이오,63160,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
47,(주)종근당홀딩스,1630,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
48,(주)중앙백신연구소,72020,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
49,(주)지노믹트리,228760,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
50,(주)케어젠,214370,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
51,(주)코미팜,41960,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
52,(주)티앤알바이오팹,246710,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
53,(주)파멥신,208340,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
54,(주)팬젠,222110,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
55,(주)펩트론,87010,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
56,(주)퓨쳐켐,220100,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
57,(주)하이텍팜,106190,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
58,(주)한독,2390,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
59,(주)휴메딕스,200670,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
60,(주)휴온스,243070,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
61,(주)휴온스글로벌,84110,  의료용 물질 및 의약품 제조업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
