,회사명,회계년도,거래소코드,매출원가율
0,CMG제약,11-Dec,58820,0.58 
1,CMG제약,12-Dec,58820,0.72 
2,CMG제약,13-Dec,58820,0.61 
3,CMG제약,14-Dec,58820,0.63 
4,CMG제약,15-Dec,58820,0.64 
5,CMG제약,16-Dec,58820,0.60 
6,CMG제약,17-Dec,58820,0.57 
7,CMG제약,18-Dec,58820,0.54 
8,CMG제약,19-Dec,58820,0.51 
9,DB하이텍,11-Dec,990,0.83 
10,DB하이텍,12-Dec,990,0.84 
11,DB하이텍,13-Dec,990,0.82 
12,DB하이텍,14-Dec,990,0.76 
13,DB하이텍,15-Dec,990,0.66 
14,DB하이텍,16-Dec,990,0.62 
15,DB하이텍,17-Dec,990,0.63 
16,DB하이텍,18-Dec,990,0.68 
17,DB하이텍,19-Dec,990,0.64 
18,ES큐브,11-Dec,50120,0.72 
19,ES큐브,12-Dec,50120,0.72 
20,ES큐브,13-Dec,50120,0.75 
21,ES큐브,14-Dec,50120,0.79 
22,ES큐브,15-Dec,50120,0.72 
23,ES큐브,16-Dec,50120,0.71 
24,ES큐브,17-Dec,50120,0.73 
25,ES큐브,18-Dec,50120,0.77 
26,ES큐브,19-Dec,50120,0.81 
27,HJ중공업,11-Dec,97230,0.92 
28,HJ중공업,12-Dec,97230,0.93 
29,HJ중공업,13-Dec,97230,0.97 
30,HJ중공업,14-Dec,97230,1.01 
31,HJ중공업,15-Dec,97230,0.96 
32,HJ중공업,16-Dec,97230,0.98 
33,HJ중공업,17-Dec,97230,0.99 
34,HJ중공업,18-Dec,97230,0.92 
35,HJ중공업,19-Dec,97230,0.89 
36,MH에탄올,11-Dec,23150,0.83 
37,MH에탄올,12-Dec,23150,0.82 
38,MH에탄올,13-Dec,23150,0.87 
39,MH에탄올,14-Dec,23150,0.76 
40,MH에탄올,15-Dec,23150,0.72 
41,MH에탄올,16-Dec,23150,0.69 
42,MH에탄올,17-Dec,23150,0.72 
43,MH에탄올,18-Dec,23150,0.74 
44,MH에탄올,19-Dec,23150,0.67 
45,SH에너지화학,11-Dec,2360,0.93 
46,SH에너지화학,12-Dec,2360,0.92 
47,SH에너지화학,13-Dec,2360,0.92 
48,SH에너지화학,14-Dec,2360,0.86 
49,SH에너지화학,15-Dec,2360,0.83 
50,SH에너지화학,16-Dec,2360,0.82 
51,SH에너지화학,17-Dec,2360,0.86 
52,SH에너지화학,18-Dec,2360,0.93 
53,SH에너지화학,19-Dec,2360,0.95 
54,SNT에너지,11-Dec,100840,1.00 
55,SNT에너지,12-Dec,100840,1.00 
56,SNT에너지,13-Dec,100840,1.00 
57,SNT에너지,14-Dec,100840,1.00 
58,SNT에너지,15-Dec,100840,1.00 
