,구분,2011년.mid,2012년.mid,2013년.mid,2014년.mid,2015년.mid,2016년.mid,2017년.mid,2018년.mid,2019년.mid
0,CMG제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
1,경보제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
2,나이벡,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
3,녹십자,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
4,녹십자엠에스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
5,녹십자웰빙,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
6,대성미생물연구소,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
7,대웅제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
8,동구바이오제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
9,레고켐바이오사이언스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
10,메디톡스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
11,메타바이오메드,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
12,바이넥스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
13,바이오니아,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
14,바이오솔루션,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
15,보령,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
16,비씨월드제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
17,서울제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
18,세운메디칼,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
19,셀루메드,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
20,셀리드,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
21,셀트리온,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
22,셀트리온제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
23,수젠텍,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
24,쎌바이오텍,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
25,아스타,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
26,안트로젠,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
27,애드바이오텍,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
28,에스텍파마,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
29,엑세스바이오인코퍼레이션,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
30,엔지켐생명과학,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
31,엔케이맥스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
32,엘앤씨바이오,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
33,오리엔트바이오,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
34,오스코텍,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
35,옵티팜,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
36,유유제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
37,유틸렉스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
38,유한양행,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
39,이글벳,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
40,이수앱지스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
41,인트론바이오테크놀로지,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
42,제노포커스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
43,제일바이오,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
44,제테마,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
45,종근당,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
46,종근당바이오,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
47,종근당홀딩스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
48,중앙백신연구소,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
49,지노믹트리,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
