,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율,산업명
0,(주)CMG제약,58820,11-Dec,17751704,10325799,0.58,0.72,-24.13793103,  의료용 물질 및 의약품 제조업
1,(주)CMG제약,58820,12-Dec,16255389,11648690,0.72,0.58,19.44444444,  의료용 물질 및 의약품 제조업
2,(주)CMG제약,58820,13-Dec,20402140,12506817,0.61,0.72,-18.03278689,  의료용 물질 및 의약품 제조업
3,(주)CMG제약,58820,14-Dec,22752584,14318048,0.63,0.61,3.174603175,  의료용 물질 및 의약품 제조업
4,(주)CMG제약,58820,15-Dec,27041894,17237814,0.64,0.63,1.5625,  의료용 물질 및 의약품 제조업
5,(주)CMG제약,58820,16-Dec,32969825,19663389,0.6,0.64,-6.666666667,  의료용 물질 및 의약품 제조업
6,(주)CMG제약,58820,17-Dec,41535588,23497552,0.57,0.6,-5.263157895,  의료용 물질 및 의약품 제조업
7,(주)CMG제약,58820,18-Dec,49864782,27124841,0.54,0.57,-5.555555556,  의료용 물질 및 의약품 제조업
8,(주)CMG제약,58820,19-Dec,58622681,29700050,0.51,0.54,-5.882352941,  의료용 물질 및 의약품 제조업
9,(주)DB하이텍,990,11-Dec,552216245,460440945,0.83,1.22,-46.98795181,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
10,(주)DB하이텍,990,12-Dec,590786488,494003057,0.84,0.83,1.19047619,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
11,(주)DB하이텍,990,13-Dec,493752028,404500718,0.82,0.84,-2.43902439,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
12,(주)DB하이텍,990,14-Dec,567718224,430813375,0.76,0.82,-7.894736842,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
13,(주)DB하이텍,990,15-Dec,666594987,436915515,0.66,0.76,-15.15151515,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
14,(주)DB하이텍,990,16-Dec,773140180,483129939,0.62,0.66,-6.451612903,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
15,(주)DB하이텍,990,17-Dec,679737744,426170592,0.63,0.62,1.587301587,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
16,(주)DB하이텍,990,18-Dec,669279136,453942755,0.68,0.63,7.352941176,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
17,(주)DB하이텍,990,19-Dec,807416423,513292637,0.64,0.68,-6.25,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
18,(주)ES큐브,50120,11-Dec,53379952,38476771,0.72,0.75,-4.166666667,  도매 및 상품 중개업
