회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
(주)CMG제약,58820,10-Dec,11350419,8217627,
(주)CMG제약,58820,11-Dec,17751704,10325799,
(주)CMG제약,58820,12-Dec,16255389,11648690,
(주)CMG제약,58820,13-Dec,20402140,12506817,
(주)CMG제약,58820,14-Dec,22752584,14318048,
(주)CMG제약,58820,15-Dec,27041894,17237814,
(주)CMG제약,58820,16-Dec,32969825,19663389,
(주)CMG제약,58820,17-Dec,41535588,23497552,
(주)CMG제약,58820,18-Dec,49864782,27124841,
(주)CMG제약,58820,19-Dec,58622681,29700050,
(주)DB하이텍,990,10-Dec,620043034,753813405,
(주)DB하이텍,990,11-Dec,552216245,460440945,
(주)DB하이텍,990,12-Dec,590786488,494003057,
(주)DB하이텍,990,13-Dec,493752028,404500718,
(주)DB하이텍,990,14-Dec,567718224,430813375,
(주)DB하이텍,990,15-Dec,666594987,436915515,
(주)DB하이텍,990,16-Dec,773140180,483129939,
(주)DB하이텍,990,17-Dec,679737744,426170592,
(주)DB하이텍,990,18-Dec,669279136,453942755,
(주)DB하이텍,990,19-Dec,807416423,513292637,
(주)ES큐브,50120,10-Dec,43887335,32966862,
(주)ES큐브,50120,11-Dec,53379952,38476771,
(주)ES큐브,50120,12-Dec,55971147,40290541,
(주)ES큐브,50120,13-Dec,58597361,44088670,
(주)ES큐브,50120,14-Dec,44459581,34936541,
(주)ES큐브,50120,15-Dec,42152967,30433006,
(주)ES큐브,50120,16-Dec,34289385,24454448,
(주)ES큐브,50120,17-Dec,35745794,26057940,
(주)ES큐브,50120,18-Dec,33763508,26036057,
(주)ES큐브,50120,19-Dec,43708239,35510791,
(주)HJ중공업,97230,10-Dec,3167774000,2841789000,
(주)HJ중공업,97230,11-Dec,2891499000,2664558000,
(주)HJ중공업,97230,12-Dec,2549319000,2358260000,
(주)HJ중공업,97230,13-Dec,2529341000,2464368000,
(주)HJ중공업,97230,14-Dec,2520325000,2537259000,
(주)HJ중공업,97230,15-Dec,3115473000,3004437000,
(주)HJ중공업,97230,16-Dec,2813271000,2753545000,
(주)HJ중공업,97230,17-Dec,2452314000,2431066000,
(주)HJ중공업,97230,18-Dec,1697869000,1557089000,
(주)HJ중공업,97230,19-Dec,1628751000,1451267000,
(주)MH에탄올,23150,10-Dec,55048463,46932516,
(주)MH에탄올,23150,11-Dec,44785159,37258514,
(주)MH에탄올,23150,12-Dec,59768175,49030452,
(주)MH에탄올,23150,13-Dec,62199887,54316861,
(주)MH에탄올,23150,14-Dec,48983781,37109977,
(주)MH에탄올,23150,15-Dec,50386203,36425005,
(주)MH에탄올,23150,16-Dec,48897025,33962392,
(주)MH에탄올,23150,17-Dec,51977132,37225576,
(주)MH에탄올,23150,18-Dec,72795863,53524709,
(주)MH에탄올,23150,19-Dec,80879342,54219181,
(주)SH에너지화학,2360,10-Dec,150630768,137805193,
(주)SH에너지화학,2360,11-Dec,173209351,160789710,
(주)SH에너지화학,2360,12-Dec,193950102,178829327,
(주)SH에너지화학,2360,13-Dec,231912218,213952261,
(주)SH에너지화학,2360,14-Dec,230912587,197661842,
(주)SH에너지화학,2360,15-Dec,216441364,179135051,
(주)SH에너지화학,2360,16-Dec,218397677,179759098,
(주)SH에너지화학,2360,17-Dec,188114822,161824273,
(주)SH에너지화학,2360,18-Dec,183598766,171330094,
(주)SH에너지화학,2360,19-Dec,140852575,134184400,
(주)SIMPAC,9160,10-Dec,181795010,143921095,
(주)SIMPAC,9160,11-Dec,215365697,170409718,
(주)SIMPAC,9160,12-Dec,225353321,182861979,
(주)SIMPAC,9160,13-Dec,205751154,164405183,
(주)SIMPAC,9160,14-Dec,263152264,220084616,
(주)SIMPAC,9160,15-Dec,269528038,221412942,
(주)SIMPAC,9160,16-Dec,267074156,217713888,
(주)SIMPAC,9160,17-Dec,230634812,193009825,
(주)SIMPAC,9160,18-Dec,306150809,271995017,
(주)SIMPAC,9160,19-Dec,430085162,385305111,
(주)SNT에너지,100840,10-Dec,,,
(주)SNT에너지,100840,11-Dec,,,
(주)SNT에너지,100840,12-Dec,,,
(주)SNT에너지,100840,13-Dec,,,
(주)SNT에너지,100840,14-Dec,,,
(주)SNT에너지,100840,15-Dec,,,
(주)SNT에너지,100840,16-Dec,,,
(주)SNT에너지,100840,17-Dec,,,
(주)SNT에너지,100840,18-Dec,,,
(주)SNT에너지,100840,19-Dec,213326726,177635077,
(주)SNT홀딩스,36530,10-Dec,1500160508,1254983399,
(주)SNT홀딩스,36530,11-Dec,1663846065,1449348821,
(주)SNT홀딩스,36530,12-Dec,1668749904,1465168699,
(주)SNT홀딩스,36530,13-Dec,1576368464,1379201925,
(주)SNT홀딩스,36530,14-Dec,1552374806,1380123821,
(주)SNT홀딩스,36530,15-Dec,1612746929,1331347191,
(주)SNT홀딩스,36530,16-Dec,1537700275,1336617769,
(주)SNT홀딩스,36530,17-Dec,1508152132,1303372403,
(주)SNT홀딩스,36530,18-Dec,1401307482,1221120349,
(주)SNT홀딩스,36530,19-Dec,1512114565,1284171398,
(주)STX,11810,10-Dec,4045884000,3780427000,
(주)STX,11810,11-Dec,5967701000,5516021000,
(주)STX,11810,12-Dec,6159850000,6353608000,
(주)STX,11810,13-Dec,2449401000,3140865000,
(주)STX,11810,14-Dec,1634606000,1513363000,
(주)STX,11810,15-Dec,1630827000,1586081000,
(주)STX,11810,16-Dec,1720153000,1635394000,
(주)STX,11810,17-Dec,1803878000,1718572000,
(주)STX,11810,18-Dec,1502985000,1483048000,
(주)STX,11810,19-Dec,1471164000,1424697000,
(주)TCC스틸,2710,10-Dec,460900040,411174924,
(주)TCC스틸,2710,11-Dec,514424043,472273637,
(주)TCC스틸,2710,12-Dec,501337475,457927934,
(주)TCC스틸,2710,13-Dec,500832754,474104834,
(주)TCC스틸,2710,14-Dec,518995240,483588495,
(주)TCC스틸,2710,15-Dec,495795871,451936886,
(주)TCC스틸,2710,16-Dec,444453635,402898839,
(주)TCC스틸,2710,17-Dec,391370092,356978389,
(주)TCC스틸,2710,18-Dec,413176279,377890304,
(주)TCC스틸,2710,19-Dec,437173902,405618477,
(주)가비아,79940,10-Dec,40623302,21744253,
(주)가비아,79940,11-Dec,52838864,29173840,
(주)가비아,79940,12-Dec,69058144,40302408,
(주)가비아,79940,13-Dec,70675565,38882747,
(주)가비아,79940,14-Dec,80432047,45275795,
(주)가비아,79940,15-Dec,91648622,50078893,
(주)가비아,79940,16-Dec,102178978,54998617,
(주)가비아,79940,17-Dec,116217941,60313364,
(주)가비아,79940,18-Dec,128728438,65751367,
(주)가비아,79940,19-Dec,148306878,75650385,
(주)강스템바이오텍,217730,15-Dec,,,
(주)강스템바이오텍,217730,16-Dec,,,
(주)강스템바이오텍,217730,17-Dec,9132939,5874047,
(주)강스템바이오텍,217730,18-Dec,9165454,7988195,
(주)강스템바이오텍,217730,19-Dec,6004584,6428945,
(주)강원랜드,35250,10-Dec,1313788411,490130911,
(주)강원랜드,35250,11-Dec,1265686425,538388479,
(주)강원랜드,35250,12-Dec,1296191223,647845564,
(주)강원랜드,35250,13-Dec,1361286598,726091776,
(주)강원랜드,35250,14-Dec,1496541441,722297880,
(주)강원랜드,35250,15-Dec,1633716839,759645970,
(주)강원랜드,35250,16-Dec,1696532511,785177091,
(주)강원랜드,35250,17-Dec,1604470055,787533848,
(주)강원랜드,35250,18-Dec,1438059299,729593460,
(주)강원랜드,35250,19-Dec,1520080449,736659054,
(주)강원에너지,114190,10-Nov,,,
(주)강원에너지,114190,11-Nov,,,
(주)강원에너지,114190,12-Dec,,,
(주)강원에너지,114190,13-Dec,,,
(주)강원에너지,114190,14-Dec,,,
(주)강원에너지,114190,15-Dec,46188664,38265188,
(주)강원에너지,114190,16-Dec,42287473,35270278,
(주)강원에너지,114190,17-Dec,82034829,81169717,
(주)강원에너지,114190,18-Dec,85905365,80012233,
(주)강원에너지,114190,19-Dec,42549622,48688856,
(주)갤럭시아에스엠,11420,10-Dec,56624254,47615806,
(주)갤럭시아에스엠,11420,11-Dec,47331427,38695073,
(주)갤럭시아에스엠,11420,12-Dec,55049732,47555420,
(주)갤럭시아에스엠,11420,13-Dec,46437304,41764586,
(주)갤럭시아에스엠,11420,14-Dec,43885894,40216941,
(주)갤럭시아에스엠,11420,15-Dec,62472754,56009656,
(주)갤럭시아에스엠,11420,16-Dec,52626331,51678856,
(주)갤럭시아에스엠,11420,17-Dec,37281280,37435336,
(주)갤럭시아에스엠,11420,18-Dec,22060413,27428110,
(주)갤럭시아에스엠,11420,19-Dec,28732679,26937800,
(주)경농,2100,10-Dec,143433922,93364157,
(주)경농,2100,11-Dec,121253605,79220101,
(주)경농,2100,12-Dec,136970449,87614008,
(주)경농,2100,13-Dec,196358952,129161139,
(주)경농,2100,14-Dec,188483147,122779838,
(주)경농,2100,15-Dec,196418710,127105636,
(주)경농,2100,16-Dec,203984939,135371879,
(주)경농,2100,17-Dec,206534382,138859895,
(주)경농,2100,18-Dec,212654617,139911460,
(주)경농,2100,19-Dec,227510941,153098094,
(주)경동나비엔,9450,10-Dec,307182060,222260842,
(주)경동나비엔,9450,11-Dec,341246917,251540613,
(주)경동나비엔,9450,12-Dec,379014259,282583068,
(주)경동나비엔,9450,13-Dec,414177562,296168554,
(주)경동나비엔,9450,14-Dec,428985365,313840608,
(주)경동나비엔,9450,15-Dec,512031120,352051189,
(주)경동나비엔,9450,16-Dec,583252904,382333051,
(주)경동나비엔,9450,17-Dec,684660958,446078996,
(주)경동나비엔,9450,18-Dec,726741615,487844378,
(주)경동나비엔,9450,19-Dec,774290704,509635845,
(주)경동도시가스,267290,17-Dec,871548284,793238142,
(주)경동도시가스,267290,18-Dec,1606531867,1480519376,
