회사명,거래소코드,회계년도,산업코드,산업명
(주)CMG제약,058820,2011/12,032102,  의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2012/12,032102,  의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2013/12,032102,  의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2014/12,032102,  의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2015/12,032102,  의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2016/12,032102,  의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2017/12,032102,  의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2018/12,032102,  의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2019/12,032102,  의료용 물질 및 의약품 제조업
(주)DB하이텍,000990,2011/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2012/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2013/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2014/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2015/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2016/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2017/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2018/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2019/12,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)ES큐브,050120,2011/12,074604,  도매 및 상품 중개업
(주)ES큐브,050120,2012/12,074604,  도매 및 상품 중개업
(주)ES큐브,050120,2013/12,074604,  도매 및 상품 중개업
(주)ES큐브,050120,2014/12,074604,  도매 및 상품 중개업
(주)ES큐브,050120,2015/12,074604,  도매 및 상품 중개업
(주)ES큐브,050120,2016/12,074604,  도매 및 상품 중개업
(주)ES큐브,050120,2017/12,074604,  도매 및 상품 중개업
(주)ES큐브,050120,2018/12,074604,  도매 및 상품 중개업
(주)ES큐브,050120,2019/12,074604,  도매 및 상품 중개업
(주)HJ중공업,097230,2011/12,033101,  기타 운송장비 제조업
(주)HJ중공업,097230,2012/12,033101,  기타 운송장비 제조업
(주)HJ중공업,097230,2013/12,033101,  기타 운송장비 제조업
(주)HJ중공업,097230,2014/12,033101,  기타 운송장비 제조업
(주)HJ중공업,097230,2015/12,064102,  종합 건설업
(주)HJ중공업,097230,2016/12,064102,  종합 건설업
(주)HJ중공업,097230,2017/12,064102,  종합 건설업
(주)HJ중공업,097230,2018/12,064102,  종합 건설업
(주)HJ중공업,097230,2019/12,064102,  종합 건설업
(주)MH에탄올,023150,2011/12,031101,  음료 제조업
(주)MH에탄올,023150,2012/12,031101,  음료 제조업
(주)MH에탄올,023150,2013/12,031101,  음료 제조업
(주)MH에탄올,023150,2014/12,031101,  음료 제조업
(주)MH에탄올,023150,2015/12,031101,  음료 제조업
(주)MH에탄올,023150,2016/12,031101,  음료 제조업
(주)MH에탄올,023150,2017/12,031101,  음료 제조업
(주)MH에탄올,023150,2018/12,031101,  음료 제조업
(주)MH에탄올,023150,2019/12,031101,  음료 제조업
(주)SH에너지화학,002360,2011/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2012/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2013/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2014/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2015/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2016/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2017/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2018/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2019/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SIMPAC,009160,2011/12,032902,  기타 기계 및 장비 제조업
(주)SIMPAC,009160,2012/12,032902,  기타 기계 및 장비 제조업
(주)SIMPAC,009160,2013/12,032902,  기타 기계 및 장비 제조업
(주)SIMPAC,009160,2014/12,032902,  기타 기계 및 장비 제조업
(주)SIMPAC,009160,2015/12,032902,  기타 기계 및 장비 제조업
(주)SIMPAC,009160,2016/12,032902,  기타 기계 및 장비 제조업
(주)SIMPAC,009160,2017/12,032902,  기타 기계 및 장비 제조업
(주)SIMPAC,009160,2018/12,032902,  기타 기계 및 장비 제조업
(주)SIMPAC,009160,2019/12,032902,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2011/12,032901,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2012/12,032901,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2013/12,032901,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2014/12,032901,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2015/12,032901,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2016/12,032901,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2017/12,032901,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2018/12,032901,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2019/12,032901,  기타 기계 및 장비 제조업
(주)SNT홀딩스,036530,2011/12,137105,  전문 서비스업
(주)SNT홀딩스,036530,2012/12,137105,  전문 서비스업
(주)SNT홀딩스,036530,2013/12,137105,  전문 서비스업
(주)SNT홀딩스,036530,2014/12,137105,  전문 서비스업
