산업명,2011년.mid,2012년.mid,2013년.mid,2014년.mid,2015년.mid,2016년.mid,2017년.mid,2018년.mid,2019년.mid
  1차 금속 제조업,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
  가구 제조업,68.32,70.99,72.77,73.1,75.54,75.33,71.71,73.37,72.68
"  가죽, 가방 및 신발 제조업",90.435,94.07,93.14,45.115,91.32,80.645,80.12,79.695,77.55
"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",85.355,84.965,83.825,85.75,83.845,86.755,83.805,83.645,73.735
  고무 및 플라스틱제품 제조업,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
  교육 서비스업,39.575,41.175,43.375,44.96,56.37,53.67,54.175,47.75,53.78
  금속가공제품 제조업; 기계 및 가구 제외,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
  기타 개인 서비스업,32.28,33.51,33.7,33.44,31.44,34.14,33.39,34.72,35.81
  기타 기계 및 장비 제조업,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
  기타 운송장비 제조업,82.98,82.985,88,91.475,88.85,87.545,88.54,91.865,90.035
"  기타 전문, 과학 및 기술 서비스업",73.195,76.1,73.785,82.65,89.585,84.625,79.27,75.61,74.45
  기타 제품 제조업,0,0,0,47.18,42.81,42.29,75.06,80.08,76.34
  기타금융업,0,0,0,0,0,0,0,13.425,43.41
  농업,0,0,0,0,0,44.41,46.35,52.67,51.58
  담배 제조업,38.92,37.54,37.29,38.5,33.52,35.34,36.51,37.24,38.47
  도매 및 상품 중개업,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
  목재 및 나무제품 제조업; 가구 제외,87.61,88.94,87.48,88.1,88.59,88.84,90.14,93.4,90.59
  방송업,56.11,61.55,61.26,65.28,66.25,68.88,64.91,65.53,67.59
  부동산업,0,0,0,0,34.76,35.235,38.005,27.97,72.15
  비금속 광물제품 제조업,83.085,80.49,79.905,80.78,77.97,79.26,81.73,82.22,84.125
  비금속광물 광업; 연료용 제외,0,0,0,0,57.44,66.93,68.54,78.49,75.29
  사업지원 서비스업,0,16.675,24.03,3.835,3.72,1.06,0,1.985,2.785
"  석탄, 원유 및 천연가스 광업",96.35,90.06,84.855,76.695,76.99,72.77,80.57,90.975,80.48
  섬유제품 제조업; 의복제외,89.195,90.545,88.935,89.09,88.755,87.06,91.84,92.455,90.715
  소매업; 자동차 제외,45.165,41.78,38.49,44.815,44.245,46.28,49.505,47.625,44.52
  수상 운송업,100.37,101.99,95.03,83.78,84.54,89.72,88.22,89.18,87.88
  숙박업,0,0,0,0,0,76.7,77.36,77.05,89.78
  스포츠 및 오락관련 서비스업,67.98,72.14,62.29,66.33,69.36,72.25,70.8,70.51,58.36
  식료품 제조업,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
  어업,87.47,87.7,91.71,96,89.17,85.92,85.77,89.1,91.05
  연구개발업,0,0,0,0,0,3.42,27.81,50.99,50.43
  영상ㆍ오디오 기록물 제작 및 배급업,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
  우편 및 통신업,44.24,43.985,47.1,44.345,43.1,38.07,33.39,32.855,42.375
  육상운송 및 파이프라인 운송업,91.1,91.44,92.89,91.51,90.67,90.72,92.38,92.23,91.62
  음료 제조업,59.36,59.41,58.53,60.8,64.89,65.23,68.2,66.59,68.22
