,회사명,거래소코드,회계년도,산업코드,산업명,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,(주)CMG제약,58820,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
9,(주)DB하이텍,990,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
18,(주)ES큐브,50120,Dec-11,74604,  도매 및 상품 중개업,,,,,,,,,
27,(주)HJ중공업,97230,Dec-11,33101,  기타 운송장비 제조업,,,,,,,,,
36,(주)MH에탄올,23150,Dec-11,31101,  음료 제조업,,,,,,,,,
45,(주)SH에너지화학,2360,Dec-11,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
54,(주)SIMPAC,9160,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
63,(주)SNT에너지,100840,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
72,(주)SNT홀딩스,36530,Dec-11,137105,  전문 서비스업,,,,,,,,,
81,(주)STX,11810,Dec-11,74608,  도매 및 상품 중개업,,,,,,,,,
90,(주)TCC스틸,2710,Dec-11,32401,  1차 금속 제조업,,,,,,,,,
99,(주)가비아,79940,Dec-11,105802,  출판업,,,,,,,,,
108,(주)강스템바이오텍,217730,Dec-15,137001,  연구개발업,,,,,,,,,
113,(주)강원랜드,35250,Dec-11,189102,  스포츠 및 오락관련 서비스업,,,,,,,,,
122,(주)강원에너지,114190,Nov-11,32501,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
131,(주)갤럭시아에스엠,11420,Dec-11,189101,  스포츠 및 오락관련 서비스업,,,,,,,,,
140,(주)경농,2100,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
149,(주)경동나비엔,9450,Dec-11,32805,  전기장비 제조업,,,,,,,,,
158,(주)경동도시가스,267290,Dec-17,43502,"  전기, 가스, 증기 및 공기조절 공급업",,,,,,,,,
161,(주)경동인베스트,12320,Dec-11,43502,"  전기, 가스, 증기 및 공기조절 공급업",,,,,,,,,
170,(주)경방,50,Dec-11,31301,  섬유제품 제조업; 의복제외,,,,,,,,,
179,(주)경보제약,214390,Dec-15,32101,  의료용 물질 및 의약품 제조업,,,,,,,,,
184,(주)경인양행,12610,Dec-11,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
193,(주)고려시멘트,198440,Dec-14,117201,  기타금융업,,,,,,,,,
199,(주)고영테크놀러지,98460,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
208,(주)골드앤에스,35290,Dec-11,168505,  교육 서비스업,,,,,,,,,
