회사명,거래소코드,회계년도,배당금(*)(IFRS)(천원)
(주)CMG제약,058820,2010/12,0
(주)CMG제약,058820,2011/12,0
(주)CMG제약,058820,2012/12,0
(주)CMG제약,058820,2013/12,0
(주)CMG제약,058820,2014/12,0
(주)CMG제약,058820,2015/12,0
(주)CMG제약,058820,2016/12,0
(주)CMG제약,058820,2017/12,0
(주)CMG제약,058820,2018/12,0
(주)CMG제약,058820,2019/12,0
(주)DB하이텍,000990,2010/12,0
(주)DB하이텍,000990,2011/12,0
(주)DB하이텍,000990,2012/12,0
(주)DB하이텍,000990,2013/12,0
(주)DB하이텍,000990,2014/12,0
(주)DB하이텍,000990,2015/12,0
(주)DB하이텍,000990,2016/12,0
(주)DB하이텍,000990,2017/12,10964000
(주)DB하이텍,000990,2018/12,10857000
(주)DB하이텍,000990,2019/12,15205000
(주)ES큐브,050120,2010/12,0
(주)ES큐브,050120,2011/12,0
(주)ES큐브,050120,2012/12,0
(주)ES큐브,050120,2013/12,0
(주)ES큐브,050120,2014/12,0
(주)ES큐브,050120,2015/12,0
(주)ES큐브,050120,2016/12,0
(주)ES큐브,050120,2017/12,0
(주)ES큐브,050120,2018/12,0
(주)ES큐브,050120,2019/12,0
(주)HJ중공업,097230,2010/12,2389000
(주)HJ중공업,097230,2011/12,0
(주)HJ중공업,097230,2012/12,0
(주)HJ중공업,097230,2013/12,0
(주)HJ중공업,097230,2014/12,0
(주)HJ중공업,097230,2015/12,0
(주)HJ중공업,097230,2016/12,0
(주)HJ중공업,097230,2017/12,0
(주)HJ중공업,097230,2018/12,0
(주)HJ중공업,097230,2019/12,0
(주)MH에탄올,023150,2010/12,0
(주)MH에탄올,023150,2011/12,0
(주)MH에탄올,023150,2012/12,0
(주)MH에탄올,023150,2013/12,0
(주)MH에탄올,023150,2014/12,1475705
(주)MH에탄올,023150,2015/12,1819632
(주)MH에탄올,023150,2016/12,2162558
(주)MH에탄올,023150,2017/12,2415000
(주)MH에탄올,023150,2018/12,2347984
(주)MH에탄올,023150,2019/12,2277984
(주)SH에너지화학,002360,2010/12,0
(주)SH에너지화학,002360,2011/12,0
(주)SH에너지화학,002360,2012/12,0
(주)SH에너지화학,002360,2013/12,1663587
(주)SH에너지화학,002360,2014/12,4990699
(주)SH에너지화학,002360,2015/12,4879795
(주)SH에너지화학,002360,2016/12,6099736
(주)SH에너지화학,002360,2017/12,4768891
(주)SH에너지화학,002360,2018/12,2549126
