,회사,코드,년도,2011,2012,2013,2014,2015,2016,2017,2018,2019,2012년 감소율,2013년 감소율,2014년 감소율,2015년 감소율,2016년 감소율,2017년 감소율,2018년 감소율,2019년 감소율,2012년 감소율여부,2013년 감소율여부,2014년 감소율여부,2015년 감소율여부,2016년 감소율여부,2017년 감소율여부,2018년 감소율여부,2019년 감소율여부
0,(주)CMG제약,58820,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156757.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,(주)DB하이텍,990,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,831797.0,11328081.0,,,,,,,-inf,-1261.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,(주)ES큐브,50120,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,(주)HJ중공업,97230,      비유동금융부채(*)(IFRS)(천원),16779000.0,11657000.0,8640000.0,13218000.0,36982000.0,2306000.0,4457000.0,5140000.0,182416000.0,30.53,25.88,-52.99,-179.79,93.76,-93.28,-15.32,-3448.95,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
4,(주)MH에탄올,23150,      비유동금융부채(*)(IFRS)(천원),0.0,7280.0,26897.0,136245.0,79005.0,30800.0,4124.0,0.0,0.0,-inf,-269.46,-406.54,42.01,61.02,86.61,100.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,(주)SH에너지화학,2360,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335277.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,(주)SIMPAC,9160,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381830.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,(주)SNT에너지,100840,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,(주)SNT홀딩스,36530,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,(주)STX,11810,      비유동금융부채(*)(IFRS)(천원),7099000.0,3465000.0,132000.0,0.0,4356000.0,2310000.0,2058000.0,15000.0,8000.0,51.19,96.19,100.0,-inf,46.97,10.91,99.27,46.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,(주)TCC스틸,2710,      비유동금융부채(*)(IFRS)(천원),16641794.0,0.0,705000.0,835000.0,0.0,0.0,0.0,0.0,1420905.0,100.0,-inf,-18.44,100.0,,,,-inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,(주)가비아,79940,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3312045.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,(주)가온칩스,399720,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,(주)강스템바이오텍,217730,      비유동금융부채(*)(IFRS)(천원),,,,,0.0,5947980.0,3498978.0,0.0,2977418.0,,,,,-inf,41.17,100.0,-inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
14,(주)강원랜드,35250,      비유동금융부채(*)(IFRS)(천원),818738.0,636675.0,908053.0,0.0,0.0,0.0,0.0,0.0,64295383.0,22.24,-42.62,100.0,,,,,-inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15,(주)강원에너지,114190,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308809.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,(주)갤럭시아에스엠,11420,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24371.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,(주)경농,2100,      비유동금융부채(*)(IFRS)(천원),451695.0,689876.0,598849.0,0.0,0.0,0.0,0.0,797691.0,1236578.0,-52.73,13.19,100.0,,,,-inf,-55.02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,(주)경동나비엔,9450,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792811.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,(주)경동도시가스,267290,      비유동금융부채(*)(IFRS)(천원),,,,,,,0.0,0.0,12441911.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,(주)경동인베스트,12320,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476086.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,(주)경방,50,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,(주)경보제약,214390,      비유동금융부채(*)(IFRS)(천원),,,0.0,0.0,0.0,0.0,0.0,0.0,1526228.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,(주)경인양행,12610,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246626.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,(주)고려시멘트,198440,      비유동금융부채(*)(IFRS)(천원),,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,(주)고바이오랩,348150,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,72993.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,(주)고영테크놀러지,98460,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5849985.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,(주)골드앤에스,35290,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58823.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,(주)골드퍼시픽,38530,      비유동금융부채(*)(IFRS)(천원),0.0,29789.0,0.0,0.0,0.0,2482856.0,0.0,0.0,289269.0,-inf,100.0,,,-inf,100.0,,-inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,(주)골프존,215000,      비유동금융부채(*)(IFRS)(천원),,,,,0.0,0.0,0.0,57714.0,37135089.0,,,,,,,-inf,-64243.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30,(주)골프존뉴딘홀딩스,121440,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,988337.0,1794774.0,863194.0,510622.0,1660492.0,692042.0,1463187.0,,-inf,-81.6,51.91,40.85,-225.19,58.32,-111.43,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
31,(주)공구우먼,366030,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,(주)광림,14200,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331185.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,(주)광명전기,17040,      비유동금융부채(*)(IFRS)(천원),635119.0,18472.0,0.0,0.0,6262.0,0.0,0.0,0.0,32317.0,97.09,100.0,,-inf,100.0,,,-inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,(주)광무,29480,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551819.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,(주)광주신세계,37710,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7018.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,(주)구영테크,53270,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,(주)국동,5320,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,(주)국보,1140,      비유동금융부채(*)(IFRS)(천원),68163.0,0.0,0.0,0.0,0.0,0.0,30235.0,11468.0,4843188.0,100.0,,,,,-inf,62.07,-42132.19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
39,(주)국보디자인,66620,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294226.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,(주)국순당,43650,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,15208.0,4521.0,1881.0,0.0,11326.0,1896.0,181300.0,,-inf,70.27,58.39,100.0,-inf,83.26,-9462.24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
41,(주)국영지앤엠,6050,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005562.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,(주)국전약품,307750,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,(주)그래디언트,35080,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730831.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,(주)그리티,204020,      비유동금융부채(*)(IFRS)(천원),,,,0.0,0.0,0.0,0.0,0.0,645668.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,(주)그린플러스,186230,      비유동금융부채(*)(IFRS)(천원),,,,,,,,431889.0,556772.0,,,,,,,,-28.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,(주)글로벌스탠다드테크놀로지,83450,      비유동금융부채(*)(IFRS)(천원),0.0,15344.0,0.0,0.0,64768.0,0.0,1000000.0,0.0,59498.0,-inf,100.0,,-inf,100.0,-inf,100.0,-inf,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
47,(주)금비,8870,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,24139.0,105292.0,0.0,0.0,0.0,0.0,0.0,,-inf,-336.19,100.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48,(주)금양,1570,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,(주)금호에이치티,214330,      비유동금융부채(*)(IFRS)(천원),,,106453.0,196364.0,75231.0,0.0,0.0,0.0,64497.0,,,-84.46,61.69,100.0,,,-inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
