회사,코드,년도,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)CMG제약,58820,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,156757
(주)DB하이텍,990,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,831797,11328081
(주)ES큐브,50120,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)HJ중공업,97230,      비유동금융부채(*)(IFRS)(천원),16779000,11657000,8640000,13218000,36982000,2306000,4457000,5140000,182416000
(주)MH에탄올,23150,      비유동금융부채(*)(IFRS)(천원),0,7280,26897,136245,79005,30800,4124,0,0
(주)SH에너지화학,2360,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,335277
(주)SIMPAC,9160,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,2381830
(주)SNT에너지,100840,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)SNT홀딩스,36530,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)STX,11810,      비유동금융부채(*)(IFRS)(천원),7099000,3465000,132000,0,4356000,2310000,2058000,15000,8000
(주)TCC스틸,2710,      비유동금융부채(*)(IFRS)(천원),16641794,0,705000,835000,0,0,0,0,1420905
(주)가비아,79940,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,3312045
(주)가온칩스,399720,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)강스템바이오텍,217730,      비유동금융부채(*)(IFRS)(천원),,,,,0,5947980,3498978,0,2977418
(주)강원랜드,35250,      비유동금융부채(*)(IFRS)(천원),818738,636675,908053,0,0,0,0,0,64295383
(주)강원에너지,114190,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,1308809
(주)갤럭시아에스엠,11420,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,24371
(주)경농,2100,      비유동금융부채(*)(IFRS)(천원),451695,689876,598849,0,0,0,0,797691,1236578
(주)경동나비엔,9450,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,792811
(주)경동도시가스,267290,      비유동금융부채(*)(IFRS)(천원),,,,,,,0,0,12441911
(주)경동인베스트,12320,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,476086
(주)경방,50,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)경보제약,214390,      비유동금융부채(*)(IFRS)(천원),,,0,0,0,0,0,0,1526228
(주)경인양행,12610,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,246626
(주)고려시멘트,198440,      비유동금융부채(*)(IFRS)(천원),,,,,,,0,0,0
(주)고바이오랩,348150,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,72993
(주)고영테크놀러지,98460,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,5849985
(주)골드앤에스,35290,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,58823
(주)골드퍼시픽,38530,      비유동금융부채(*)(IFRS)(천원),0,29789,0,0,0,2482856,0,0,289269
(주)골프존,215000,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,57714,37135089
(주)골프존뉴딘홀딩스,121440,      비유동금융부채(*)(IFRS)(천원),0,0,988337,1794774,863194,510622,1660492,692042,1463187
(주)공구우먼,366030,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)광림,14200,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,331185
(주)광명전기,17040,      비유동금융부채(*)(IFRS)(천원),635119,18472,0,0,6262,0,0,0,32317
(주)광무,29480,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,551819
