회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),비유동금융부채(*)(IFRS)(천원),비유동금융부채(*)(IFRS연결)(천원)
(주)CMG제약,058820,2010/12,26775627,26775627,0,0
(주)CMG제약,058820,2011/12,27548539,27305198,0,0
(주)CMG제약,058820,2012/12,56988604,57108035,0,0
(주)CMG제약,058820,2013/12,55961620,55912563,0,0
(주)CMG제약,058820,2014/12,58127098,58068326,0,0
(주)CMG제약,058820,2015/12,56591972,56532821,0,0
(주)CMG제약,058820,2016/12,110979867,110979867,0,0
(주)CMG제약,058820,2017/12,109568153,109568153,0,0
(주)CMG제약,058820,2018/12,114379880,114379880,0,0
(주)CMG제약,058820,2019/12,192243166,192243166,156757,156757
(주)DB하이텍,000990,2010/12,1363686317,1381251114,0,0
(주)DB하이텍,000990,2011/12,1183957429,1199043869,0,0
(주)DB하이텍,000990,2012/12,1149069244,1157755031,0,0
(주)DB하이텍,000990,2013/12,1049494642,1058391832,0,0
(주)DB하이텍,000990,2014/12,1001959816,984876636,0,0
(주)DB하이텍,000990,2015/12,1005673854,984643712,0,0
(주)DB하이텍,000990,2016/12,1006370876,986788572,0,0
(주)DB하이텍,000990,2017/12,977575054,993950720,0,0
(주)DB하이텍,000990,2018/12,1050696487,1066533840,831797,831797
(주)DB하이텍,000990,2019/12,1089400761,1088889810,11328081,11328081
(주)ES큐브,050120,2010/12,47829486,49189060,0,0
(주)ES큐브,050120,2011/12,45233434,55477032,0,0
(주)ES큐브,050120,2012/12,44676182,46281660,0,0
(주)ES큐브,050120,2013/12,47509654,47137573,0,0
(주)ES큐브,050120,2014/12,44914173,56611836,0,0
(주)ES큐브,050120,2015/12,47123684,55620280,0,0
(주)ES큐브,050120,2016/12,104459992,105164626,0,0
(주)ES큐브,050120,2017/12,104850192,105892131,0,0
(주)ES큐브,050120,2018/12,108481764,112430896,0,0
(주)ES큐브,050120,2019/12,136065488,463958680,0,2088916
(주)HJ중공업,097230,2010/12,6323071000,7525363000,9772000,9771000
(주)HJ중공업,097230,2011/12,5857119000,7036680000,16779000,23684000
(주)HJ중공업,097230,2012/12,5938108000,6585093000,11657000,21424000
(주)HJ중공업,097230,2013/12,5839633000,6683379000,8640000,15920000
(주)HJ중공업,097230,2014/12,5469810000,6470284000,13218000,7022000
(주)HJ중공업,097230,2015/12,4638381000,5914637000,36982000,43810000
(주)HJ중공업,097230,2016/12,3921561000,5256464000,2306000,7625000
(주)HJ중공업,097230,2017/12,3312303000,4206655000,4457000,10552000
(주)HJ중공업,097230,2018/12,2388369000,2733620000,5140000,10012000
(주)HJ중공업,097230,2019/12,2465650000,2470222000,182416000,184410000
(주)MH에탄올,023150,2010/12,127603795,134869380,11383,0
(주)MH에탄올,023150,2011/12,135927085,134206851,0,0
(주)MH에탄올,023150,2012/12,139200817,134385813,7280,7280
(주)MH에탄올,023150,2013/12,122520742,129697936,26897,26897
(주)MH에탄올,023150,2014/12,85253876,85534839,136245,136245
(주)MH에탄올,023150,2015/12,78691328,78996052,79005,79005
(주)MH에탄올,023150,2016/12,72025138,72339673,30800,30800
(주)MH에탄올,023150,2017/12,107437079,500180086,4124,13672064
(주)MH에탄올,023150,2018/12,109656889,440177523,0,14626834
(주)MH에탄올,023150,2019/12,101058662,451474451,0,34903209
(주)SH에너지화학,002360,2010/12,94473095,95617808,0,0
(주)SH에너지화학,002360,2011/12,102383199,104710740,0,0
(주)SH에너지화학,002360,2012/12,102492810,103690070,0,0
(주)SH에너지화학,002360,2013/12,109984767,110488951,0,0
(주)SH에너지화학,002360,2014/12,109098264,110741407,0,0
(주)SH에너지화학,002360,2015/12,114048206,115520726,0,0
(주)SH에너지화학,002360,2016/12,122956894,124488724,0,0
(주)SH에너지화학,002360,2017/12,123261552,125312154,0,0
(주)SH에너지화학,002360,2018/12,120895795,122434685,0,0
(주)SH에너지화학,002360,2019/12,121126250,123415832,335277,335277
(주)SIMPAC,009160,2010/12,260176045,269452191,0,0
(주)SIMPAC,009160,2011/12,296953131,310879328,0,0
(주)SIMPAC,009160,2012/12,307366684,318665505,0,0
(주)SIMPAC,009160,2013/12,349836891,361985890,0,0
