,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결),자본율
0,(주)CMG제약,58820,10-Dec,"26,776","18,405","26,776","18,405",68.74,68.74
1,(주)CMG제약,58820,11-Dec,"27,549","18,291","38,200","14,702",66.39,66.39
2,(주)CMG제약,58820,12-Dec,"56,989","31,603","52,992","28,102",55.45,55.45
3,(주)CMG제약,58820,13-Dec,"55,962","49,048","55,913","48,997",87.63,87.63
4,(주)CMG제약,58820,14-Dec,"58,127","49,067","58,068","49,003",84.39,84.39
5,(주)CMG제약,58820,15-Dec,"56,592","46,873","56,533","46,807",82.8,82.8
6,(주)CMG제약,58820,16-Dec,"110,980","101,108","110,980","101,108",91.1,91.1
7,(주)CMG제약,58820,17-Dec,"109,568","97,944","109,568","97,944",89.39,89.39
8,(주)CMG제약,58820,18-Dec,"114,380","103,982","114,380","103,982",90.91,90.91
9,(주)CMG제약,58820,19-Dec,"192,243","180,158","192,243","180,158",93.71,93.71
10,(주)DB하이텍,990,10-Dec,"1,363,686","376,916","1,381,251","398,016",27.64,28.82
11,(주)DB하이텍,990,11-Dec,"1,183,957","291,709","1,199,044","308,062",25.69,25.69
12,(주)DB하이텍,990,12-Dec,"1,149,069","274,553","1,157,755","290,893",25.13,25.13
13,(주)DB하이텍,990,13-Dec,"1,049,495","197,287","1,058,392","204,757",19.35,19.35
14,(주)DB하이텍,990,14-Dec,"1,001,960","136,104","984,877","120,703",12.26,12.26
15,(주)DB하이텍,990,15-Dec,"1,005,674","277,663","984,644","254,057",25.8,25.8
16,(주)DB하이텍,990,16-Dec,"1,006,371","364,450","986,789","341,917",34.65,34.65
17,(주)DB하이텍,990,17-Dec,"977,575","441,547","993,951","455,798",45.86,45.86
18,(주)DB하이텍,990,18-Dec,"1,050,696","542,557","1,066,534","558,392",52.36,52.36
19,(주)DB하이텍,990,19-Dec,"1,089,401","645,305","1,088,890","644,651",59.2,59.2
20,(주)ES큐브,50120,10-Dec,"47,829","42,088","49,189","42,621",88,86.65
21,(주)ES큐브,50120,11-Dec,"45,233","39,144","55,477","39,246",70.74,70.74
22,(주)ES큐브,50120,12-Dec,"44,676","39,881","46,282","39,860",86.12,86.12
23,(주)ES큐브,50120,13-Dec,"47,510","43,713","47,138","42,372",89.89,89.89
24,(주)ES큐브,50120,14-Dec,"44,914","41,226","56,612","49,628",87.66,87.66
25,(주)ES큐브,50120,15-Dec,"47,124","44,873","55,620","49,654",89.27,89.27
