,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),자본율(연결),자본율
(주)CMG제약,58820,10-Dec,"26,776","18,405","26,776","18,405",68.74,68.74
(주)CMG제약,58820,11-Dec,"27,549","18,291","27,305","18,034",66.39,66.05
(주)CMG제약,58820,12-Dec,"56,989","31,603","57,108","31,591",55.45,55.32
(주)CMG제약,58820,13-Dec,"55,962","49,048","55,913","48,997",87.65,87.63
(주)CMG제약,58820,14-Dec,"58,127","49,067","58,068","49,003",84.41,84.39
(주)CMG제약,58820,15-Dec,"56,592","46,873","56,533","46,807",82.83,82.8
(주)CMG제약,58820,16-Dec,"110,980","101,108","110,980","101,108",91.1,91.1
(주)CMG제약,58820,17-Dec,"109,568","97,944","109,568","97,944",89.39,89.39
(주)CMG제약,58820,18-Dec,"114,380","103,982","114,380","103,982",90.91,90.91
(주)CMG제약,58820,19-Dec,"192,243","180,158","192,243","180,158",93.71,93.71
(주)DB하이텍,990,10-Dec,"1,363,686","376,916","1,381,251","398,016",27.64,28.82
(주)DB하이텍,990,11-Dec,"1,183,957","291,709","1,199,044","308,062",24.64,25.69
(주)DB하이텍,990,12-Dec,"1,149,069","274,553","1,157,755","290,893",23.89,25.13
(주)DB하이텍,990,13-Dec,"1,049,495","197,287","1,058,392","204,757",18.8,19.35
(주)DB하이텍,990,14-Dec,"1,001,960","136,104","984,877","120,703",13.58,12.26
(주)DB하이텍,990,15-Dec,"1,005,674","277,663","984,644","254,057",27.61,25.8
(주)DB하이텍,990,16-Dec,"1,006,371","364,450","986,789","341,917",36.21,34.65
(주)DB하이텍,990,17-Dec,"977,575","441,547","993,951","455,798",45.17,45.86
(주)DB하이텍,990,18-Dec,"1,050,696","542,557","1,066,534","558,392",51.64,52.36
(주)DB하이텍,990,19-Dec,"1,089,401","645,305","1,088,890","644,651",59.23,59.2
(주)ES큐브,50120,10-Dec,"47,829","42,088","49,189","42,621",88,86.65
(주)ES큐브,50120,11-Dec,"45,233","39,144","55,477","39,246",86.54,70.74
(주)ES큐브,50120,12-Dec,"44,676","39,881","46,282","39,860",89.27,86.12
(주)ES큐브,50120,13-Dec,"47,510","43,713","47,138","42,372",92.01,89.89
(주)ES큐브,50120,14-Dec,"44,914","41,226","56,612","49,628",91.79,87.66
(주)ES큐브,50120,15-Dec,"47,124","44,873","55,620","49,654",95.22,89.27
(주)ES큐브,50120,16-Dec,"104,460","69,832","105,165","71,696",66.85,68.17
(주)ES큐브,50120,17-Dec,"104,850","71,398","105,892","72,817",68.1,68.77
(주)ES큐브,50120,18-Dec,"108,482","66,519","112,431","70,749",61.32,62.93
(주)ES큐브,50120,19-Dec,"136,065","53,986","463,959","74,039",39.68,15.96
(주)HJ중공업,97230,10-Dec,"6,323,071","2,001,312","7,525,363","1,955,791",31.65,25.99
(주)HJ중공업,97230,11-Dec,"5,857,119","1,874,877","7,036,680","1,866,848",32.01,26.53
(주)HJ중공업,97230,12-Dec,"5,938,108","1,863,529","6,585,093","1,715,516",31.38,26.05
(주)HJ중공업,97230,13-Dec,"5,839,633","1,804,609","6,683,379","1,638,998",30.9,24.52
(주)HJ중공업,97230,14-Dec,"5,469,810","1,761,886","6,470,284","1,573,076",32.21,24.31
(주)HJ중공업,97230,15-Dec,"4,638,381","1,377,529","5,914,637","1,368,589",29.7,23.14
(주)HJ중공업,97230,16-Dec,"3,921,561","904,150","5,256,464","895,183",23.06,17.03
(주)HJ중공업,97230,17-Dec,"3,312,303","563,410","4,206,655","577,198",17.01,13.72
(주)HJ중공업,97230,18-Dec,"2,388,369","-398,930","2,733,620","-708,186",-16.7,-25.91
(주)HJ중공업,97230,19-Dec,"2,465,650","247,272","2,470,222","244,994",10.03,9.92
(주)MH에탄올,23150,10-Dec,"127,604","52,984","134,869","46,625",41.52,34.57
(주)MH에탄올,23150,11-Dec,"135,927","56,161","134,207","42,667",41.32,31.79
(주)MH에탄올,23150,12-Dec,"139,201","58,713","134,386","39,678",42.18,29.53
(주)MH에탄올,23150,13-Dec,"122,521","47,120","129,698","45,886",38.46,35.38
(주)MH에탄올,23150,14-Dec,"85,254","52,508","85,535","52,789",61.59,61.72
(주)MH에탄올,23150,15-Dec,"78,691","57,570","78,996","57,884",73.16,73.27
(주)MH에탄올,23150,16-Dec,"72,025","63,258","72,340","63,582",87.83,87.89
(주)MH에탄올,23150,17-Dec,"107,437","64,699","500,180","106,837",60.22,21.36
(주)MH에탄올,23150,18-Dec,"109,657","68,472","440,178","91,585",62.44,20.81
(주)MH에탄올,23150,19-Dec,"101,059","59,478","451,474","79,389",58.85,17.58
(주)SH에너지화학,2360,10-Dec,"94,473","61,539","95,618","61,527",65.14,64.35
(주)SH에너지화학,2360,11-Dec,"102,383","64,499","104,711","65,242",63,62.31
(주)SH에너지화학,2360,12-Dec,"102,493","64,889","103,690","64,881",63.31,62.57
(주)SH에너지화학,2360,13-Dec,"109,985","69,782","110,489","69,599",63.45,62.99
(주)SH에너지화학,2360,14-Dec,"109,098","83,404","110,741","84,237",76.45,76.07
(주)SH에너지화학,2360,15-Dec,"114,048","90,740","115,521","91,646",79.56,79.33
(주)SH에너지화학,2360,16-Dec,"122,957","103,083","124,489","104,089",83.84,83.61
(주)SH에너지화학,2360,17-Dec,"123,262","105,718","125,312","107,693",85.77,85.94
(주)SH에너지화학,2360,18-Dec,"120,896","104,065","122,435","105,391",86.08,86.08
(주)SH에너지화학,2360,19-Dec,"121,126","97,386","123,416","99,000",80.4,80.22
(주)SIMPAC,9160,10-Dec,"260,176","136,119","269,452","145,325",52.32,53.93
(주)SIMPAC,9160,11-Dec,"296,953","155,833","310,879","168,941",52.48,54.34
(주)SIMPAC,9160,12-Dec,"307,367","177,830","318,666","187,861",57.86,58.95
(주)SIMPAC,9160,13-Dec,"349,837","197,901","361,986","208,831",56.57,57.69
(주)SIMPAC,9160,14-Dec,"329,326","203,905","381,939","219,125",61.92,57.37
(주)SIMPAC,9160,15-Dec,"369,349","220,088","422,833","232,008",59.59,54.87
(주)SIMPAC,9160,16-Dec,"366,245","228,959","417,865","240,417",62.52,57.53
(주)SIMPAC,9160,17-Dec,"343,005","223,782","381,158","240,826",65.24,63.18
(주)SIMPAC,9160,18-Dec,"628,334","411,120","681,751","435,033",65.43,63.81
(주)SIMPAC,9160,19-Dec,"608,693","419,216","679,146","441,195",68.87,64.96
(주)SNT에너지,100840,10-Dec,"253,915","167,391",,,65.92,#DIV/0!
