회사명,거래소코드,회계년도,,,
(주)CMG제약,58820,11-Dec,,,
(주)CMG제약,58820,12-Dec,,,
(주)CMG제약,58820,13-Dec,,,
(주)CMG제약,58820,14-Dec,,,
(주)CMG제약,58820,15-Dec,,,
(주)CMG제약,58820,16-Dec,,,
(주)CMG제약,58820,17-Dec,,,
(주)CMG제약,58820,18-Dec,,,
(주)CMG제약,58820,19-Dec,,,
(주)DB하이텍,990,11-Dec,,,
(주)DB하이텍,990,12-Dec,,,
(주)DB하이텍,990,13-Dec,,,
(주)DB하이텍,990,14-Dec,,,
(주)DB하이텍,990,15-Dec,,,
(주)DB하이텍,990,16-Dec,,,
(주)DB하이텍,990,17-Dec,,,
(주)DB하이텍,990,18-Dec,,,
(주)DB하이텍,990,19-Dec,,,
(주)ES큐브,50120,11-Dec,,,
(주)ES큐브,50120,12-Dec,,,
(주)ES큐브,50120,13-Dec,,,
(주)ES큐브,50120,14-Dec,,,
(주)ES큐브,50120,15-Dec,,,
(주)ES큐브,50120,16-Dec,,,
(주)ES큐브,50120,17-Dec,,,
(주)ES큐브,50120,18-Dec,,,
(주)ES큐브,50120,19-Dec,,,
(주)MH에탄올,23150,11-Dec,,,
(주)MH에탄올,23150,12-Dec,,,
(주)MH에탄올,23150,13-Dec,,,
(주)MH에탄올,23150,14-Dec,,,
(주)MH에탄올,23150,15-Dec,,,
(주)MH에탄올,23150,16-Dec,,,
(주)MH에탄올,23150,17-Dec,,,
(주)MH에탄올,23150,18-Dec,,,
(주)MH에탄올,23150,19-Dec,,,
(주)STX,11810,11-Dec,,,
(주)STX,11810,12-Dec,,,
(주)STX,11810,13-Dec,,,
(주)STX,11810,14-Dec,,,
(주)STX,11810,15-Dec,,,
(주)STX,11810,16-Dec,,,
(주)STX,11810,17-Dec,,,
(주)STX,11810,18-Dec,,,
(주)STX,11810,19-Dec,,,
(주)TCC스틸,2710,11-Dec,,,
(주)TCC스틸,2710,12-Dec,,,
(주)TCC스틸,2710,13-Dec,,,
(주)TCC스틸,2710,14-Dec,,,
(주)TCC스틸,2710,15-Dec,,,
(주)TCC스틸,2710,16-Dec,,,
(주)TCC스틸,2710,17-Dec,,,
(주)TCC스틸,2710,18-Dec,,,
(주)TCC스틸,2710,19-Dec,,,
(주)강스템바이오텍,217730,15-Dec,,,
(주)강스템바이오텍,217730,16-Dec,,,
(주)강스템바이오텍,217730,17-Dec,,,
(주)강스템바이오텍,217730,18-Dec,,,
(주)강스템바이오텍,217730,19-Dec,,,
(주)강원에너지,114190,11-Nov,,,
(주)강원에너지,114190,12-Dec,,,
(주)강원에너지,114190,13-Dec,,,
(주)강원에너지,114190,14-Dec,,,
(주)강원에너지,114190,15-Dec,,,
(주)강원에너지,114190,16-Dec,,,
(주)강원에너지,114190,17-Dec,,,
(주)강원에너지,114190,18-Dec,,,
(주)강원에너지,114190,19-Dec,,,
(주)갤럭시아에스엠,11420,11-Dec,,,
(주)갤럭시아에스엠,11420,12-Dec,,,
(주)갤럭시아에스엠,11420,13-Dec,,,
(주)갤럭시아에스엠,11420,14-Dec,,,
(주)갤럭시아에스엠,11420,15-Dec,,,
(주)갤럭시아에스엠,11420,16-Dec,,,
(주)갤럭시아에스엠,11420,17-Dec,,,
(주)갤럭시아에스엠,11420,18-Dec,,,
(주)갤럭시아에스엠,11420,19-Dec,,,
