,회사명,거래소코드,회계년도,매출원가감소율,2011.mid,2012.mid,2013.mid,2014.mid,2015.mid,2016.mid,2017.mid,2018.mid,2019.mid
0,CMG제약,58820,Dec-11,-24.14,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
9,DB하이텍,990,Dec-11,-46.99,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
18,ES큐브,50120,Dec-11,-4.17,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
27,HJ중공업,97230,Dec-11,2.17,82.98,82.985,88,91.475,88.85,87.545,88.54,91.865,90.035
36,MH에탄올,23150,Dec-11,-2.41,59.36,59.41,58.53,60.8,64.89,65.23,68.2,66.59,68.22
45,SH에너지화학,2360,Dec-11,2.15,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
54,SIMPAC,9160,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
63,SNT에너지,100840,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
72,SNT홀딩스,36530,Dec-11,3.448275862,0,0,0,0,0,0,0,0,0
81,STX,11810,Dec-11,-1.086956522,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
90,TCC스틸,2710,Dec-11,3.260869565,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
99,가비아,79940,Dec-11,1.818181818,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
108,강스템바이오텍,217730,Dec-15,0,0,0,0,0,0,3.42,27.81,50.99,50.43
113,강원랜드,35250,Dec-11,13.95348837,67.98,72.14,62.29,66.33,69.36,72.25,70.8,70.51,58.36
122,강원에너지,114190,Nov-11,0,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
131,갤럭시아에스엠,11420,Dec-11,-2.43902439,67.98,72.14,62.29,66.33,69.36,72.25,70.8,70.51,58.36
140,경농,2100,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
149,경동나비엔,9450,Dec-11,2.702702703,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
158,경동도시가스,267290,Dec-17,0,91.06,91.5,92.2,91.89,89.76,87.27,87.11,87.65,86.35
161,경동인베스트,12320,Dec-11,2.127659574,91.06,91.5,92.2,91.89,89.76,87.27,87.11,87.65,86.35
170,경방,50,Dec-11,6.756756757,89.195,90.545,88.935,89.09,88.755,87.06,91.84,92.455,90.715
179,경보제약,214390,Dec-15,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
184,경인양행,12610,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
193,고려시멘트,198440,Dec-14,0,0,0,0,0,0,0,0,13.425,43.41
199,고영테크놀러지,98460,Dec-11,4.651162791,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
208,골드앤에스,35290,Dec-11,-4.411764706,39.575,41.175,43.375,44.96,56.37,53.67,54.175,47.75,53.78
217,골드퍼시픽,38530,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
226,골프존,215000,Dec-15,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
231,골프존뉴딘홀딩스,121440,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
240,광림,14200,Dec-11,0,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
249,광명전기,17040,Dec-11,1.136363636,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
258,광무,29480,Dec-11,6.097560976,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
