,회사명,거래소코드,회계년도,매출원가감소율,채울열
0,AJ네트웍스,95570,15-Dec,,0
1,AJ네트웍스,95570,16-Dec,,0
2,AJ네트웍스,95570,17-Dec,,0
3,AJ네트웍스,95570,18-Dec,,18.04
4,AJ네트웍스,95570,19-Dec,,0
0,CMG제약,58820,11-Dec,-24.14,41.73
1,CMG제약,58820,12-Dec,19.44,41.84
2,CMG제약,58820,13-Dec,-18.03,43.25
3,CMG제약,58820,14-Dec,3.17,44.93
4,CMG제약,58820,15-Dec,1.56,48.21
5,CMG제약,58820,16-Dec,-6.67,52.51
6,CMG제약,58820,17-Dec,-5.26,52.32
7,CMG제약,58820,18-Dec,-5.56,54.69
8,CMG제약,58820,19-Dec,-5.88,57.6
0,CS홀딩스,590,11-Dec,-1.204819277,0
1,CS홀딩스,590,12-Dec,2.352941176,0
2,CS홀딩스,590,13-Dec,-6.25,0
3,CS홀딩스,590,14-Dec,-5.263157895,0
4,CS홀딩스,590,15-Dec,-4.109589041,0
5,CS홀딩스,590,16-Dec,0,0
6,CS홀딩스,590,17-Dec,1.351351351,0
7,CS홀딩스,590,18-Dec,3.896103896,0
8,CS홀딩스,590,19-Dec,-2.666666667,0
0,DB하이텍,990,11-Dec,-46.99,78.63
1,DB하이텍,990,12-Dec,1.19,79.75
2,DB하이텍,990,13-Dec,-2.44,81.65
3,DB하이텍,990,14-Dec,-7.89,81.58
4,DB하이텍,990,15-Dec,-15.15,81.36
5,DB하이텍,990,16-Dec,-6.45,82.3
6,DB하이텍,990,17-Dec,1.59,81.2
7,DB하이텍,990,18-Dec,7.35,81.97
8,DB하이텍,990,19-Dec,-6.25,81.8
0,ES큐브,50120,11-Dec,-4.17,80.81
1,ES큐브,50120,12-Dec,0,81.77
2,ES큐브,50120,13-Dec,4,80.31
3,ES큐브,50120,14-Dec,5.06,80.28
4,ES큐브,50120,15-Dec,-9.72,81.66
5,ES큐브,50120,16-Dec,-1.41,82.9
6,ES큐브,50120,17-Dec,2.74,82.45
7,ES큐브,50120,18-Dec,5.19,83.32
8,ES큐브,50120,19-Dec,4.94,83.47
0,HD현대,267250,17-Dec,,0
1,HD현대,267250,18-Dec,3.225806452,0
2,HD현대,267250,19-Dec,0,0
0,HJ중공업,97230,11-Dec,2.17,82.98
1,HJ중공업,97230,12-Dec,1.08,82.985
2,HJ중공업,97230,13-Dec,4.12,88
3,HJ중공업,97230,14-Dec,3.96,91.475
4,HJ중공업,97230,15-Dec,-5.21,88.85
5,HJ중공업,97230,16-Dec,2.04,87.545
6,HJ중공업,97230,17-Dec,1.01,88.54
7,HJ중공업,97230,18-Dec,-7.61,91.865
8,HJ중공업,97230,19-Dec,-3.37,90.035
0,KB오토시스,24120,11-Dec,1.063829787,86.155
1,KB오토시스,24120,12-Dec,-5.617977528,87.3
2,KB오토시스,24120,13-Dec,0,87.315
3,KB오토시스,24120,14-Dec,0,87.805
4,KB오토시스,24120,15-Dec,-2.298850575,86.72
5,KB오토시스,24120,16-Dec,-3.571428571,87.335
6,KB오토시스,24120,17-Dec,0,88.505
