,회사명,거래소코드,회계년도,매출원가감소율
0,CMG제약,58820,2011-12,-24.14
9,DB하이텍,990,2011-12,-46.99
18,ES큐브,50120,2011-12,-4.17
27,HJ중공업,97230,2011-12,2.17
36,MH에탄올,23150,2011-12,-2.41
45,SH에너지화학,2360,2011-12,2.15
54,SIMPAC,9160,2011-12,0
63,SNT에너지,100840,2011-12,0
72,SNT홀딩스,36530,2011-12,3.448275862
81,STX,11810,2011-12,-1.086956522
90,TCC스틸,2710,2011-12,3.260869565
99,가비아,79940,2011-12,1.818181818
108,강스템바이오텍,217730,2015-12,0
113,강원랜드,35250,2011-12,13.95348837
122,강원에너지,114190,2011-11,0
131,갤럭시아에스엠,11420,2011-12,-2.43902439
140,경농,2100,2011-12,0
149,경동나비엔,9450,2011-12,2.702702703
158,경동도시가스,267290,2017-12,0
161,경동인베스트,12320,2011-12,2.127659574
170,경방,50,2011-12,6.756756757
179,경보제약,214390,2015-12,0
184,경인양행,12610,2011-12,0
193,고려시멘트,198440,2014-12,0
199,고영테크놀러지,98460,2011-12,4.651162791
208,골드앤에스,35290,2011-12,-4.411764706
217,골드퍼시픽,38530,2011-12,0
226,골프존,215000,2015-12,0
231,골프존뉴딘홀딩스,121440,2011-12,0
240,광림,14200,2011-12,0
249,광명전기,17040,2011-12,1.136363636
258,광무,29480,2011-12,6.097560976
267,광신세계,37710,2011-12,0
276,구영테크,53270,2011-12,2.272727273
285,국동,5320,2011-12,1.149425287
294,국보,1140,2011-12,2.150537634
303,국보디자인,66620,2011-12,0
312,국순당,43650,2011-12,14.03508772
321,국영지앤엠,6050,2011-12,0
330,국전약품,307750,2018-12,0
332,그래디언트,35080,2011-12,1.515151515
341,그리티,204020,2018-12,0
343,그린플러스,186230,2019-12,0
344,글로벌스탠다드테크놀로지,83450,2011-12,3.225806452
353,금비,8870,2011-09,0
362,금양,1570,2011-12,0
371,금호에이치티,214330,2015-12,0
376,금화피에스시,36190,2011-12,0
385,기가레인,49080,2013-12,0
392,기산텔레콤,35460,2011-12,10.11235955
401,까뮤이앤씨,13700,2011-12,0
410,까스텔바작,308100,2019-12,0
411,나노,187790,2014-12,0
417,나노브릭,286750,2019-12,0
418,나노신소재,121600,2011-12,0
427,나노엔텍,39860,2011-12,12.76595745
436,나무가,190510,2015-12,0
441,나스미디어,89600,2013-12,0
448,나이벡,138610,2011-12,0
457,나이스디앤비,130580,2011-12,0
466,나이스홀딩스,34310,2011-12,0
475,나인테크,267320,2017-12,0
478,남선알미늄,8350,2011-12,1.098901099
487,남성,4270,2011-12,0
496,내츄럴엔도텍,168330,2013-12,0
503,네오리진,94860,2011-12,2.409638554
512,네오셈,253590,2018-12,0
514,네오오토,212560,2015-12,0
519,네오위즈,95660,2011-12,0
528,네오위즈홀딩스,42420,2011-12,0
537,네오크레마,311390,2019-12,0
538,네오티스,85910,2011-12,0
547,네오팜,92730,2011-12,0
556,네오펙트,290660,2018-12,0
558,네온테크,306620,2018-12,0
560,네이블커뮤니케이션즈,153460,2012-12,0
568,네이처셀,7390,2011-12,0
577,네패스,33640,2011-12,2.409638554
586,넥센,5720,2011-12,3.488372093
595,넥스턴바이오사이언스,89140,2011-12,0
604,넥스트아이,137940,2011-12,0
613,넥스트엔터테인먼트월드,160550,2014-12,0
619,넥슨게임즈,225570,2015-12,0
624,넵튠,217270,2015-12,0
629,노랑풍선,104620,2019-12,0
630,노루페인트,90350,2011-12,1.234567901
639,노루홀딩스,320,2011-12,1.25
648,노바렉스,194700,2018-12,0
650,노바텍,285490,2018-12,0
652,노블엠앤비,106520,2012-12,0
660,노터스,278650,2019-12,0
661,녹십자,6280,2011-12,10.60606061
670,녹십자엠에스,142280,2014-12,0
676,녹십자웰빙,234690,2019-12,0
677,녹십자홀딩스,5250,2011-12,9.230769231
686,녹원씨엔아이,65560,2011-12,-2.985074627
695,농심,4370,2011-12,4.109589041
704,농심홀딩스,72710,2011-12,1.176470588
713,누리플랜,69140,2011-12,2.597402597
722,누리플렉스,40160,2011-12,8.695652174
731,누보,332290,2019-12,0
732,뉴로스,126870,2012-12,0
740,뉴보텍,60260,2011-12,0
749,뉴인텍,12340,2011-12,2.272727273
758,뉴트리,270870,2018-12,0
760,뉴파워프라즈마,144960,2016-12,0
764,뉴프렉스,85670,2011-12,-2.222222222
773,다나와,119860,2011-12,0
782,다날,64260,2011-12,0
791,다보링크,340360,2019-12,0
792,다산네트웍스,39560,2011-12,5.970149254
801,다우기술,23590,2011-12,-7.407407407
810,다우데이타,32190,2011-12,-5.084745763
819,다원시스,68240,2011-12,0
828,다이나믹디자인,145210,2015-12,0
833,대교,19680,2011-12,0
842,대구백화점,6370,2011-03,0
851,대덕,8060,2011-12,3.370786517
860,대동,490,2011-12,1.282051282
869,대동스틸,48470,2011-12,0
878,대륙제관,4780,2011-12,0
887,대림제지,17650,2011-12,0
896,대명소노시즌,7720,2011-12,13.0952381
905,대성미생물연구소,36480,2011-12,0
914,대성엘텍,25440,2011-12,6.12244898
923,대성파인텍,104040,2011-12,-3.896103896
932,대양금속,9190,2011-12,15.88785047
941,대우건설,47040,2011-12,-8.888888889
950,대웅,3090,2011-12,9.677419355
959,대웅제약,69620,2011-12,0
968,대원,7680,2017-12,0
971,대유,290380,2018-12,0
973,대유에이텍,2880,2011-12,2.173913043
982,대유에이피,290120,2018-12,0
984,대유플러스,300,2011-12,2.127659574
993,대창,12800,2011-12,3.157894737
1002,대창솔루션,96350,2011-12,0
1011,대창스틸,140520,2014-12,0
1017,대한과학,131220,2011-12,0
1026,대한항공,3490,2011-12,9.302325581
1035,대현,16090,2011-12,0
1044,대호에이엘,69460,2011-12,1.111111111
1053,대호특수강,21040,2011-12,0
1062,더 미동,161570,2013-12,0
1069,더블유게임즈,192080,2019-12,0
1070,더블유아이,73570,2011-12,2.150537634
1079,더블유에스아이,299170,2018-12,0
1081,더존비즈온,12510,2011-12,8.333333333
1090,덕산테코피아,317330,2019-12,0
1091,덕성,4830,2011-12,1.098901099
1100,덕신하우징,90410,2014-12,0
1106,데이타솔루션,263800,2017-12,0
1109,덱스터스튜디오,206560,2015-12,0
1114,덴티스,261200,2017-12,0
1117,덴티움,145720,2017-12,0
1120,도화엔지니어링,2150,2011-12,0
1129,동구바이오제약,6620,2018-12,0
1131,동국알앤에스,75970,2011-12,-1.176470588
1140,동국에스엔씨,100130,2011-12,-2.197802198
1149,동남합성,23450,2011-12,0
1158,동방,4140,2011-12,1.111111111
1167,동방선기,99410,2011-12,0
1176,동방아그로,7590,2011-12,1.428571429
1185,동서,26960,2016-12,0
1189,동성케미컬,102260,2011-12,3.448275862
