,회사명,회계년도,거래소코드_x,매출원가율,매출원가율여부,거래소코드_y,매출원가감소율,산업중간값
0,AJ네트웍스,15-Dec,95570,0.93,,95570,,0.0
1,AJ네트웍스,16-Dec,95570,0.95,,95570,,0.0
2,AJ네트웍스,17-Dec,95570,0.57,,95570,,0.0
3,AJ네트웍스,18-Dec,95570,1.01,,95570,,18.04
4,AJ네트웍스,19-Dec,95570,0.99,,95570,,0.0
5,CMG제약,11-Dec,58820,0.58,,58820,-24.14,41.73
6,CMG제약,12-Dec,58820,0.72,,58820,19.44,41.84
7,CMG제약,13-Dec,58820,0.61,,58820,-18.03,43.25
8,CMG제약,14-Dec,58820,0.63,,58820,3.17,44.93
9,CMG제약,15-Dec,58820,0.64,,58820,1.56,48.21
10,CMG제약,16-Dec,58820,0.6,,58820,-6.67,52.51
11,CMG제약,17-Dec,58820,0.57,,58820,-5.26,52.32
12,CMG제약,18-Dec,58820,0.54,,58820,-5.56,54.69
13,CMG제약,19-Dec,58820,0.51,,58820,-5.88,57.6
14,DB하이텍,11-Dec,990,0.83,,990,-46.99,78.63
15,DB하이텍,12-Dec,990,0.84,,990,1.19,79.75
16,DB하이텍,13-Dec,990,0.82,,990,-2.44,81.65
17,DB하이텍,14-Dec,990,0.76,,990,-7.89,81.58
18,DB하이텍,15-Dec,990,0.66,,990,-15.15,81.36
19,DB하이텍,16-Dec,990,0.62,,990,-6.45,82.3
20,DB하이텍,17-Dec,990,0.63,,990,1.59,81.2
21,DB하이텍,18-Dec,990,0.68,,990,7.35,81.97
22,DB하이텍,19-Dec,990,0.64,,990,-6.25,81.8
23,ES큐브,11-Dec,50120,0.72,,50120,-4.17,80.81
24,ES큐브,12-Dec,50120,0.72,,50120,0,81.77
25,ES큐브,13-Dec,50120,0.75,,50120,4,80.31
26,ES큐브,14-Dec,50120,0.79,,50120,5.06,80.28
27,ES큐브,15-Dec,50120,0.72,,50120,-9.72,81.66
28,ES큐브,16-Dec,50120,0.71,,50120,-1.41,82.9
29,ES큐브,17-Dec,50120,0.73,,50120,2.74,82.45
30,ES큐브,18-Dec,50120,0.77,,50120,5.19,83.32
31,ES큐브,19-Dec,50120,0.81,,50120,4.94,83.47
32,HJ중공업,11-Dec,97230,0.92,,97230,2.17,82.98
33,HJ중공업,12-Dec,97230,0.93,,97230,1.08,82.985
34,HJ중공업,13-Dec,97230,0.97,,97230,4.12,88.0
35,HJ중공업,14-Dec,97230,1.01,,97230,3.96,91.475
36,HJ중공업,15-Dec,97230,0.96,,97230,-5.21,88.85
37,HJ중공업,16-Dec,97230,0.98,,97230,2.04,87.545
38,HJ중공업,17-Dec,97230,0.99,,97230,1.01,88.54
39,HJ중공업,18-Dec,97230,0.92,,97230,-7.61,91.865
40,HJ중공업,19-Dec,97230,0.89,,97230,-3.37,90.035
41,KD,11-Dec,44180,0.87,,44180,1.149425287,73.85
42,KD,12-Dec,44180,0.8,,44180,-8.75,75.13
43,KD,13-Dec,44180,0.95,,44180,15.78947368,74.77
44,KD,14-Dec,44180,1.02,,44180,6.862745098,76.93
45,KD,15-Dec,44180,0.82,,44180,-24.3902439,77.48
46,KD,16-Dec,44180,0.83,,44180,1.204819277,78.73
47,KD,17-Dec,44180,0.92,,44180,9.782608696,80.02
48,KD,18-Dec,44180,0.83,,44180,-10.84337349,81.15
49,KD,19-Dec,44180,0.82,,44180,-1.219512195,80.98
50,KG스틸,11-Dec,16380,0.94,,16380,2.127659574,90.89
51,KG스틸,12-Dec,16380,0.94,,16380,0,91.46
52,KG스틸,13-Dec,16380,0.94,,16380,0,91.98
53,KG스틸,14-Dec,16380,0.96,,16380,2.083333333,91.175
54,KG스틸,15-Dec,16380,0.89,,16380,-7.865168539,90.055
55,KG스틸,16-Dec,16380,0.87,,16380,-2.298850575,89.125
56,KG스틸,17-Dec,16380,0.94,,16380,7.446808511,90.23
57,KG스틸,18-Dec,16380,0.96,,16380,2.083333333,91.965
58,KG스틸,19-Dec,16380,0.94,,16380,-2.127659574,92.405
59,LG이노텍,11-Dec,11070,0.91,,11070,4.395604396,78.63
60,LG이노텍,12-Dec,11070,0.89,,11070,-2.247191011,79.75
61,LG이노텍,13-Dec,11070,0.89,,11070,0,81.65
62,LG이노텍,14-Dec,11070,0.87,,11070,-2.298850575,81.58
63,LG이노텍,15-Dec,11070,0.87,,11070,0,81.36
64,LG이노텍,16-Dec,11070,0.89,,11070,2.247191011,82.3
65,LG이노텍,17-Dec,11070,0.88,,11070,-1.136363636,81.2
66,LG이노텍,18-Dec,11070,0.89,,11070,1.123595506,81.97
67,LG이노텍,19-Dec,11070,0.88,,11070,-1.136363636,81.8
68,MH에탄올,11-Dec,23150,0.83,,23150,-2.41,59.36
69,MH에탄올,12-Dec,23150,0.82,,23150,-1.22,59.41
70,MH에탄올,13-Dec,23150,0.87,,23150,5.75,58.53
71,MH에탄올,14-Dec,23150,0.76,,23150,-14.47,60.8
72,MH에탄올,15-Dec,23150,0.72,,23150,-5.56,64.89
73,MH에탄올,16-Dec,23150,0.69,,23150,-4.35,65.23
74,MH에탄올,17-Dec,23150,0.72,,23150,4.17,68.2
75,MH에탄올,18-Dec,23150,0.74,,23150,2.7,66.59
76,MH에탄올,19-Dec,23150,0.67,,23150,-10.45,68.22
77,OCI,11-Dec,10060,0.65,,10060,3.076923077,77.91
78,OCI,12-Dec,10060,0.84,,10060,22.61904762,80.41
79,OCI,13-Dec,10060,0.92,,10060,8.695652174,80.36
80,OCI,14-Dec,10060,0.84,,10060,-9.523809524,79.71
81,OCI,15-Dec,10060,0.96,,10060,12.5,77.5
82,OCI,16-Dec,10060,0.88,,10060,-9.090909091,77.25
83,OCI,17-Dec,10060,0.86,,10060,-2.325581395,78.45
84,OCI,18-Dec,10060,0.88,,10060,2.272727273,81.48
85,OCI,19-Dec,10060,0.98,,10060,10.20408163,79.49
86,SH에너지화학,11-Dec,2360,0.93,,2360,2.15,77.91
87,SH에너지화학,12-Dec,2360,0.92,,2360,-1.09,80.41
88,SH에너지화학,13-Dec,2360,0.92,,2360,0,80.36
89,SH에너지화학,14-Dec,2360,0.86,,2360,-6.98,79.71
90,SH에너지화학,15-Dec,2360,0.83,,2360,-3.61,77.5
91,SH에너지화학,16-Dec,2360,0.82,,2360,-1.22,77.25
92,SH에너지화학,17-Dec,2360,0.86,,2360,4.65,78.45
93,SH에너지화학,18-Dec,2360,0.93,,2360,7.53,81.48
94,SH에너지화학,19-Dec,2360,0.95,,2360,2.11,79.49
95,SK이노베이션,11-Dec,96770,0.93,,96770,0,0.0
96,SK이노베이션,12-Dec,96770,0.95,,96770,2.105263158,0.0
97,SK이노베이션,13-Dec,96770,0.95,,96770,0,0.0
98,SK이노베이션,14-Dec,96770,0.98,,96770,3.06122449,0.0
99,SK이노베이션,15-Dec,96770,0.91,,96770,-7.692307692,0.0
100,SK이노베이션,16-Dec,96770,0.87,,96770,-4.597701149,0.0
101,SK이노베이션,17-Dec,96770,0.88,,96770,1.136363636,0.0
102,SK이노베이션,18-Dec,96770,0.93,,96770,5.376344086,0.0
103,SK이노베이션,19-Dec,96770,0.94,,96770,1.063829787,0.0
104,SNT에너지,11-Dec,100840,1,,100840,0,73.85
105,SNT에너지,12-Dec,100840,1,,100840,0,75.13
106,SNT에너지,13-Dec,100840,1,,100840,0,74.77
107,SNT에너지,14-Dec,100840,1,,100840,0,76.93
108,SNT에너지,15-Dec,100840,1,,100840,0,77.48
109,SNT에너지,16-Dec,100840,1,,100840,0,78.73
110,SNT에너지,17-Dec,100840,1,,100840,0,80.02
111,SNT에너지,18-Dec,100840,1,,100840,0,81.15
112,SNT에너지,19-Dec,100840,0.83,,100840,0,80.98
113,SNT중공업,11-Dec,3570,0.85,,3570,1.176470588,86.155
114,SNT중공업,12-Dec,3570,0.87,,3570,2.298850575,87.3
115,SNT중공업,13-Dec,3570,0.92,,3570,5.434782609,87.315
116,SNT중공업,14-Dec,3570,0.96,,3570,4.166666667,87.805
117,SNT중공업,15-Dec,3570,0.88,,3570,-9.090909091,86.72
118,SNT중공업,16-Dec,3570,0.95,,3570,7.368421053,87.335
119,SNT중공업,17-Dec,3570,0.94,,3570,-1.063829787,88.505
120,SNT중공업,18-Dec,3570,0.88,,3570,-6.818181818,89.65
121,SNT중공업,19-Dec,3570,0.9,,3570,2.222222222,89.98
122,STX,11-Dec,11810,0.96,,11810,-1.086956522,80.81
123,STX,12-Dec,11810,1.03,,11810,10.67961165,81.77
124,STX,13-Dec,11810,1.28,,11810,19.53125,80.31
125,STX,14-Dec,11810,0.95,,11810,-37.6344086,80.28
126,STX,15-Dec,11810,0.99,,11810,4.12371134,81.66
127,STX,16-Dec,11810,0.95,,11810,-2.105263158,82.9
128,STX,17-Dec,11810,0.97,,11810,0,82.45
129,STX,18-Dec,11810,0.99,,11810,4.04040404,83.32
130,STX,19-Dec,11810,0.99,,11810,-2.06185567,83.47
131,STX엔진,11-Dec,77970,0.86,,77970,0,73.85
132,STX엔진,12-Dec,77970,9.01,,77970,4.444444444,75.13
133,STX엔진,13-Dec,77970,0.97,,77970,7.216494845,74.77
