,회사명,회계년도,거래소코드_x,매출원가율,매출원가감소율,산업중간값,산업중간값여부,감소율여부,매출원가감소율여부
0,AJ네트웍스,15-Dec,95570,0.93,0,0.0,1,0,1
1,AJ네트웍스,16-Dec,95570,0.95,0,0.0,1,0,1
2,AJ네트웍스,17-Dec,95570,0.57,0,0.0,1,0,1
3,AJ네트웍스,18-Dec,95570,1.01,0,18.04,0,0,0
4,AJ네트웍스,19-Dec,95570,0.99,0,0.0,1,0,1
5,CMG제약,11-Dec,58820,0.58,-24.14,41.73,0,1,1
6,CMG제약,12-Dec,58820,0.72,19.44,41.84,0,0,0
7,CMG제약,13-Dec,58820,0.61,-18.03,43.25,0,0,0
8,CMG제약,14-Dec,58820,0.63,3.17,44.93,0,0,0
9,CMG제약,15-Dec,58820,0.64,1.56,48.21,0,0,0
10,CMG제약,16-Dec,58820,0.6,-6.67,52.51,0,0,0
11,CMG제약,17-Dec,58820,0.57,-5.26,52.32,0,0,0
12,CMG제약,18-Dec,58820,0.54,-5.56,54.69,0,0,0
13,CMG제약,19-Dec,58820,0.51,-5.88,57.6,0,0,0
14,DB하이텍,11-Dec,990,0.83,-46.99,78.63,0,1,1
15,DB하이텍,12-Dec,990,0.84,1.19,79.75,0,0,0
16,DB하이텍,13-Dec,990,0.82,-2.44,81.65,0,0,0
17,DB하이텍,14-Dec,990,0.76,-7.89,81.58,0,0,0
18,DB하이텍,15-Dec,990,0.66,-15.15,81.36,0,0,0
19,DB하이텍,16-Dec,990,0.62,-6.45,82.3,0,0,0
20,DB하이텍,17-Dec,990,0.63,1.59,81.2,0,0,0
21,DB하이텍,18-Dec,990,0.68,7.35,81.97,0,0,0
22,DB하이텍,19-Dec,990,0.64,-6.25,81.8,0,0,0
23,ES큐브,11-Dec,50120,0.72,-4.17,80.81,0,0,0
24,ES큐브,12-Dec,50120,0.72,0,81.77,0,0,0
25,ES큐브,13-Dec,50120,0.75,4,80.31,0,0,0
26,ES큐브,14-Dec,50120,0.79,5.06,80.28,0,0,0
27,ES큐브,15-Dec,50120,0.72,-9.72,81.66,0,0,0
28,ES큐브,16-Dec,50120,0.71,-1.41,82.9,0,0,0
29,ES큐브,17-Dec,50120,0.73,2.74,82.45,0,0,0
30,ES큐브,18-Dec,50120,0.77,5.19,83.32,0,0,0
31,ES큐브,19-Dec,50120,0.81,4.94,83.47,0,0,0
32,HJ중공업,11-Dec,97230,0.92,2.17,82.98,0,0,0
33,HJ중공업,12-Dec,97230,0.93,1.08,82.985,0,0,0
34,HJ중공업,13-Dec,97230,0.97,4.12,88.0,0,0,0
35,HJ중공업,14-Dec,97230,1.01,3.96,91.475,0,0,0
36,HJ중공업,15-Dec,97230,0.96,-5.21,88.85,0,0,0
37,HJ중공업,16-Dec,97230,0.98,2.04,87.545,0,0,0
38,HJ중공업,17-Dec,97230,0.99,1.01,88.54,0,0,0
39,HJ중공업,18-Dec,97230,0.92,-7.61,91.865,0,0,0
40,HJ중공업,19-Dec,97230,0.89,-3.37,90.035,0,0,0
41,KD,11-Dec,44180,0.87,1.149425287,73.85,0,0,0
42,KD,12-Dec,44180,0.8,-8.75,75.13,0,0,0
43,KD,13-Dec,44180,0.95,15.78947368,74.77,0,0,0
44,KD,14-Dec,44180,1.02,6.862745098,76.93,0,0,0
45,KD,15-Dec,44180,0.82,-24.3902439,77.48,0,1,1
46,KD,16-Dec,44180,0.83,1.204819277,78.73,0,0,0
47,KD,17-Dec,44180,0.92,9.782608696,80.02,0,0,0
48,KD,18-Dec,44180,0.83,-10.84337349,81.15,0,0,0
49,KD,19-Dec,44180,0.82,-1.219512195,80.98,0,0,0
50,KG스틸,11-Dec,16380,0.94,2.127659574,90.89,0,0,0
