,회사명,거래소코드,회계년도,변화율여부
0,CMG제약,58820,Dec-10,0
1,CMG제약,58820,Dec-11,0
2,CMG제약,58820,Dec-12,0
3,CMG제약,58820,Dec-13,0
4,CMG제약,58820,Dec-14,0
5,CMG제약,58820,Dec-15,0
6,CMG제약,58820,Dec-16,0
7,CMG제약,58820,Dec-17,0
8,CMG제약,58820,Dec-18,0
9,CMG제약,58820,Dec-19,0
10,DB하이텍,990,Dec-10,0
11,DB하이텍,990,Dec-11,0
12,DB하이텍,990,Dec-12,0
13,DB하이텍,990,Dec-13,0
14,DB하이텍,990,Dec-14,0
15,DB하이텍,990,Dec-15,0
16,DB하이텍,990,Dec-16,0
17,DB하이텍,990,Dec-17,0
18,DB하이텍,990,Dec-18,0
19,DB하이텍,990,Dec-19,0
20,ES큐브,50120,Dec-10,0
21,ES큐브,50120,Dec-11,0
22,ES큐브,50120,Dec-12,0
23,ES큐브,50120,Dec-13,0
24,ES큐브,50120,Dec-14,0
25,ES큐브,50120,Dec-15,0
26,ES큐브,50120,Dec-16,0
27,ES큐브,50120,Dec-17,0
28,ES큐브,50120,Dec-18,0
29,ES큐브,50120,Dec-19,0
30,HJ중공업,97230,Dec-10,0
31,HJ중공업,97230,Dec-11,0
32,HJ중공업,97230,Dec-12,0
33,HJ중공업,97230,Dec-13,0
34,HJ중공업,97230,Dec-14,0
35,HJ중공업,97230,Dec-15,0
36,HJ중공업,97230,Dec-16,0
37,HJ중공업,97230,Dec-17,0
38,HJ중공업,97230,Dec-18,0
39,HJ중공업,97230,Dec-19,0
40,MH에탄올,23150,Dec-10,0
41,MH에탄올,23150,Dec-11,0
42,MH에탄올,23150,Dec-12,0
43,MH에탄올,23150,Dec-13,0
44,MH에탄올,23150,Dec-14,0
45,MH에탄올,23150,Dec-15,0
46,MH에탄올,23150,Dec-16,0
47,MH에탄올,23150,Dec-17,0
48,MH에탄올,23150,Dec-18,0
49,MH에탄올,23150,Dec-19,0
50,SH에너지화학,2360,Dec-10,0
51,SH에너지화학,2360,Dec-11,0
52,SH에너지화학,2360,Dec-12,0
53,SH에너지화학,2360,Dec-13,0
54,SH에너지화학,2360,Dec-14,0
55,SH에너지화학,2360,Dec-15,0
56,SH에너지화학,2360,Dec-16,0
57,SH에너지화학,2360,Dec-17,0
58,SH에너지화학,2360,Dec-18,0
59,SH에너지화학,2360,Dec-19,0
60,SIMPAC,9160,Dec-10,0
61,SIMPAC,9160,Dec-11,0
62,SIMPAC,9160,Dec-12,0
63,SIMPAC,9160,Dec-13,0
64,SIMPAC,9160,Dec-14,0
65,SIMPAC,9160,Dec-15,0
66,SIMPAC,9160,Dec-16,0
67,SIMPAC,9160,Dec-17,0
68,SIMPAC,9160,Dec-18,0
69,SIMPAC,9160,Dec-19,0
70,SNT에너지,100840,Dec-10,0
71,SNT에너지,100840,Dec-11,0
72,SNT에너지,100840,Dec-12,0
73,SNT에너지,100840,Dec-13,0
74,SNT에너지,100840,Dec-14,0
75,SNT에너지,100840,Dec-15,0
76,SNT에너지,100840,Dec-16,0
77,SNT에너지,100840,Dec-17,0
78,SNT에너지,100840,Dec-18,0
79,SNT에너지,100840,Dec-19,0
80,SNT홀딩스,36530,Dec-10,0
81,SNT홀딩스,36530,Dec-11,0
82,SNT홀딩스,36530,Dec-12,0
83,SNT홀딩스,36530,Dec-13,0
