회사명,거래소코드,2010매출액(수익)(*)(IFRS연결)(천원),2010매출원가(*)(IFRS연결)(천원),2011매출액(수익)(*)(IFRS연결)(천원),2011매출원가(*)(IFRS연결)(천원),2012매출액(수익)(*)(IFRS연결)(천원),2012매출원가(*)(IFRS연결)(천원),2013매출액(수익)(*)(IFRS연결)(천원),2013매출원가(*)(IFRS연결)(천원),2014매출액(수익)(*)(IFRS연결)(천원),2014매출원가(*)(IFRS연결)(천원),2015매출액(수익)(*)(IFRS연결)(천원),2015매출원가(*)(IFRS연결)(천원),2016매출액(수익)(*)(IFRS연결)(천원),2016매출원가(*)(IFRS연결)(천원),2017매출액(수익)(*)(IFRS연결)(천원),2017매출원가(*)(IFRS연결)(천원),2018매출액(수익)(*)(IFRS연결)(천원),2018매출원가(*)(IFRS연결)(천원),2019매출액(수익)(*)(IFRS연결)(천원),2019매출원가(*)(IFRS연결)(천원)
(주)CMG제약,58820,11350419,8217627,17751704,10325799,16255389,11648690,20402140,12506817,22752584,14318048,27041894,17237814,32969825,19663389,41535588,23497552,49864782,27124841,58622681,29700050
(주)DB하이텍,990,620043034,753813405,552216245,460440945,590786488,494003057,493752028,404500718,567718224,430813375,666594987,436915515,773140180,483129939,679737744,426170592,669279136,453942755,807416423,513292637
(주)ES큐브,50120,43887335,32966862,53379952,38476771,55971147,40290541,58597361,44088670,44459581,34936541,42152967,30433006,34289385,24454448,35745794,26057940,33763508,26036057,43708239,35510791
(주)HJ중공업,97230,3167774000,2841789000,2891499000,2664558000,2549319000,2358260000,2529341000,2464368000,2520325000,2537259000,3115473000,3004437000,2813271000,2753545000,2452314000,2431066000,1697869000,1557089000,1628751000,1451267000
(주)MH에탄올,23150,55048463,46932516,44785159,37258514,59768175,49030452,62199887,54316861,48983781,37109977,50386203,36425005,48897025,33962392,51977132,37225576,72795863,53524709,80879342,54219181
(주)SH에너지화학,2360,150630768,137805193,173209351,160789710,193950102,178829327,231912218,213952261,230912587,197661842,216441364,179135051,218397677,179759098,188114822,161824273,183598766,171330094,140852575,134184400
(주)SIMPAC,9160,181795010,143921095,215365697,170409718,225353321,182861979,205751154,164405183,263152264,220084616,269528038,221412942,267074156,217713888,230634812,193009825,306150809,271995017,430085162,385305111
(주)SNT에너지,100840,,,,,,,,,,,,,,,,,,,213326726,177635077
(주)SNT홀딩스,36530,1500160508,1254983399,1663846065,1449348821,1668749904,1465168699,1576368464,1379201925,1552374806,1380123821,1612746929,1331347191,1537700275,1336617769,1508152132,1303372403,1401307482,1221120349,1512114565,1284171398
(주)STX,11810,4045884000,3780427000,5967701000,5516021000,6159850000,6353608000,2449401000,3140865000,1634606000,1513363000,1630827000,1586081000,1720153000,1635394000,1803878000,1718572000,1502985000,1483048000,1471164000,1424697000
(주)TCC스틸,2710,460900040,411174924,514424043,472273637,501337475,457927934,500832754,474104834,518995240,483588495,495795871,451936886,444453635,402898839,391370092,356978389,413176279,377890304,437173902,405618477
(주)가비아,79940,40623302,21744253,52838864,29173840,69058144,40302408,70675565,38882747,80432047,45275795,91648622,50078893,102178978,54998617,116217941,60313364,128728438,65751367,148306878,75650385
(주)강스템바이오텍,217730,,,,,,,,,,,,,,,9132939,5874047,9165454,7988195,6004584,6428945
(주)강원랜드,35250,1313788411,490130911,1265686425,538388479,1296191223,647845564,1361286598,726091776,1496541441,722297880,1633716839,759645970,1696532511,785177091,1604470055,787533848,1438059299,729593460,1520080449,736659054
(주)강원에너지,114190,,,,,,,,,,,46188664,38265188,42287473,35270278,82034829,81169717,85905365,80012233,42549622,48688856
(주)갤럭시아에스엠,11420,56624254,47615806,47331427,38695073,55049732,47555420,46437304,41764586,43885894,40216941,62472754,56009656,52626331,51678856,37281280,37435336,22060413,27428110,28732679,26937800
(주)경농,2100,143433922,93364157,121253605,79220101,136970449,87614008,196358952,129161139,188483147,122779838,196418710,127105636,203984939,135371879,206534382,138859895,212654617,139911460,227510941,153098094
(주)경동나비엔,9450,307182060,222260842,341246917,251540613,379014259,282583068,414177562,296168554,428985365,313840608,512031120,352051189,583252904,382333051,684660958,446078996,726741615,487844378,774290704,509635845
(주)경동도시가스,267290,,,,,,,,,,,,,,,871548284,793238142,1606531867,1480519376,1422707835,1310188918
(주)경동인베스트,12320,1360542926,1254462850,1847666903,1739469751,2502642394,2381579037,2788264380,2659198011,2603059058,2470957525,1604168482,1520436435,1181902637,1064804018,195069859,140724518,228644016,171130400,271765025,223338232
(주)경방,50,339355972,233166690,348136369,258814443,333620804,260837041,347189559,251468225,329036023,238357806,357628146,255868653,377445013,268352680,360788750,253442168,351438926,244043108,343892085,244396020
(주)경보제약,214390,,,,,,,,,,,,,,,,,,,,
(주)경인양행,12610,267600679,227505749,233095049,198818643,218604655,190167857,260808400,217483383,277181095,228191361,263163677,220123025,274873817,228042128,299987729,252841704,331102011,255365574,358802386,274054354
(주)고려시멘트,198440,,,,,,,,,,,,,,,,,,,,
(주)고영테크놀러지,98460,72956931,30102283,86130810,36970902,107841666,46349851,111902729,49977494,142840131,60262407,145904431,56896177,171793841,63856136,203368626,71899522,238208865,89336707,222057035,80865005
(주)골드앤에스,35290,50487261,35851526,47522791,32544786,43889087,31012456,39548810,28127986,31287203,23453716,22197935,15199451,15893494,9347753,12802035,8002687,8680452,4405757,7642733,6293120
(주)골드퍼시픽,38530,,,,,,,7167832,8242393,16486257,17957521,18635305,19680341,,,,,5708281,1408824,,
(주)골프존,215000,,,,,,,,,,,201560389,80622893,216964342,87427908,200105321,69036405,198705194,77580938,247018099,93859565
(주)골프존뉴딘홀딩스,121440,,,215793737,100364106,289629366,131624220,365126358,186981066,429589619,219364035,164536448,109081059,243275475,126201483,213756902,112978779,223036801,129202466,228935651,140609926
(주)광림,14200,,,,,,,,,231446314,175450887,,,87302967,75002299,135191558,131160374,136595300,122536264,145864184,134964602
(주)광명전기,17040,103512739,89902685,92382628,81102005,117216514,102591227,117852824,98728241,134778387,114780200,116316957,98659704,96942911,87732377,101561159,92454439,114110654,103304003,131864294,117038701
(주)광무,29480,81747132,62980133,51755052,42251012,41178683,33757502,20534276,22621739,,,,,,,,,23074941,17769834,36483979,21870776
(주)광주신세계,37710,,,,,,,,,,,,,,,,,,,,
(주)구영테크,53270,150546089,129653477,147832315,129730219,155788988,134266189,172747316,150485036,170528694,148057799,172083049,146639036,148301597,125781105,149833357,127099113,195238339,172978813,230853336,208667166
(주)국동,5320,152156795,130904315,154293577,134179552,138172746,112722986,147860227,123575979,186086561,153250540,170296068,140601202,197368723,160651679,191602989,163195489,219550054,183038971,223077183,188905199
(주)국보,1140,118744324,108327142,130636214,121478547,122343037,112775782,117073443,107727279,97520169,91556717,91618545,85746776,87333326,79591802,78255522,72337683,71549828,67935985,89087334,71346937
(주)국보디자인,66620,117346477,98678532,130689686,110146120,119402993,100272273,163518536,141528744,176373907,150086662,192608497,167038905,201410031,176586073,270658405,224690293,254259835,216708444,269005976,236763672
(주)국순당,43650,116933694,57728627,127686247,73054530,118697826,65490982,99173525,57173733,91863604,55688500,77443124,50017004,69701266,42026522,62761236,38986795,61496072,38750320,102095769,73665131
(주)국영지앤엠,6050,,,,,,,,,,,,,,,,,,,,
(주)국전약품,307750,,,,,,,,,,,,,,,,,,,,
(주)그래디언트,35080,448995193,293192695,428571939,282364606,454225001,299062441,2930521926,2623897237,3135027346,2828895725,3536848758,3149191043,3845761388,3422959059,3541486629,3155796412,3440906300,3085740379,3412333826,3033401434
(주)그리티,204020,,,,,,,,,,,,,,,,,119259702,49005066,123079831,56407950
(주)그린플러스,186230,,,,,,,,,,,,,,,,,,,48831866,39379899
(주)글로벌스탠다드테크놀로지,83450,46413211,27915601,41504144,25904818,64812103,39987385,80982977,54728168,89122994,60458294,84422579,53943632,90819412,57475833,162835484,106768667,129850197,86354595,168231754,101887447
(주)금비,8870,,,182184368,140978607,176226095,139613667,175061513,140973207,177506459,143669634,189495056,145599764,200543667,154437741,185531452,142510120,196995589,153041065,201404468,157515543
(주)금양,1570,102718517,86772404,109810009,92297702,122905331,102473314,156304448,135822559,158550531,138461108,158999533,136083219,168681746,137529479,180373683,144907191,205441375,165009911,172723864,136904841
(주)금호에이치티,214330,,,,,,,,,,,203071984,171095297,208574892,184573472,179707629,161231384,209260006,188087059,251095062,236522956
(주)금화피에스시,36190,,,,,,,166122419,130836677,189631759,155745728,235969690,196313554,235018376,194713192,205781841,163075930,233326733,182097574,209435314,165793394
(주)기가레인,49080,,,,,,,94791934,74583953,95718992,77942438,61576391,72269409,75445071,74497864,100131227,82715768,124772205,106042765,72769411,85455615
(주)기산텔레콤,35460,103705410,82488070,65679195,58538412,74315907,61032255,79463728,62249172,74512326,59256394,79710503,66205739,59172319,49418392,63467585,54370843,56445716,47301809,67054955,52668790
(주)까뮤이앤씨,13700,,,,,,,,,,,,,,,,,,,,
(주)까스텔바작,308100,,,,,,,,,,,,,,,,,,,81358617,31238794
(주)나노,187790,,,,,,,,,,,29901810,29883383,48175171,50037070,73089292,62721642,81942719,71007597,73694955,66484746
(주)나노브릭,286750,,,,,,,,,,,,,,,,,,,7775408,5874843
(주)나노신소재,121600,,,33480756,18805669,23644347,16429605,27009014,17289076,27926752,15558382,43140425,23332424,41111800,23265866,45568866,24870265,52249960,29703093,48892961,29575322
(주)나노엔텍,39860,15154917,12383141,13153879,12411365,13435035,12287381,19084457,13907414,19498657,14039930,24839316,18756946,22205895,17415702,23809593,13425040,25796821,14597686,26255836,13549213
(주)나무가,190510,,,,,,,,,,,403847036,354633593,292613003,275809267,257564977,269861442,312824892,294278543,362063863,341733797
(주)나스미디어,89600,,,,,,,,,,,,,69943009,0,120275391,0,106607030,0,117006838,0
(주)나이벡,138610,,,,,,,,,,,,,,,,,,,,
(주)나이스디앤비,130580,,,,,,,,,,,25675101,0,33964917,0,42282947,0,52040929,0,77330430,0
(주)나이스홀딩스,34310,101591581,0,194810015,0,211902144,0,754166289,0,936827214,0,1090840202,0,1346411434,0,1450068987,0,1611892148,221970360,1877743691,0
(주)나인테크,267320,,,,,,,,,,,,,,,,,,,,
(주)남선알미늄,8350,270881073,243724794,302410988,276133992,,,,,,,,,,,,,347834921,312961290,324782177,289895888
(주)남성,4270,77176415,60523923,66156225,51529324,68020409,51440855,73072002,55428602,69059783,51589850,75864783,56596270,83724292,61569580,91991880,67081001,83251810,64188932,72953026,54057224
(주)내츄럴엔도텍,168330,,,,,,,,,,,44506401,13905861,6556020,4249562,9238808,5910004,8928362,12032388,6580460,9955380
(주)네오리진,94860,26146044,21213719,42947694,35654342,,,,,,,,,,,9263380,4114151,,,,
(주)네오셈,253590,,,,,,,,,,,,,,,,,,,27225588,13957524
(주)네오오토,212560,,,,,,,,,,,,,,,,,,,,
(주)네오위즈,95660,430549822,260997342,667748340,404835206,674589550,426674549,442897817,247094563,201029653,97213907,190070606,89001598,191038418,90392826,174045348,91937730,215490230,104316848,254498033,114293832
