회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
(주)CMG제약,58820,11-Dec,0.13,  의약품 제조업
(주)CMG제약,58820,12-Dec,0.74,  의약품 제조업
(주)CMG제약,58820,13-Dec,0.66,  의약품 제조업
(주)CMG제약,58820,14-Dec,0.51,  의약품 제조업
(주)CMG제약,58820,15-Dec,3.08,  의약품 제조업
(주)CMG제약,58820,16-Dec,1.21,  의약품 제조업
(주)CMG제약,58820,17-Dec,4.32,  의약품 제조업
(주)CMG제약,58820,18-Dec,1.56,  의약품 제조업
(주)CMG제약,58820,19-Dec,3.4,  의약품 제조업
(주)DB하이텍,990,11-Dec,11.34,  반도체 제조업
(주)DB하이텍,990,12-Dec,8.8,  반도체 제조업
(주)DB하이텍,990,13-Dec,8.99,  반도체 제조업
(주)DB하이텍,990,14-Dec,7.36,  반도체 제조업
(주)DB하이텍,990,15-Dec,7.41,  반도체 제조업
(주)DB하이텍,990,16-Dec,6.95,  반도체 제조업
(주)DB하이텍,990,17-Dec,8.01,  반도체 제조업
(주)DB하이텍,990,18-Dec,7.89,  반도체 제조업
(주)DB하이텍,990,19-Dec,6.85,  반도체 제조업
(주)ES큐브,50120,11-Dec,5.95,  생활용품 도매업
(주)ES큐브,50120,12-Dec,3.07,  생활용품 도매업
(주)ES큐브,50120,13-Dec,5.15,  생활용품 도매업
(주)ES큐브,50120,14-Dec,2.36,  생활용품 도매업
(주)ES큐브,50120,15-Dec,0,  생활용품 도매업
(주)ES큐브,50120,16-Dec,0,  생활용품 도매업
(주)ES큐브,50120,17-Dec,0,  생활용품 도매업
(주)ES큐브,50120,18-Dec,0,  생활용품 도매업
(주)ES큐브,50120,19-Dec,0,  생활용품 도매업
(주)HJ중공업,97230,11-Dec,0.06,  토목 건설업
(주)HJ중공업,97230,12-Dec,0.12,  토목 건설업
(주)HJ중공업,97230,13-Dec,0.17,  토목 건설업
(주)HJ중공업,97230,14-Dec,0.19,  토목 건설업
(주)HJ중공업,97230,15-Dec,0.15,  토목 건설업
(주)HJ중공업,97230,16-Dec,0.11,  토목 건설업
(주)HJ중공업,97230,17-Dec,0.11,  토목 건설업
(주)HJ중공업,97230,18-Dec,0.13,  토목 건설업
(주)HJ중공업,97230,19-Dec,0.11,  토목 건설업
