,회사명,거래소코드,기업수명
0,(주)CMG제약,58820,도입기
1,(주)CMG제약,58820,도입기
2,(주)CMG제약,58820,도입기
3,(주)CMG제약,58820,성장기
4,(주)CMG제약,58820,성장기
5,(주)CMG제약,58820,성장기
6,(주)CMG제약,58820,성장기
7,(주)CMG제약,58820,쇄신기
8,(주)CMG제약,58820,성장기
9,(주)DB하이텍,990,성숙기
10,(주)DB하이텍,990,성숙기
11,(주)DB하이텍,990,성숙기
12,(주)DB하이텍,990,성장기
13,(주)DB하이텍,990,성숙기
14,(주)DB하이텍,990,성숙기
15,(주)DB하이텍,990,성숙기
16,(주)DB하이텍,990,성숙기
17,(주)DB하이텍,990,성숙기
18,(주)ES큐브,50120,성장기
19,(주)ES큐브,50120,성장기
20,(주)ES큐브,50120,성장기
21,(주)ES큐브,50120,쇄신기
22,(주)ES큐브,50120,쇠퇴기
23,(주)ES큐브,50120,성장기
24,(주)ES큐브,50120,성숙기
25,(주)ES큐브,50120,도입기
26,(주)ES큐브,50120,성장기
27,(주)HJ중공업,97230,쇠퇴기
28,(주)HJ중공업,97230,쇠퇴기
29,(주)HJ중공업,97230,도입기
30,(주)HJ중공업,97230,쇠퇴기
31,(주)HJ중공업,97230,성숙기
32,(주)HJ중공업,97230,도입기
33,(주)HJ중공업,97230,
34,(주)HJ중공업,97230,성숙기
35,(주)HJ중공업,97230,쇄신기
36,(주)MH에탄올,23150,쇄신기
37,(주)MH에탄올,23150,쇠퇴기
38,(주)MH에탄올,23150,성숙기
39,(주)MH에탄올,23150,성숙기
40,(주)MH에탄올,23150,쇄신기
41,(주)MH에탄올,23150,쇄신기
42,(주)MH에탄올,23150,성장기
43,(주)MH에탄올,23150,쇠퇴기
44,(주)MH에탄올,23150,성숙기
45,(주)SH에너지화학,2360,성숙기
46,(주)SH에너지화학,2360,쇄신기
47,(주)SH에너지화학,2360,성숙기
48,(주)SH에너지화학,2360,성숙기
49,(주)SH에너지화학,2360,성숙기
50,(주)SH에너지화학,2360,쇄신기
51,(주)SH에너지화학,2360,성숙기
52,(주)SH에너지화학,2360,성숙기
53,(주)SH에너지화학,2360,성장기
54,(주)SIMPAC,9160,성장기
55,(주)SIMPAC,9160,성숙기
56,(주)SIMPAC,9160,성장기
57,(주)SIMPAC,9160,쇄신기
58,(주)SIMPAC,9160,성장기
59,(주)SIMPAC,9160,성숙기
60,(주)SIMPAC,9160,쇄신기
61,(주)SIMPAC,9160,쇄신기
62,(주)SIMPAC,9160,성장기
63,(주)SNT에너지,100840,쇠퇴기
64,(주)SNT에너지,100840,성숙기
65,(주)SNT에너지,100840,쇄신기
66,(주)SNT에너지,100840,쇄신기
67,(주)SNT에너지,100840,성숙기
68,(주)SNT에너지,100840,성숙기
69,(주)SNT에너지,100840,9
70,(주)SNT에너지,100840,성숙기
71,(주)SNT에너지,100840,쇠퇴기
