회사명,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)CMG제약,72.39932728,58.16793137,71.66048133,61.30149582,62.92932706,63.74484716,59.64056224,56.57209427,54.3967905,50.66307015
(주)DB하이텍,121.5743688,83.38055049,83.61786653,81.92385956,75.88507058,65.54437455,62.48930679,62.69632601,67.8256247,63.57223143
(주)ES큐브,75.11702864,72.08093968,71.98448336,75.24002659,78.58045491,72.19659295,71.31783787,72.89791912,77.11300911,81.24507373
(주)HJ중공업,89.70933533,92.15144117,92.50548872,97.43122813,100.6718975,96.43598259,97.87699088,99.13355304,91.7084298,89.10306118
(주)MH에탄올,85.2567237,83.19388572,82.03438034,87.32630173,75.75972341,72.29162515,69.45697003,71.61914205,73.52713024,67.03711932
(주)SH에너지화학,91.48542149,92.8296937,92.20378085,92.25570901,85.60028908,82.76377846,82.30815477,86.02420122,93.31767186,95.265848
(주)SIMPAC,79.16669165,79.12574768,81.14456809,79.90486556,83.63394358,82.14838933,81.51814135,83.68633656,88.84347485,89.58809674
(주)SNT에너지,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.26902134
(주)SNT홀딩스,83.65660823,87.10834803,87.80037653,87.49235705,88.90403372,82.55152542,86.92316641,86.42181219,87.14149926,84.92553592
(주)STX,93.43883809,92.43125619,103.1454987,128.2299223,92.58273859,97.25623871,95.07258947,95.27096622,98.67350639,96.84148062
(주)TCC스틸,89.21130144,91.8062916,91.34125351,94.66330431,93.17782857,91.15382205,90.65036424,91.21248565,91.45982555,92.78195133
(주)가비아,53.52655232,55.21284485,58.36010884,55.01582761,56.29074068,54.64227602,53.82576541,51.89677556,51.07757697,51.0093571
(주)강스템바이오텍,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,64.31716012,87.15547533,107.0672839
(주)강원랜드,37.30668553,42.53727214,49.98070906,53.33864133,48.26447569,46.49801923,46.28128762,49.08373612,50.73458796,48.46184651
(주)강원에너지,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,82.84540986,83.40597226,98.94543329,93.13997211,114.4284102
(주)갤럭시아에스엠,84.09083147,81.75344682,86.38628795,89.93757691,91.63978977,89.65453324,98.19961798,100.4132262,124.3318065,93.75317909
(주)경농,65.09210353,65.33422326,63.96562809,65.77807514,65.14101656,64.71157254,66.36366374,67.23330695,65.79281559,67.29262924
(주)경동나비엔,72.35475991,73.71220089,74.5573712,71.50762889,73.15881464,68.75581879,65.55184696,65.15326904,67.12762389,65.81970342
(주)경동도시가스,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,91.0148246,92.15624081,92.09121408
(주)경동인베스트,92.20310701,94.14412025,95.16257867,95.37108569,94.92514269,94.78034583,90.09236334,72.14057503,74.84578123,82.18063822
(주)경방,68.70858604,74.34283403,78.18368575,72.42966226,72.44124939,71.5460055,71.09715873,70.24669367,69.44111478,71.06764903
(주)경보제약,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)경인양행,85.01688032,85.29509479,86.99167774,83.3881819,82.3257304,83.6449116,82.96247729,84.2840155,77.12595077,76.38030423
(주)고려시멘트,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)고영테크놀러지,41.26034715,42.92413133,42.9795391,44.66155066,42.18870886,38.99551001,37.17021264,35.3542842,37.50351902,36.41632205
